()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:...
M16A1BOSS(0);OTs14(0)<Speaker>OTs-14</Speaker>||:We're home.
M16A1BOSS(0);NPC-Kalin(0)<Speaker>Kalina</Speaker><通讯框>||<SE1>AVG_tele_connect</SE1>:<color=#00CCFF>Welcome back, Groza and M16!</color> +<color=#00CCFF>The banquet is almost over, please put on the evening dresses that the Commander has prepared for you before you make your entrance~</color>
M16A1BOSS(0)<Speaker>M16A1</Speaker>;NPC-Kalin(0)||<SE1>AVG_tele_disconnect</SE1>:This dress? +Doesn't my white hair clash with the black?
M16A1BOSS(0);OTs14(0)<Speaker>OTs-14</Speaker>||:The design must have been based on your ID picture in the Griffin staff roster. It does look a bit odd on you now.
M16A1BOSS(0)<Speaker>M16A1</Speaker>;OTs14(0)||:But I can't not go. If we dye it white...
M16A1BOSS(0);OTs14(0)<Speaker>OTs-14</Speaker>||:There's no time for that. +Hold on... We can't dye the dress white, but here's a perfect surprise for M4, don't you see?
M16A1BOSS(0)<Speaker>M16A1</Speaker>;OTs14(0)||:You mean...
M16A1BOSS(0);OTs14(0)<Speaker>OTs-14</Speaker>||:It's a lot easier for Dolls to change our hair color.
M16A1BOSS(0);OTs14(0)<Speaker></Speaker>||<黑屏1><BGM>BGM_Empty</BGM>:Groza winks at M16. +M16 understands immediately. She enters the dressing room with the dress thoughtfully.
()<Speaker></Speaker>||<BIN>139</BIN><黑屏2><BGM>BGM_Hello</BGM>:Half an hour later, at the banquet venue. +The banquet is already near its end. M16A1 and Groza slip in quietly through the side door. She scans the hall, looking for the Doll that has been on her mind.
M4 SOPMOD II(1)<Speaker>SOP-II</Speaker>||:M16!
M4 SOPMOD II(1);M16A1(1)<Speaker>M16A1</Speaker>||:SOP-II, what are you doing here?
M4 SOPMOD II(1)<Speaker>SOP-II</Speaker>;M16A1(1)||:Where are you going?
M4 SOPMOD II(1);M16A1(1)<Speaker>M16A1</Speaker>||:Uh... I was just grabbing something for M4.
M4 SOPMOD II(1);M16A1(1)<Speaker></Speaker>||:SOP-II doesn't seem to have noticed that she was late. +M16A1 sighs inwardly in relief as she turns away.
M4 SOPMOD II(3)<Speaker>SOP-II</Speaker>;M16A1(1)||:...Don't go.
M4 SOPMOD II(3);M16A1(1)<Speaker>M16A1</Speaker>||:What?
M4 SOPMOD II(3)<Speaker></Speaker>;M16A1(1)||<SE1>Rope</SE1>:M16 suddenly feels a strong grip around her waist. +SOP-II has thrown her arms tightly around M16 and lifts her right up.
M4 SOPMOD II(3);M16A1(1)<Speaker>M16A1</Speaker>||:What the hell?!
M4 SOPMOD II(3);M16A1(1)<Speaker></Speaker>||:After the initial shock, M16 is amused by her friend's erratic behavior. +The truth is revealed by the sharp smell of liquor coming from SOP-II – she is utterly smashed. +M16 can even tell from the faint cherry scent that SOP-II is probably drunk on cherry brandy.
M4 SOPMOD II(3);M16A1(1)<Speaker>M16A1</Speaker>||:SOP-II, what are you doing?
M4 SOPMOD II(3);M4A1(7)<Speaker>M4A1</Speaker>||:SOP-II what are you doing?!
M4 SOPMOD II(1)<Speaker>SOP-II</Speaker>||:I won't let you— Huh? You're back...
()<Speaker></Speaker>||<SE1>RunStep</SE1>:Just as M16 is feeling puzzled, SOP-II suddenly chomps on a green cookie and runs off.
M4A1(7)<Speaker>M4A1</Speaker>||:SOP-II! +Uh, there's no catching her.
M16A1(1)<Speaker>M16A1</Speaker>;M4A1(7)||:Don't worry M4. Someone will stop her.
M16A1(1);M4A1(7)<Speaker></Speaker>||<BGM>BGM_Empty</BGM>:M16A1 gives M4A1 a reassuring pat on the shoulder. M4 looks up and glares at her. +Her delicate brow is furrowed, and her gentle eyes are now shooting daggers at her. M16 realizes that her little sister is about to unleash her wrath.
M16A1(1)<Speaker>M16A1</Speaker>;M4A1(7)||:Good evening, you look absolutely ravishing in this dress.
M16A1(1);M4A1(6)<Speaker>M4A1</Speaker>||:Thank you.
M16A1(1)<Speaker>M16A1</Speaker>;M4A1(6)||:... <color=#A9A9A9>What a curt response. She must be livid.</color> +I can explain. Will you let me?
M16A1(1);M4A1(7)<Speaker>M4A1</Speaker>||:...
M16A1(1);M4A1(7)<Speaker></Speaker>||<BGM>GF_Memorial</BGM>:Much to M16A1's surprise, M4 does not start barraging her with what she has done wrong. +M16A1 stares at her and finds her old self reflected in M4's eyes. +It's as though nothing had ever changed, but they both know perfectly well that they have come a long way. There is no going back, nor should there be.
M16A1(1)<Speaker>M16A1</Speaker>;M4A1(7)||:...M4?
M16A1(1);M4A1(7)<Speaker>M4A1</Speaker>||:It...it feels as if I hadn't seen you in ages. +But I saw you just days ago, didn't I?
M16A1(1)<Speaker>M16A1</Speaker>;M4A1(7)||:Ah...haha. +I suppose you find this more familiar?
M16A1(1);M4A1(8)<Speaker>M4A1</Speaker>||:It sure brings back memories.
M16A1(1)<Speaker>M16A1</Speaker>;M4A1(8)||:So you're not angry anymore?
M16A1(1);M4A1(6)<Speaker>M4A1</Speaker>||:If you bring it up again, I'll lecture you for being late.
M16A1(1)<Speaker></Speaker>;M4A1(6)||:Soft dance music starts playing. +M16 offers a hand to M4 and bats her eyelashes at her.
M16A1(1)<Speaker>M16A1</Speaker>;M4A1(6)||:See, I'm not that late, after all. +Shall we dance?
M4A1(7)<Speaker>M4A1</Speaker>||:Certainly.
()<Speaker></Speaker>||:M4 takes her hand and the two Dolls glide onto the dance floor. +When the song is over, M4 spins away and M16 extends her hand to AR-15.
AR15(3)<Speaker>ST AR-15</Speaker>||:Is this an invitation?
M16A1(1)<Speaker>M16A1</Speaker>||:It's been a while.
()<Speaker></Speaker>||:Twirls and pivots. Skirts flutter and fall. +M16A1 shares a dance with every member of the AR Team before finally offering her hand to the Commander.
M16A1(1)<Speaker>M16A1</Speaker>||:Come, Commander. +Let's celebrate our reunion. Will you also join me for a drink later?
M16A1(1)<Speaker>Commander</Speaker>||:...
M16A1(1)<Speaker>M16A1</Speaker>||:Why do you hesitate? We hardly have to stand on ceremony with each other.
M16A1(1)<Speaker></Speaker>||:But she grasps the Commander's hand without waiting for an answer and they flow onto the dance floor when a new song starts playing.
M16A1(1)<Speaker>M16A1</Speaker>||:Still, I never imagined I would see you again under these circumstances, let alone dance with you. +I'm quite a good dancer, aren't I? +I'm not sure how you usually dance with the other Dolls, but I only know the men's steps, so bear with me.
M16A1(1)<Speaker></Speaker>||:She leads the Commander into the center of the dance floor. The spotlight shines on her tender smile.
M16A1(1)<Speaker>M16A1</Speaker>||:I'm very glad that we get to fight side-by-side in wartime and share a dance together in peacetime.
()<Speaker></Speaker>||<BGM>BGM_Empty</BGM>:The song comes to an end. M16 lets go of the Commander and strolls casually away from the dance floor.
M16A1(1)<Speaker>M16A1</Speaker>||<BGM>BGM_Moon</BGM>:Why aren't you dancing?
M16A1(1);OTs14(6)<Speaker>OTs-14</Speaker>||:I quite enjoy watching here.
M16A1(1)<Speaker>M16A1</Speaker>;OTs14(6)||:How about a dance with me?
M16A1(1);OTs14(6)<Speaker>OTs-14</Speaker>||:No, thank you. I'm content just being a bystander.
M16A1(1)<Speaker></Speaker>;OTs14(6)||:M16A1 doesn't force the issue. Instead, she leans against the wall and joins Groza in watching the others dance.
M16A1(1)<Speaker>M16A1</Speaker>;OTs14(6)||:What are you looking at?
M16A1(1);OTs14(6)<Speaker>OTs-14</Speaker>||:What do you see?
M16A1(1)<Speaker>M16A1</Speaker>;OTs14(6)||:I see peace and happiness. You?
M16A1(1);OTs14(6)<Speaker>OTs-14</Speaker>||:Something along that line.
M16A1(1)<Speaker>M16A1</Speaker>;OTs14(6)||:We should be seeing different things. +We have different analytical modules, different character presets, different experiences...
M16A1(1);OTs14(6)<Speaker>OTs-14</Speaker>||:True, but there are things that we both share. +Dancing happily with friends and family, eating delicious snacks, drinking good wine. +Just watching them is enough proof that all the fighting we've done was worthwhile, don't you agree?
M16A1(1)<Speaker>M16A1</Speaker>;OTs14(6)||:You're quite empathetic.
M16A1(1);OTs14(6)<Speaker>OTs-14</Speaker>||:It's what makes me a team leader.
M16A1(1)<Speaker>M16A1</Speaker>;OTs14(6)||:But you're right... What else could matter more than peace and the smiles of those you care about? +I would gladly suffer anything for the sake of protecting them.
M16A1(1);OTs14(6)<Speaker>OTs-14</Speaker>||:Though a little more self-preservation would do you good. +Still, it's rather unlike you to be so sentimental. Aren't tactics all you ever talk about?
M16A1(1)<Speaker>M16A1</Speaker>;OTs14(6)||:I think you've confused me with AR-15.
M16A1(1)<Speaker></Speaker>;OTs14(6)||:The two Dolls burst out laughing.
M16A1(1)<Speaker>M16A1</Speaker>;OTs14(6)||:To peace.
OTs14(6)<Speaker>OTs-14</Speaker>||:To peace.
()<Speaker></Speaker>||:Clink. They clink glasses lightly and drain the contents.
NPC-Kalin(1)<Speaker>Kalina</Speaker>||:Now, may I have everyone's attention, please? +Did you have fun tonight?
NPC-Kalin(1)<Speaker>T-Dolls</Speaker>||:Yes!
NPC-Kalin(1)<Speaker>Kalina</Speaker>||:Then let's begin the final activity for our celebration – a photography exhibition just for tonight! +Our photographers KSVK and M200 have documented many special moments throughout this event with their camera lenses, from preparation to present! Will you be able to spot yourselves in the photos? +While you admire their work, don't forget to vote for your favorite picture~
OTs14(6)<Speaker>OTs-14</Speaker>||:What an interesting activity they've come up with.
M16A1(1)<Speaker>M16A1</Speaker>;OTs14(6)||:...
M16A1(1);OTs14(6)<Speaker>OTs-14</Speaker>||:M16?
M16A1(1)<Speaker>M16A1</Speaker>||:There's a photo that I want to keep. I'm going to ask for a copy!
()<Speaker></Speaker>||:Before Groza can react, M16 rushes to locate the photographer who took that picture – KSVK. +She seems to have just come in from outside the venue. M16 strides over quickly and intercepts her.
KSVK(9)<Speaker>KSVK</Speaker>||:M16...?
M16A1(1)<Speaker>M16A1</Speaker>;KSVK(9)||:May I have a copy of the AR Team's photo?
M16A1(1);KSVK(9)<Speaker>KSVK</Speaker>||:Sure, such precious memories are meant to be shared. +I'm sure they'll also agree?
M16A1(1)<Speaker>M16A1</Speaker>;KSVK(9)||<BGM>BGM_Empty</BGM>:...
M16A1(1)<Speaker></Speaker>;KSVK(9)||<BGM>BGM_Sunshine</BGM>:M16 turns around and finds the other four members of the AR Team standing behind her. +The five Dolls stare at each other wordlessly. ST AR-15 looks away while the rest of them and KSVK are all smiles.
M16A1(1);KSVK(9)<Speaker>KSVK</Speaker>||:Right, since everyone is here, let's take a group photo.
AR15(3)<Speaker>ST AR-15</Speaker>||:I...
M4 SOPMOD II(1)<Speaker>SOP-II</Speaker>||:Yay!
()<Speaker></Speaker>||:After a moment of shuffling, the five Dolls of the AR Team finally find their respective positions. +M16A1 has her arm around M4's shoulders. She seems almost stunned as she finds herself sandwiched among her old friends.
M16A1(1)<Speaker>M16A1</Speaker>||:<color=#00CCFF>M4 was right. It's almost like a dream to be here again with everyone...</color> +<color=#00CCFF>Yeah, I would gladly pay the price, whatever it may be, just to have more moments like this...</color>
KSVK(9)<Speaker>KSVK</Speaker>||:Good. Now one, two—
()<Speaker></Speaker>||:KSVK's voice drags M16A1 back to the present. She looks straight at the camera and smiles genuinely from the heart.
M16A1(1)<Speaker>M16A1</Speaker>||:Three.
()<Speaker></Speaker>||<黑屏1><SE1>AVG_The_Division_Camera</SE1>:Click.
