()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:...In a hallway inside Griffin's base.
KSVK(9)<Speaker>Dushevnaya</Speaker>||:Thank you.
Saiga12(2)<Speaker>Saiga-12</Speaker>;KSVK(9)||:Aren't you going to dance?
Saiga12(2);KSVK(9)<Speaker>Dushevnaya</Speaker>||:I'm sorry, but I don't dance.
Saiga12(2)<Speaker>Saiga-12</Speaker>;KSVK(9)||:Not dancing at a ball? Isn't that a shame?
Saiga12(2);KSVK(9)<Speaker>Dushevnaya</Speaker>||:Some flowers stubbornly refuse to bloom even in spring. +Dancing isn't obligatory at every ball.
Saiga12(2)<Speaker>Saiga-12</Speaker>;KSVK(9)||:Some flowers do bloom in winter. +But if you don't give it a try, how do you know if you'll enjoy it?
Saiga12(2);KSVK(9)<Speaker>Dushevnaya</Speaker>||:...Do you treat everyone with the same enthusiasm?
Saiga12(2)<Speaker>Saiga-12</Speaker>;KSVK(9)||:Certainly not! +I...I'm your sister's colleague, so it's only right for me to look after you. +I'm not forcing you to dance just because everybody's dancing. I'm inviting you to dance simply because it's fun.
Saiga12(2);KSVK(9)<Speaker>Dushevnaya</Speaker>||:...To be completely honest, I don't know how to dance, not even the most basic round dance.
Saiga12(2)<Speaker>Saiga-12</Speaker>;KSVK(9)||:I can teach you! +Round dance is one of the easiest dances to learn.
Saiga12(2);KSVK(9)<Speaker>Dushevnaya</Speaker>||:Is it really that easy? I saw some Dolls practicing it in a rehearsal room.
Saiga12(2)<Speaker>Saiga-12</Speaker>;KSVK(9)||:It IS that easy. Just imagine yourself as a rose chasing after the moon and searching for moonlight in the wind. +When your dress swishes with you, you look just like a rose. +You'll truly be a Rose in the Snow.
Saiga12(2);KSVK(9)<Speaker>Dushevnaya</Speaker>||:Alright, you've stoked my courage. I'll give it a try. +But there are too many people here, and that makes me extra nervous.
Saiga12(2)<Speaker>Saiga-12</Speaker>;KSVK(9)||:Then let's practice somewhere more deserted?
Saiga12(2);KSVK(9)<Speaker>Dushevnaya</Speaker>||:...Huh?
Saiga12(2)<Speaker>Saiga-12</Speaker>;KSVK(9)||:There's a rehearsal room nearby.
Saiga12(2);KSVK(9)<Speaker>Dushevnaya</Speaker>||:Pfft, but YOU will still see if I mess up.
Saiga12(2)<Speaker>Saiga-12</Speaker>;KSVK(9)||<黑屏1>:No, I won't. +While you're busy chasing after your moon, I'll be busy searching for mine.
()<Speaker></Speaker>||<BIN>83</BIN><Night><黑屏2>:Finally convinced, Dushevnaya follows Saiga-12 quietly out of the banquet hall. +Saiga-12 is both thrilled and nervous. The prospect of dancing with Dushevnaya in the moonlight fills her with excitement. +Dushevnaya doesn't say much, but she seems quite pleased judging by the upturned corners of her lips.
ZasM76(2)<Speaker>Zas M76</Speaker>||<BGM>BGM_Empty</BGM>:What are you doing?
ZasM76(2);Saiga12(2)<Speaker>Saiga-12</Speaker>||<BGM>BGM_Sneak</BGM>:You scared the crap out of me! What are YOU doing here?
ZasM76(2)<Speaker>Zas M76</Speaker>;Saiga12(2)||:I'm practicing. +...Why are you dragging KSVK around so secretively, Saiga?
ZasM76(2);Saiga12(2)<Speaker>Saiga-12</Speaker>||:You're mistaken. This is Dushevnaya, KSVK's little sister.
ZasM76(2)<Speaker>Zas M76</Speaker>;Saiga12(2)||:Little sister? Are you mistaken or am I mistaken?
ZasM76(2);Saiga12(2)<Speaker>Saiga-12</Speaker>||:Did I stutter? This. Is. KSVK's. Little. Sister.
ZasM76(2)<Speaker>Zas M76</Speaker>;Saiga12(2)||:She's just changed into a younger-looking body. Her ID still reads KSVK on my visual display. +So how many Dolls have fallen for it?
KSVK(9)<Speaker>KSVK</Speaker>;Saiga12(2)||:Oops, busted. +Not too many, Saiga was the 13th.
KSVK(9);Saiga12(2)<Speaker>Saiga-12</Speaker>||:Huh?
ZasM76(2)<Speaker>Zas M76</Speaker>;Saiga12(2)||:Did SVD see through it as well? How long did it take for her to figure it out?
KSVK(9)<Speaker>KSVK</Speaker>;Saiga12(2)||:She did. It took her around the same time as it did you.
ZasM76(2)<Speaker>Zas M76</Speaker>;Saiga12(2)||:Pity. Then it will be a dance-off after all.
ZasM76(2);Saiga12(2)<Speaker>Saiga-12</Speaker>||:KSVK... Did you...just pull a prank on me?
KSVK(9)<Speaker>KSVK</Speaker>;Saiga12(2)||:So I did. Pranks pulled by people who never pull pranks tend to work out pretty well, no?
KSVK(9);Saiga12(2)<Speaker>Saiga-12</Speaker>||:Then...our dance...
KSVK(9)<Speaker>KSVK</Speaker>;Saiga12(2)||:Haha, since the cat is already out of the bag, there's no point in keeping up the charade.
KSVK(9);Saiga12(2)<Speaker>Saiga-12</Speaker>||:R...Right.
KSVK(9)<Speaker>KSVK</Speaker>;Saiga12(2)||:Shall we call it a day then?
KSVK(9);Saiga12(2)<Speaker>Saiga-12</Speaker>||:S...Sure.
Saiga12(2)<Speaker></Speaker>||:KSVK smiles as she excuses herself. The smile does look exactly like KSVK's.
ZasM76(2)<Speaker>Zas M76</Speaker>;Saiga12(2)||:Let me go back to practicing my moves.
Saiga12(2)<Speaker>Saiga-12</Speaker>||<黑屏1><BGM>BGM_Empty</BGM>:...Okay. I...I want to be alone with my thoughts anyway.
()<Speaker>Saiga-12</Speaker>||<BIN>9</BIN><黑屏2><黑屏1><BGM>BGM_Wake</BGM>:I was the 13th? +That makes me kinda sad for some reason. +I probably wouldn't be so upset if I'd been the only one to have fallen for her trick. +Oh dear. I suppose I want to be special to her, even if it's just as a victim of her prank?
()<Speaker></Speaker>||<BIN>83</BIN><Night><黑屏2>:After the end of the ball, Saiga-12 catches sight of the Doll she has been trying to find.
Saiga12(2)<Speaker>Saiga-12</Speaker>||:Can we talk?
KSVK(9)<Speaker>KSVK</Speaker>;Saiga12(2)||:Of course. +I don't mind if you want to pull a prank on me in return. If you can, that is.
KSVK(9);Saiga12(2)<Speaker>Saiga-12</Speaker>||:...I wasn't planning on that. +I just want to apologize.
KSVK(9)<Speaker>KSVK</Speaker>;Saiga12(2)||:Pardon? +You're the one who was deceived, so why are you apologizing to me?
KSVK(9);Saiga12(2)<Speaker>Saiga-12</Speaker>||:I'm not apologizing for what happened tonight, but for my behavior when we first met. +It was very rude of me to force that photo magazine on you out of the blue.
KSVK(9)<Speaker>KSVK</Speaker>;Saiga12(2)||:Hm, it did shock me for a bit. +Nobody had ever given me something like that, so that was interesting.
KSVK(9);Saiga12(2)<Speaker>Saiga-12</Speaker>||:I'm really sorry if I left a bad impression. +I...I was only trying to be friendly, and I wanted you to be nice to me. +But I might have gone about it the wrong way. +Sorry.
KSVK(9)<Speaker>KSVK</Speaker>;Saiga12(2)||:...If you want people to be nice to you, be the person who shows kindness first, huh? +That's actually a very good attitude to have.
KSVK(9);Saiga12(2)<Speaker>Saiga-12</Speaker>||:But I was also too pushy and inconsiderate. +People might not appreciate my gesture. I don't really know them, after all.
KSVK(9)<Speaker>KSVK</Speaker>;Saiga12(2)||<BGM>BGM_Empty</BGM>:Then let's start all over again.
KSVK(9);Saiga12(2)<Speaker>Saiga-12</Speaker>||<BGM>BGM_Sunshine</BGM>:Huh?
KSVK(9)<Speaker>KSVK</Speaker>;Saiga12(2)||:2pm tomorrow. I'll be waiting at the Café.
KSVK(9);Saiga12(2)<Speaker>Saiga-12</Speaker><Shake>||:What?
KSVK(9)<Speaker>KSVK</Speaker>;Saiga12(2)||:Save your apology for now. Even the Fox has to wait to meet the Little Prince. +Think of it as our first encounter tomorrow. +Making a ceremony out of it really does fill me with the greatest of anticipation.
KSVK(9);Saiga12(2)<Speaker>Saiga-12</Speaker>||<黑屏1>:...I-I'll be there on time!
