guide_deployment-10385001,出現了新的任務目標以及新的撈槍路線。
guide_deployment-11000002,以步槍為主力輸出的隊伍擁有索敵打擊敵方後排能力，適合需要開場優先擊敗敵方後排的作戰場景。
guide_deployment-11000003,以機槍為主力輸出的隊伍擁有強大的短期爆發能力，但在換彈期會有輸出空擋，適合需要開場爆發的作戰場景。
guide_deployment-11000004,攻擊目標敵人
guide_deployment-11001001,鐵血梯隊在每次戰鬥開始前都需要補給，梯隊撤離時會返還口糧彈藥。（本次由第三方梯隊提供的口糧結束作戰時不會返還給玩家。）
guide_deployment-11002001,本關啟動控制台可以獲得10000分，通過控制台可以啟動傳送節點。結算時，每個已占領機場可獲得2000分，每個藍色友方梯隊存活可獲得10000分。
guide_deployment-11003001,本關拾取建材可以獲得10000分，<color=#00CCFF>注:本關拾取建材只有在首次或重置後首次通關拾取建材才可以在關卡3中使用</color>。
guide_deployment-11003002,結算時，每個已占領機場可獲得2000分，每個藍色友方梯隊存活可獲得10000分。
guide_deployment-11004001,本關拾取建材可以獲得10000分，<color=#00CCFF>注:本關拾取建材只有在首次或重置後首次通關拾取建材才可以在關卡3中使用</color>。
guide_deployment-11004002,每救援一個人質1格血量可以獲得2000分。
guide_deployment-11004003,結算時，每個已占領機場可獲得2000分。
guide_deployment-11005001,本關可以利用關卡2撿來的建材<color=#00CCFF>在雷達點上建造設施</color>。
guide_deployment-11005002,<color=#00CCFF>建造後</color>可以透過<color=#00CCFF>指揮部</color>上的<color=#00CCFF>設施總控</color>使用這些建材升級這些設施，可以透過技能面板查看每個技能分值。
guide_deployment-11005003,<color=#00CCFF>控制台</color>可以每回合可以每回合產出資料，將資料運送到<color=#00CCFF>設施總控</color>獲得10000分。
guide_deployment-11005004,修理點可以不扣分免費修理，補給一次獲得5000分，結算時，每個已占領機場可獲得2000分。
guide_deployment-11008001,本關可以利用關卡2撿來的建材<color=#00CCFF>在雷達點上建造設施</color>。
guide_deployment-11008002,<color=#00CCFF>建造後</color>可以透過<color=#00CCFF>指揮部</color>上的<color=#00CCFF>設施總控</color>使用這些建材升級這些設施，可以透過技能面板查看每個技能分值。
guide_deployment-11008003,<color=#00CCFF>控制台</color>可以啟動為綠色狀態並且防守點位為我方狀態，每回合開始階段可以給予20000分。
guide_deployment-11008004,修理點可以不扣分免費修理，補給一次獲得5000分，結算時，每個已占領機場可獲得2000分。
guide_deployment-11009001,本關可以利用關卡2撿來的建材<color=#00CCFF>在雷達點上建造設施</color>。
guide_deployment-11009002,<color=#00CCFF>建造後</color>可以透過<color=#00CCFF>指揮部</color>上的<color=#00CCFF>設施總控</color>使用這些建材升級或操作這些設施，可以透過技能面板查看每個技能分值。
guide_deployment-11009003,<color=#00CCFF>控制台</color>可以啟動為綠色狀態並且防守點位為我方狀態，每回合開始階段可以給予20000分。
guide_deployment-11009004,修理點可以不扣分免費修理，補給一次獲得5000分，結算時，每個已占領機場可獲得2000分，每個藍色友方梯隊存活可獲得10000分。
guide_deployment-11010001,本關可以利用關卡2撿來的建材<color=#00CCFF>在雷達點上建造設施</color>，
guide_deployment-11010002,<color=#00CCFF>建造後</color>可以透過<color=#00CCFF>指揮部</color>上的<color=#00CCFF>設施總控</color>使用這些建材升級或操作這些設施，可以透過技能面板查看每個技能分值。
guide_deployment-11010003,<color=#00CCFF>控制台</color>可以每回合可以每回合產出資料，將資料運送到<color=#00CCFF>設施總控</color>獲得10000分。
guide_deployment-11010004,修理點可以不扣分免費修理，補給一次獲得5000分，結算時，每個已占領機場可獲得2000分。
guide_deployment-11022001,本關由4個密碼台破解控制中樞台。
guide_deployment-11022002,保證名字相同的控制台顯示密碼一致，即可破解控制中樞台。
guide_deployment-11033001,本關由6個密碼台破解控制中樞台。
guide_deployment-11099001,本關所有友方可以釋放煙花。
guide_deployment-11099002,受到煙花照明的點有紅色箭頭圖標顯示，每回合照明會衰減，梯隊站在帶有紅色箭頭的點位上方獲得視野加成。
guide_deployment-11138001,本次作戰需要在一個控制台處於<color=#00ff00>綠色狀態</color>時阻止敵人接觸到該控制台（注:在點位上交戰也不行）。控制台每兩回合會改變狀態請指揮官注意。
guide_deployment-11138002,攜帶額外行動buff圖標的敵人可以多次移動。
guide_deployment-11153001,加速塔會對經過的敵方單位施加額外行動力的buff。
guide_deployment-11141001,本關需要防守，注意敵人會持續出現。boss周圍會出現額外的敵人增援，boss每回合實力會逐漸衰竭直到一定水平。
guide_deployment-11117001,本關可以協助友軍小隊完成任務，被協助的友軍可以在下場戰鬥協助指揮官戰鬥(可以重新作戰本關卡來選擇下一場的支援友軍)。
guide_deployment-11117002,結算時，佔領的指揮部/機場/重型機場都會給予10000/2000/5000分，友軍存活10000/分。
guide_deployment-11118001,本關支援友軍攜帶粘性炸藥，在前三回合內有效，炸毀敵方設施給予80000/分。向友軍獲取支援時候可以獲得60000/分,梯隊只能獲得一次支援。修理點可以免費修理，補給獲得20000/分。
guide_deployment-11118002,結算時，佔領的指揮部/機場/重型機場都會給予10000/2000/5000分，友軍存活10000/分。<color=#00CCFF>注:本關友軍擊退敵人分數為玩家梯隊的一半。</color>
guide_deployment-11118003,結算時，場上每有1位下士/中士/上士/軍士長獲得1000/4500/12000/27500分，每有1位准尉/少尉/中尉/上尉獲得1000/6000/24000/88000分。
guide_deployment-11234001,帶有該標記的點位為機炮瞄準位，梯隊經過會遭受10%當前血量傷害。
guide_deployment-11234002,每個我方回合開始時機炮會對範圍1內我方造成10%當前血量傷害，請注意避開機炮結束回合。
guide_deployment-11321001,本關卡擊殺敵人後可以選擇相應的戰場效果來獲取更強戰力。
guide_deployment-11321002,在到達工具台點位時可以獲取無人機支援。
guide_deployment-10921001,有的時候人質會被敵人藏匿起來。前往雷達點......
guide_deployment-10921002,前往點位。
guide_deployment-10921003,釋放技能獲得戰場效果增益。
guide_deployment-10921004,部分關卡當中特殊標記的敵人也會獲得戰場效果。
guide_deployment-10933001,帶有此種圖標點位為修理點。
guide_deployment-10933002,如果左側上方有「+」代表該點位可以補給。
guide_deployment-10933003,遭遇了埋伏，前往修理點。
guide_deployment-10933004,點擊已經選擇的梯隊。
guide_deployment-10933005,選擇要修理的人形。
guide_deployment-10933006,確定啟動快速修理。
guide_deployment-10933007,關閉梯隊資訊。
guide_deployment-11353001,與AN94交談。
guide_deployment-11359001,選擇安潔莉婭。
guide_deployment-11359002,本關可以通過調節每個密碼台的數字來改變連線規則。每次使用降低10點BPM。每個梯隊可以對雷達點發動傳送，每次使用降低20點BPM.
guide_deployment-11402001,本關卡中每回合可以在指揮部選擇一個戰場效果增益並且扣除10000分，梯隊在每個回合內連續作戰會讓梯隊疲勞，下回合清除計數。
guide_deployment-11402002,後勤小隊可以抵抗福音樞椎的debuff,並且可以用塑膠炸彈炸毀該設施，同時後勤小隊可以給炮台補充炮彈，每份炮彈補充獲取5000/分。
guide_deployment-11402003,當炮台填入彈藥後可以用梯隊來選擇是否開啟支援，炮台可以支援範圍4以內的戰鬥。
guide_deployment-11402004,火力補給處被敵方踩點就會被引爆，引爆後將不能再次補充，只有後勤小隊才可以攜帶彈藥。
guide_deployment-11402005,敵人的援軍會不斷的傳送到達戰場！請注意應對。
guide_deployment-11402006,點擊按鈕。
guide_deployment-11364001,選擇安莉安娜。
guide_deployment-11364002,在信號值的關卡內，友方梯隊具有調節信號的能力，點擊釋放技能讓信號值下降到較為安全的水平。
guide_deployment-11364003,接下來的關卡中，添加了全新的<color=#00CCFF>福音樞椎</color>建築，會對我方作戰造成極大干擾，稍後長按可以查看說明。點擊建築繼續。
guide_deployment-11364004,再次選擇安莉安娜。
guide_deployment-11364005,除調節信號值外，友方梯隊還能選擇我方角色進行強化，使其免受<color=#00CCFF>福音樞椎</color>的干擾。
guide_deployment-11437001,點擊移動。
guide_deployment-11437002,拾取人形潤滑機油。
guide_deployment-11437003,拾取液化干擾噴霧。
guide_deployment-11437004,添加人形潤滑機油。
guide_deployment-11437005,添加液化干擾噴霧。
guide_deployment-11437006,點擊製作按鈕開始調和。
guide_deployment-11437007,點擊按鈕。
guide_deployment-11437008,使用人形跳躍機油跨越單行線。
guide_deployment-11484001,戰術人型機甲可以直接與敵方接觸交戰，操作戰術人型機甲攻擊敵人。
guide_deployment-11484002,選擇戰術人型機甲。
guide_deployment-11484003,控制戰術人型機甲，占領指揮部。
guide_deployment-11484004,點擊結束回合。
guide_deployment-11485001,主戰坦克可以直接與敵方接觸交戰，操作主戰坦克攻擊敵人。
guide_deployment-11485002,選擇主戰坦克。
guide_deployment-11485003,控制主戰坦克，占領指揮部。
guide_deployment-11485004,點擊結束回合。
guide_deployment-11486001,在作戰中可以給機動裝甲部隊及時修理。
guide_deployment-11486002,點擊此處修理。
guide_deployment-11486003,選擇戰術人型機甲。
guide_deployment-11486004,攻擊敵人。
guide_deployment-11486005,點擊確定。
guide_deployment-11486006,向該點位移動。
guide_deployment-11486007,前往修理點。
guide_deployment-11487001,主戰坦克在作戰中可以遠程攻擊設施。
guide_deployment-11487002,選擇遠程攻擊目標。
guide_deployment-11487003,前往下一個點位，進行補給。
guide_deployment-11487004,在此處補給彈藥、口糧與能源。
guide_deployment-11487005,發動遠程攻擊敵方單位。
guide_deployment-11487006,選擇攻擊目標。
guide_deployment-11487007,結束回合讓人形小隊行動。
guide_deployment-11487008,前往下一個點位。
guide_deployment-11487009,點擊確定。
guide_deployment-11487010,點擊任意區域。
guide_deployment-11487011,點擊主戰坦克。
guide_deployment-11480001,敵人發現了我方小隊並且炸斷了橋梁,普通梯隊無法通行。
guide_deployment-11480002,部署機甲部隊前往攔截目標敵人。
guide_deployment-11481001,我方梯隊被圍困請前往增援。（注:機動裝甲無法與人形小隊換位）
guide_deployment-11481002,機動裝甲無法進入狹小道路，協助格里芬梯隊擊破敵人。
