()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM><SE1>AVG_Helicopter</SE1>:夜晚，叢林戰場——
F1(0);MP5Mod(0)<Speaker>MP5</Speaker>||:啊這個，你沒有想要改變自己的想法嗎？+比如長高一點什麼的？格琳娜小姐說，有要求的話都可以跟指揮官提哦。
F1(0);MP5Mod(0)<Speaker>MP5</Speaker>||:<color=#A9A9A9>雖然我的身高……</color>
F1(0)<Speaker>F1</Speaker>;MP5Mod(0)||:不是這個問題啦~我啊，我不想一天到晚只是戰鬥，雖然這是我們作為戰術人形的工作，但我，但我……也有自己的一點小追求。
F1(0);MP5Mod(0)<Speaker>MP5</Speaker>||:是什麼呢？
F1(0)<Speaker>F1</Speaker>||:是一點對人形幾乎沒有用的東西，嗚嗚嗚嗚嗚……
F1(0);M1897Mod(0)<Speaker>M1897</Speaker>||:我也……
F1(0)<Speaker>F1</Speaker>;M1897Mod(0)||:不一樣的！你的清理工作起碼還是有實用價值的，如果有一天從戰場上退伍了你還能去做家政人形嘛！+但我……我喜歡的東西總是沒什麼用，甚至還會讓大家心情變差，但我還是很喜歡這樣的自己，一！點！也！不！想！被！改！造！
F1(0);MP5Mod(0)<Speaker>MP5</Speaker>||:啊——換個思路？格琳娜小姐的改造技術很好哦~一定會給你改造個你更喜歡的素體。
F1(0)<Speaker>F1</Speaker>||:才沒有，格琳娜小姐之前才搞錯了一個人形的零件！兩隻手都裝反了……
MP5Mod(0)<Speaker>MP5</Speaker>||:這，這算小問題吧……又不是把雲圖安裝錯之類的。
MP5Mod(0);M1897Mod(0)<Speaker>M1897</Speaker>||:好像她也幹過這麼一件事……
MP5Mod(0)<Speaker>MP5</Speaker>||:等等，我們不是要安慰她嗎？
F1(0)<Speaker>F1</Speaker>||:啊這都不是重點啦！我啊，哎，算了，反正指揮官的安排我也是不可能違抗的，將來跟你們聊天的F1也不知道是第幾代F1了。
F1(0);M1897Mod(0)<Speaker>M1897</Speaker>||<BGM>BGM_Empty</BGM>:詩集已經乾透啦，你可以收起來了。+不過用紙張記錄數據不會覺得效率很低嗎？現在很多都是網路書籍了呀，為什麼你還收藏紙質版？
F1(0)<Speaker>F1</Speaker>;M1897Mod(0)||:不是數據啦，是詩歌！是我一個偶像的詩歌集！他曾是這個世界上最偉大的詩人之一，他會關心每一個經過他生命的人！
F1(0)<Speaker>F1</Speaker>||<BGM>GF_Memorial</BGM>:假如看見一棵小草，他會讚揚那顆小草的頑強；假如月亮照亮了他回家的路，他會將窗戶打開用來迎接月光。+假如有位路過的人遞給他一杯美酒，他也絕不獨享……
F1(0);M1897Mod(0)<Speaker>M1897</Speaker>||:啊，這些華麗的句子都記錄在這本很厚的傢伙裡嗎？
F1(0)<Speaker>F1</Speaker>;M1897Mod(0)||:是的！他的思想和靈魂都寄宿在這本書裡！
F1(0);M1897Mod(0)<Speaker>M1897</Speaker>||:靈魂？這裡沒有晶片訊號啊？
F1(0)<Speaker>F1</Speaker>||<震屏>:<size=50>是思想！那種對詩歌的熱愛！</size>
F1(0);MP5Mod(0)<Speaker>MP5</Speaker>||:哇F1你的眼睛裡有光哦。
F1(0)<Speaker>F1</Speaker>||:我第一次接觸到他的詩歌的確是來自於網路，但是他非常堅持傳統出版，那麼我也必須追隨他嘛，只要他出一個版本，我就會買一個版本，這是現在市面上最新的版本哦！+如果有機會能見他就好了，說不定還能要個簽名什麼的。
F1(0);MP5Mod(0)<Speaker>MP5</Speaker>||:他叫什麼？可以幫你搜搜看。
F1(0)<Speaker>F1</Speaker>||:漢斯。
F1(0);M1897Mod(0)<Speaker>M1897</Speaker>||:叫這個的沒有一百萬也有八十萬吧？
F1(0);MP5Mod(0)<Speaker>MP5</Speaker>||:沒關係，我們可以請擅長數據處理的人形幫F1找找看。
F1(0)<Speaker>F1</Speaker>;MP5Mod(0)||:我找過了，早在十年前，他的家鄉就淪為了戰場。
F1(0);MP5Mod(0)<Speaker>MP5</Speaker>||:……人類是很脆弱的，即使是最柔弱的人形，也可以輕易的對付普通人類，你……
F1(0)<Speaker>F1</Speaker>||:我知道，這是一個妄念。
F1(0);M1897Mod(0)<Speaker>M1897</Speaker>||:所以你心情才這麼低落嗎？
F1(0)<Speaker>F1</Speaker>||:哎，人類的心情不論高興還是悲傷，總能夠被記錄。不知道我們的心情是否可以有傳達給別人的一天。
F1(0);MP5Mod(0)<Speaker>MP5</Speaker>||:這好辦，開個數據端口就行啦！
F1(0)<Speaker>F1</Speaker>||:哎哎，不是這種傳達啦！我說的是，嗯，怎麼說呢？+有不一樣的理解和看法，但最終也能感受到那份美好，是即使不能準確的理解他的所思所想，也能從零星半點隻言片語裡感悟到的東西。
MP5Mod(0)<Speaker>MP5</Speaker>||:F1你說話好高深啊。
M1897Mod(0)<Speaker>M1897</Speaker>||:所以是「詩人」嘛。
F1(0)<Speaker>F1</Speaker>||<黑屏1>:<color=#A9A9A9>果然人形之間也是無法完全相互理解的啦。</color>
()<Speaker></Speaker>||<BGM>BGM_Empty</BGM><黑屏2>:經過了一個夜晚的休息和補給，三人小隊準備重新出發。
MP5Mod(0)<Speaker>MP5</Speaker>||<BGM>BGM_NightOPS</BGM>:這裡地形比較分散，預計還有十幾處臨時據點，應該都是些作戰能力十分地下的散兵機關，我們分開找。
MP5Mod(0);M1897Mod(0)<Speaker>M1897</Speaker>||:好的。
MP5Mod(0);F1(0)<Speaker>F1</Speaker>||:沒問題。
MP5Mod(0)<Speaker>MP5</Speaker>||:那我們就這麼說定了，以現在的補給倉為中心朝三個方向去搜查。+這裡訊號很差容易失聯，所以大家不論結果如何，一定要在三天後來這裡交換情報，盡量不要一個人進入太深的地方，可以嗎？
MP5Mod(0);M1897Mod(0)<Speaker>M1897</Speaker>||:哇，居然能看到MP5這樣的一面，回宿舍我要傳給XM8看看。
MP5Mod(0)<Speaker>MP5</Speaker>||:不要打趣我啦！
F1(0)<Speaker>F1</Speaker>||:呼~希望這次大家都順利呀，雖然不想回去……
MP5Mod(0)<Speaker>MP5</Speaker>||:安心啦F1，我想指揮官和格琳娜小姐都會理解你的心情。
()<Speaker></Speaker>||<黑屏1><BGM>BGM_Empty</BGM>:短暫的交談結束後，大家朝著自己的方向走去……
