)||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:
APSMod(0)<Speaker>指揮官</Speaker>||:嗯，有什麼問題嗎？
APSMod(0)<Speaker>斯捷奇金</Speaker>||:問題太多了我都不知道要怎麼問您……+首先，您明知道我身上背著處分，而且這次尋回物資的任務我也失敗了，為什麼還要替我安排心智升級？
APSMod(0)<Speaker>指揮官</Speaker>||:啊……嗯……因為你對格里芬來說很重要嘛。
APSMod(0)<Speaker>斯捷奇金</Speaker>||:這算什麼回答……+算了，下一個……為什麼直接在我休眠的時候就擅自幫我心智升級完成了！
APSMod(0)<Speaker>指揮官</Speaker>||:嗯……啊……因為這樣比較方便嘛……
APSMod(0)<Speaker></Speaker>||:斯捷奇有些無力地盯著指揮官。
APSMod(0)<Speaker>斯捷奇金</Speaker>||:總是擅自做這種決定，你也是，紫杉樹也是……
APSMod(0)<Speaker>指揮官</Speaker>||:對了，說到OTs-12，她的手臂也已經修理好了，你隨時可以去看她。+根據你們的情報，基地這邊也已經派遣人手去圍剿剩下的那批鐵血了。+失敗的任務嘛……就算抵消了吧。+哦，還有，你心智升級的費用，OTs-12幫你墊付了。
APSMod(0)<Speaker></Speaker>||:斯捷奇金愣了一下，隨後又恢復了笑容。
APSMod(0)<Speaker>斯捷奇金</Speaker>||:好吧，至少現在我可以改掉那道該死的命令，再次把錢放到第一位了。
APSMod(0)<Speaker>指揮官</Speaker>||:這樣可是無法通過安全測試的。
APSMod(0)<Speaker>斯捷奇金</Speaker>||:您多慮了。+托您的福，我已經被紫杉樹墊付的費用給束縛了，這種金錢關係可比強制命令要牢固得多。
APSMod(0)<Speaker>指揮官</Speaker>||:不知道為什麼，聽完這話突然覺得自己有些悲慘……+斯捷奇金！你確實是忠誠於格里芬的吧！是吧！
APSMod(0)<Speaker></Speaker>||:斯捷奇金笑出了聲，眼眸中氤氳的笑意，同OTs-12的如出一轍。
APSMod(0)<Speaker>斯捷奇金</Speaker>||<黑屏1>:當然了，敬請期待我之後的表現吧，我親愛的長官。
