()||<BIN>8</BIN><黑屏2><BGM>BGM_Hello</BGM>:……+格里芬基地。
M1891(0)<Speaker>莫辛納甘</Speaker>||:沒有……+只是……單純睡不著而已。
M1903Cafe(0)<Speaker>春田</Speaker><Position>0,150</Position>||:睡不著的情況還喝咖啡啊，這不是好主意哦。
M1891(0)<Speaker>莫辛納甘</Speaker>||:沒事的，必要的時候把部分機能關掉就可以了。
M1903Cafe(0)<Speaker>春田</Speaker><Position>0,150</Position>||:嘻嘻，我了解了。+請稍等我一下。
()||:……
()||:春田重新將收納清洗好的沖泡用具拿出來，熟練地泡起了咖啡。
M1903Cafe(0)<Speaker>春田</Speaker><Position>0,150</Position>||:♪～♬～
M1891(0)<Speaker>莫辛納甘</Speaker>||:………+春田……
M1903Cafe(0)<Speaker>春田</Speaker><Position>0,150</Position>||:嗯？什麼事？
M1891(0)<Speaker>莫辛納甘</Speaker>||:啊……+不……沒事……
M1903Cafe(0)<Speaker>春田</Speaker><Position>0,150</Position>||:來，這是你的咖啡。
M1891(0)<Speaker>莫辛納甘</Speaker>||:……謝謝。
M1903Cafe(0)<Speaker>春田</Speaker><Position>0,150</Position>||:想要點什麼再和我說吧～
M1891(0)<Speaker>莫辛納甘</Speaker>||:好的……+……+……春田。
M1903Cafe(0)<Speaker>春田</Speaker><Position>0,150</Position>||:嗯？什麼事？
M1891(0)<Speaker>莫辛納甘</Speaker>||:那個……就是……+我最近……遇到了一點事……+啊，不是被人欺負了，就只是單純自己在給自己煩惱罷了……
M1903Cafe(0)<Speaker>春田</Speaker><Position>0,150</Position>||:…………+嗯，那是遇到了什麼呢？
M1891(0)<Speaker>莫辛納甘</Speaker>||:是因為指揮官之前告訴我，我已經被安排進心智升級的排期裡面了……
M1903Cafe(0)<Speaker>春田</Speaker><Position>0,150</Position>||:這不是一件好事嗎？+如果能更好地執行戰鬥任務，這就是個很能夠提升自己作戰效能的機會呀？
M1891(0)<Speaker>莫辛納甘</Speaker>||:雖然是這樣說，但是那個項目裡面有著太多………+我並不是排斥那些高強度合金或是戰術導軌的設計……+但是我是真的認為，經過那樣子改造之後的東西已經不再是原來的我了。+如果不能保留血統上的傳承，那麼強化又有什麼意義呢？
M1903Cafe(0)<Speaker>春田</Speaker><Position>0,150</Position>||:唔……不能對這件事提出拒絕或者其他的意見嗎？+如果是指揮官的話，他一定會聽的吧？
M1891(0)<Speaker>莫辛納甘</Speaker>||:拒絕不是辦不到……+但是指揮官就是因為擔心我和那些後輩的作戰效能差距越來越大，所以才把我的排期提前。+否則再這樣下去，我就會被從戰鬥梯隊上替換掉了……
M1903Cafe(0)<Speaker>春田</Speaker><Position>0,150</Position>||:原來事情是這樣嗎……+最近大家來這裡的時候，有很多人都提到你好像有心事的樣子。
M1891(0)<Speaker>莫辛納甘</Speaker>||:咦……？原來其他人也注意到了嗎……+我還以為我隱藏得很好……+我不希望讓其他人對指揮官有誤解，也不想在指揮官看不到的地方抱團說閒話……
M1903Cafe(0)<Speaker>春田</Speaker><Position>0,150</Position>||:或許回過頭還是跟她們說一下比較好吧，大家都很擔心你。+這樣的事情自己悶在心裡久了，反而會更難做決定的。
M1891(0)<Speaker>莫辛納甘</Speaker>||:做決定嗎……+春田……我現在……真的已經不知道該怎麼做了……
M1903Cafe(0)<Speaker>春田</Speaker><Position>0,150</Position>||:…………+不過……為什麼你會這麼堅持這件事到這樣的地步呢？+這真的很不像你以前的作風呢。
M1891(0)<Speaker>莫辛納甘</Speaker>||:其實剛開始接受戰術人形的改裝時……我和這把槍的烙印之間有很多系統上沒辦法解釋的衝突……+也可能是那時候我堅持自己應該更適合尖端的武器，而不是這種老古董吧。+直到後來我去了解了它背後的來歷和背負的東西，才知道它的身上有著很多值得我這個持有者驕傲的東西……+從那以後，我們就再也沒有過衝突了。
M1903Cafe(0)<Speaker>春田</Speaker><Position>0,150</Position>||:是呢，畢竟烙印系統和心智雲圖之間的關係，並不像理論上的那樣單純呢。
M1891(0)<Speaker>莫辛納甘</Speaker>||<黑屏1>:正是因為出於對自己這道血統的認同，所以我才能驕傲地拿著它上前線去。+所以只有這件事……我沒有辦法就這樣妥協。
