20349<-ID->()||<BIN>9</BIN><黑屏1><BGM>BGM_Sneak</BGM>:……
20372<-ID->MP446(0)<Speaker>MP-446</Speaker>||<BIN>88</BIN><黑屏1>:……+…………+不好了！C96你聽我說！+鐵血剛剛已經溜進來，要是給它們啟動傀儡的話，基地會有危險的！+……沒錯！我們不能怕它們！我們一定要阻止它！
20373<-ID->()||<BIN>9</BIN><黑屏2><BGM>BGM_Empty</BGM>:……
20374<-ID->MP-446()||<BIN>9</BIN><黑屏1><BGM>BGM_Sneak</BGM>:剛剛那個鐵血說更底下的地方還有很多歌利亞炸彈……+嗯，M1919，我知道，只要能把它帶上來引爆的話，就能摧毀這些傀儡了！+只要能往下走就一定能找到那些炸彈嗎……！
20375<-ID->MP446(0)<Speaker>MP-446</Speaker>||<BIN>47</BIN><黑屏2>:嗚……好黑……這裡到底有多深啊……+不！我才不害怕呢！+還好有你們在這裡，有大家在的話我就放心了！+C96你可別笑啊，要是你也在這裡的話你一定也會嚇到尿褲子……呃不對，裙子……呃等等……
20376<-ID->()||<BIN>47</BIN>:……MP-446想了一會兒C96的服裝。
20377<-ID->MP446(0)<Speaker>MP-446</Speaker>||<BIN>47</BIN>:算了，總之繼續前進吧！
20378<-ID->()||:……MP-446抱著那個傀儡的頭。+走到了一扇有“注意！會走路！會爆炸！”標語的門前。
20379<-ID->MP446(0)<Speaker>MP-446</Speaker>||<BIN>47</BIN>:“會爆炸”……那麼就一定是這裡了對吧？+沒有跟來吧……我應該沒有被發現吧……
20380<-ID->()||<BIN>47</BIN><黑屏1>:MP-446在黑暗中緊張地回頭，想仔細聽聲音，但是卻只聽得見自己的呼吸聲。+隨後推開了門。
20381<-ID->MP446(0)<Speaker>MP-446</Speaker>||<BIN>88</BIN><黑屏2>:嗚啊……早知道就不要回頭了，這樣反而讓人更擔心了啦……+都是C96你的錯啦！呃……怎麼會有這麼多歌利亞……+而且還全部都漆成紅色的到底是……+不過……只要能弄一個上去……+就算沒有把傀儡都炸掉，至少爆炸聲也能讓基地發現吧……
20382<-ID->BOSS-1(0)<Speaker>稻草人</Speaker>||<BGM>BGM_Empty</BGM><BIN>88</BIN>:充滿破綻的計劃，讓人不知道該從何修正起。
20383<-ID->MP446(0)<Speaker>MP-446</Speaker>;BOSS-1(0)||<BGM>BGM_Danger</BGM><BIN>88</BIN>:嗚啊啊啊！+你、你為什麼會到這裡來？！
20384<-ID->BOSS-1(0)<Speaker>稻草人</Speaker>||<BIN>88</BIN>:你是怎麼計算出我不會發現你的結論的？+實在令人好奇。算了，也不是什麼重要的事。初次見面，請去死吧。
20385<-ID->()<Speaker>MP-446</Speaker>||<BIN>88</BIN>:嗚啊啊啊啊啊啊啊啊！
20386<-ID->BOSS-1(0)<Speaker>稻草人</Speaker>||<BIN>88</BIN>:……哼？
20387<-ID->()||<BIN>88</BIN>:……稻草人想伸手抓MP-446，但反被扔出去的傀儡頭打中。+MP-446趁隙跑到了成堆的歌利亞中間。
20388<-ID->BOSS-1(0)<Speaker>稻草人</Speaker>||<BIN>88</BIN>:…………
20389<-ID->MP446(0)<Speaker>MP-446</Speaker>;BOSS-1(0)||<BIN>88</BIN>:怎麼樣！果然不敢開槍吧！+打歪的話這底下就會“砰！”地發生大爆炸哦！+開槍啊！開槍啊！來啊來啊！
20390<-ID->MP446(0);BOSS-1(0)<Speaker>稻草人</Speaker>||<BIN>88</BIN>:……………我就是用雙手也能把你撕成碎片。
20391<-ID->MP446(0)<Speaker>MP-446</Speaker>||<BIN>88</BIN>:有本事就過來啊！+看招！看我的！
20392<-ID->()||<BIN>88</BIN>:MP-446抓起了一旁的歌利亞炸彈朝稻草人擲去。+並同時抱起了另外一個。
20393<-ID->BOSS-1(0)<Speaker>稻草人</Speaker>||<BIN>88</BIN>:唔……計算之中的反抗，沒用的。
20394<-ID->MP446(0)<Speaker>MP-446</Speaker>||<BIN>88</BIN><黑屏1>2</黑屏1>:誰要跟你打啊！白痴！+再見！白痴！再見！！
20395<-ID->()||<BIN>9</BIN><黑屏2>2</黑屏2><黑屏1>:MP-446懷裡抱著紅色的歌利亞炸彈，趁隙鑽過了稻草人。+重新跑進了漆黑的走道裡，前往鐵血傀儡的封存倉庫。
