()||<BIN>34</BIN><BGM>BGM_Empty</BGM>:…………
FN57(0);BB_Noel(2)<Speaker>諾愛兒</Speaker>||<BIN>8</BIN>:只要有“觀測者”在的話就能打開“門”。+……我們要去一趟來這裡時的地方。
FAL(0)<Speaker>FAL</Speaker>;BB_Noel(2)||<BIN>8</BIN>:雷擊區嗎？
FAL(0);BB_Noel(2)<Speaker>諾愛兒</Speaker>||<BIN>8</BIN>:是的……那裡既是入口，也是出口。
FAL(0)<Speaker>FAL</Speaker>;BB_Noel(2)||<BIN>8</BIN>:哎……到現在也真是難以置信。+穿越者……+如果告訴赫麗安這種事，一定會以為我的雲圖壞掉了吧。+指揮官，調查報告看來得辛苦你一下了。
FN57(0)<Speaker>FN-57</Speaker>;BB_Noel(2)||<BIN>8</BIN>:太好了，諾愛兒小姐，終於可以回去了。
FN57(0);BB_Noel(2)<Speaker>諾愛兒</Speaker>||<BIN>8</BIN>:57小姐……恩，畢竟屬於我的東西，不在這裡。
FN57(0);GG_elfeldt_504(0)<Speaker>愛爾菲特</Speaker>||<BIN>8</BIN>:我也有自己的使命要完成……+各位，謝謝你們救了我。
FN57(0)<Speaker>FN-57</Speaker>;GG_elfeldt_504(0)||<BIN>8</BIN><黑屏1>:好吧，就當做告別，讓我們送你們最後一程……+去雷擊區吧。
()||<BIN>9</BIN><黑屏2>:諾愛兒一行人來到雷擊區後……
BB_Noel(2)<Speaker>諾愛兒</Speaker>||<BIN>2</BIN><黑屏2>:好……只要在這裡用眼之力的話……+神輝召喚！叢雲單元，啟動！
FNFNC(0)<Speaker>FN-FNC</Speaker>||<BIN>2</BIN>:唔哦？！
()||<BIN>2</BIN>:諾愛兒的姿態發生了變化——
BB_Noel_503(0)<Speaker>諾愛兒</Speaker>||<BIN>2</BIN>:呼……好像順利啟動了。+本來還擔心在這邊會無法解放呢。
BB_Noel_503(0);FNFNC(0)<Speaker>FN-FNC</Speaker>||<BIN>2</BIN>:好、好厲害……
BB_Noel_503(0);FAL(0)<Speaker>FAL</Speaker>||<BIN>2</BIN>:哈……這下我徹底相信你是穿越來的了。
BB_Noel_503(0);FN49(0)<Speaker>FN-49</Speaker>||<BIN>2</BIN>:真是不可思議……
BB_Noel_503(0);GG_elfeldt_504(0)<Speaker>愛爾菲特</Speaker>||<BIN>2</BIN>:諾愛兒小姐，我這邊也準備好了。
BB_Noel_503(0)<Speaker>諾愛兒</Speaker>;GG_elfeldt_504(0)||<BIN>2</BIN>:好的，請稍等一下……
BB_Noel_503(0)<Speaker></Speaker>;GG_elfeldt_504(0)||<BIN>2</BIN>:諾愛兒仿佛在空中尋找著什麼……
BB_Noel_503(0)<Speaker>諾愛兒</Speaker>;GG_elfeldt_504(0)||<BIN>2</BIN>:啊、找到了！是“門”！
BB_Noel_503(0);FNFNC(0)<Speaker>FN-FNC</Speaker>||<BIN>2</BIN>:門？……哪有門？+我怎麼什麼也沒看見……
BB_Noel_503(0)<Speaker>諾愛兒</Speaker>;FNFNC(0)||<BIN>2</BIN>:這是只有我的力量才能看見的概念，其他人是無法發現的。
BB_Noel_503(0);FNFNC(0)<Speaker>FN-FNC</Speaker>||<BIN>2</BIN>:……好吧，又是什麼你們那邊的“設定”嗎？
BB_Noel_503(0);FN57(0)<Speaker>FN-57</Speaker>||<BIN>2</BIN>:真慶倖鐵血沒有把你也抓過去呢。+不然我們可能就麻煩大了。
BB_Noel_503(0);FAL(0)<Speaker>FAL</Speaker>||<BIN>2</BIN>:看來是到分別的時候了……
BB_Noel_503(0)<Speaker>諾愛兒</Speaker>;FAL(0)||<BIN>2</BIN>:愛爾菲特小姐，請抓緊我。
BB_Noel_503(0);GG_elfeldt_504(0)<Speaker>愛爾菲特</Speaker>||<BIN>2</BIN>:好的！……嘿咻！
BB_Noel_503(0)<Speaker>諾愛兒</Speaker>;GG_elfeldt_504(0)||<BIN>2</BIN>:那麼，格里芬的各位，真是謝謝你們了！
BB_Noel_503(0);FAL(0)<Speaker>FAL</Speaker>||<BIN>2</BIN>:下次別再跟著雷電出現在我們這裡就好。
FNFNC(0)<Speaker>FN-FNC</Speaker>;FAL(0)||<BIN>2</BIN>:唔……+有點好奇她們的世界是什麼樣了，有點想跟去看看呢。
FNFNC(0);FN49(0)<Speaker>FN-49</Speaker>||<BIN>2</BIN>:……你認真的？
FNFNC(0)<Speaker>FN-FNC</Speaker>;FN49(0)||<BIN>2</BIN>:……開玩笑的。
FNFNC(0);GG_elfeldt_504(0)<Speaker>愛爾菲特</Speaker>||<BIN>2</BIN>:不用擔心~說不定以後還會有見面的機會呢。
FN57(0)<Speaker>FN-57</Speaker>;GG_elfeldt_504(0)</Speaker>||<BIN>2</BIN>:如果可以的話，真希望那時候你是站在我們這一邊的。
FN57(0);GG_elfeldt_504(0)<Speaker>愛爾菲特</Speaker>||<BIN>2</BIN>:嘿嘿……如果你們能幫我介紹好丈夫的話，我可以考慮一下哦？
FN57(0)<Speaker>FN-57</Speaker>;GG_elfeldt_504(0)</Speaker>||<BIN>2</BIN>:呵……女孩子不可以嗎？+你看，我也有和你很像的“耳朵”哦？+如果我作為“丈夫”的話，一定會給你想要的“浪漫”的……❤
FN57(0);GG_elfeldt_504(0)<Speaker>愛爾菲特</Speaker>||<BIN>2</BIN>:女、女孩子之間的話……？！+不、不可以！如果我們發展出了那樣禁斷關係的話……+那樣我的女子力就……我的女子力就……！
FN57(0)<Speaker>FN-57</Speaker>;GG_elfeldt_504(0)</Speaker>||<BIN>2</BIN>:嘻嘻，真是有趣的反應呢~+作為道別的禮物，已經合格了哦。
BB_Noel_503(0)<Speaker>諾愛兒</Speaker>;GG_elfeldt_504(0)</Speaker>||<BIN>2</BIN>:看來已經好好道別了呢……+愛爾菲特小姐，要出發了。
BB_Noel_503(0);GG_elfeldt_504(0)<Speaker>愛爾菲特</Speaker>||<BIN>2</BIN><黑屏1>:好、好的！那就……
愛爾菲特()<Speaker>愛爾菲特</Speaker>||<BIN>59</BIN><黑屏2>:再見了！各位！
諾愛兒()<Speaker>諾愛兒</Speaker>||<BIN>59</BIN>:格里芬的大家，再見了！
FAL()<Speaker>FAL</Speaker>||<BIN>59</BIN>:……再見了，穿越者們。
()||<BIN>59</BIN><黑屏1>:諾愛兒和愛爾菲特，飛向了上空……+一起消失在了天際的縫隙中……
FN57(0)<Speaker>FN-57</Speaker>||<BIN>2</BIN><黑屏2>:……就這樣消失了啊。+除了這裡的雷坑外，仿佛一切都像做夢一樣。
FN57(0);FAL(0)<Speaker>FAL</Speaker>||<BIN>2</BIN>:……她們不是說了嗎？“再見”……+說不定，以後還能再會呢。
FNFNC(0)<Speaker>FN-FNC</Speaker>;FAL(0)||<BIN>2</BIN>:未來世界的人都這麼厲害啊……+如果她們要是格鬥遊戲的角色，應該也不弱吧？
FNFNC(0);FN49(0)<Speaker>FN-49</Speaker>||<BIN>2</BIN>:……為什麼你會這麼想？
FNFNC(0)<Speaker>FN-FNC</Speaker>;FN49(0)||<BIN>2</BIN>:嘛……我自己也不太清楚。
FNFNC(0)<Speaker></Speaker>;FN49(0)||<BIN>2</BIN>:咕咕咕——
FNFNC(0)<Speaker>FN-FNC</Speaker>;FN49(0)||<BIN>2</BIN><黑屏1>:…………
FN-FNC()<Speaker>FN-FNC</Speaker>||<BIN>9</BIN><黑屏2>:喂，我餓了，咱們回去吃飯吧？
()||<BIN>9</BIN><黑屏2><黑屏1>:“獵兔行動”全章節終——
