()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:戰場上。
NPC-Jason(1)<Speaker>K</Speaker><通讯框>||<SE1>AVG_tele_connect</SE1>:<color=#00CCFF>你確定要這麼冒險？</color>
NPC-Jason(1)<Speaker>指揮官</Speaker>||:哪一次任務是不要求我們冒險的？
NPC-Jason(1)<Speaker>K</Speaker>||:<color=#00CCFF>那就祝你好運吧，要是你被打成篩子我會替你默哀的。</color>
NPC-Jason(1)<Speaker>指揮官</Speaker>||<BGM>BGM_Empty</BGM>:留著你的默哀好好完成工作吧，通話完畢。
()<Speaker></Speaker>||<SE1>AVG_tele_disconnect</SE1>:前方已經沒有掩蔽物了。+但是……沒有能猶豫的時間了。+我把炸藥調整到身體的兩側，盡可能將身體壓平在地面上，緩慢地朝前面挪動。
NPC-Yegor(3)<Speaker>軍方士兵A</Speaker>||:馬柳科夫被打中了！誰把他拖下去！
NPC-Yegor(3);NPC-Soldier(0)<Speaker>軍方士兵B</Speaker>||<SE2>Gunfight</SE2>:我壓住不住對面！誰還有手榴彈嗎？！
NPC-Yegor(3)<Speaker>軍方士兵A</Speaker>;NPC-Soldier(0)||<SE1>Battlefield</SE1>:沒有了，全部用完了！+我彈匣也快打完了，誰來交換位置！
NPC-Yegor(3);NPC-Soldier(0)<Speaker>軍方士兵B</Speaker>||<SE1>RunStep</SE1>:我來！+快聯繫中士再送一些穿甲彈過來！+再叫點人過來，這邊快撐不住了！
NPC-Yegor(3)<Speaker>軍方士兵A</Speaker>||<SE2>Gunfight</SE2>:他們也沒有穿甲彈了！還能動的傷員負責壓子彈，其他人省著點打！
()<Speaker></Speaker>||<SE1>Battlefield</SE1><BGM>BGM_Battle</BGM>:不遠處交火正在進行，中彈的士兵們被另外的士兵拖了下來，這些傷員身上沒有致命傷，作為經驗豐富的老兵他們並沒有露出身體進行射擊。+但是近距離交火中人形火控系統的反應速度佔據優勢，這些士兵的手臂和武器都被子彈打穿了，慘叫聲不絕於耳。+醫療兵費勁地為他們止血，而剩下的士兵從傷員身上取下彈藥，繼續返回戰鬥。+通道內槍響的回聲和士兵的喊叫震耳欲聾，我趁著剩餘士兵的注意力都在交火點的時機快速地爬過。+又有一隊士兵從臨時指揮所跑向交火點，槍口的手電筒在到處亂晃，我感到好幾次強光都已經照到了臉上……幸好他們忙著到目標地點，沒注意到趴在地上的我。+在他們跑走後我趕緊爬起身一路小跑到對面的掩體中，這才總算有空開始調整呼吸，把幾乎跳到喉嚨口的心臟安撫回原位。+現在只剩最後的難題了——軍方小隊的臨時指揮掩體就在距離我十多米的位置，但是通海閥就在指揮掩體的背後，無論如何都無法繞開。
NPC-Yegor(3)<Speaker>軍方軍官</Speaker>||:卡拉斯科的小隊呢，讓他們向我們靠攏！
NPC-Yegor(3);NPC-Soldier(0)<Speaker>軍方中士</Speaker>||:卡拉斯科已經死了，9-1和9-3小隊在試圖從側翼包抄格里芬的火力點！
NPC-Yegor(3)<Speaker>軍方軍官</Speaker>;NPC-Soldier(0)||:蘇卡！別再去包抄了！+我們必須擺脫那些人形的糾纏，上尉還在等著我們！
NPC-Yegor(3);NPC-Soldier(0)<Speaker>軍方中士</Speaker>||:但對方正死死地咬住我們，彈藥消耗得很厲害！
NPC-Yegor(3)<Speaker>軍方軍官</Speaker>;NPC-Soldier(0)||:讓他們交替掩護回來，我們都集中起來趕上去，我們是最後的力量了！
NPC-Yegor(3);NPC-Soldier(0)<Speaker>軍方中士</Speaker>||:不會再有支援了嗎？
NPC-Yegor(3)<Speaker>軍方軍官</Speaker>;NPC-Soldier(0)||:你沒聽到外面的爆炸聲麼？+你覺得那是承包商可以搞出來的動靜嗎？
NPC-Yegor(3);NPC-Soldier(0)<Speaker>軍方中士</Speaker>||:那幫該死的走狗……
NPC-Yegor(3)<Speaker>軍方軍官</Speaker>||<BGM>BGM_Empty</BGM><SE1>AVG_pistol_finalshot_sup</SE1>:只要上尉能夠到達控制室，我們的同志就沒有白白犧牲，快聯繫其他小——
()<Speaker></Speaker>||<BGM>BGM_Sneak</BGM><SE1>AVG_pistol_finalshot_sup</SE1><黑点1>:幾聲槍響，掩體內的兩人頭部血花飛濺。+我快速翻進掩體內，又對屍體的頭部各補了一槍，然後拿起其中一個人的武器和無線電，向通海閥快速奔去。+剛才的槍聲混在密集的交火聲裡，似乎還沒有敵人發現他們的指揮官已經被擊斃了，這讓我爭取到了足夠的安裝時間。
()<Speaker></Speaker>||<黑点2>:……+炸彈和引爆設備都處於良好狀態，現在只需要離開安全距離引爆就可以了。+確認過起爆器沒有問題後，我將它放回口袋中，接受了從剛才起就不斷呼入的通訊。
NPC-Jason(1)<Speaker>K</Speaker><通讯框>||<SE1>AVG_tele_connect</SE1>:<color=#00CCFF>指揮官，聽得到嗎？</color>+<color=#00CCFF>我這邊炸彈已經設置完畢了。</color>
NPC-Jason(1)<Speaker>指揮官</Speaker>||:收到，我這邊也完成了。+你先離開吧，我這裡碰到點麻煩。
NPC-Jason(1)<Speaker>K</Speaker>||:<color=#00CCFF>你把他們的指揮官給幹掉了？</color>
NPC-Jason(1)<Speaker>指揮官</Speaker>||:不這麼做我就穿不過去。
NPC-Jason(1)<Speaker>K</Speaker>||:<color=#00CCFF>你小心一點，其他的小分隊已經在開始找你了。</color>
NPC-Jason(1)<Speaker>指揮官</Speaker>||:明白，我先和安潔聯繫一次，然後再做接下來的判斷。
NPC-Jason(1)<Speaker>K</Speaker>||:<color=#00CCFF>你的位置能聯繫上她們嗎？</color>
NPC-Jason(1)<Speaker>指揮官</Speaker>||<SE1>AVG_tele_disconnect</SE1>:剛才通訊干擾消失了，現在應該沒問題，通話完畢。
()<Speaker>指揮官</Speaker>||<SE1>AVG_tele_connect</SE1>:安潔，聽得到我說話嗎？
NPC-Ange(1)<Speaker>安潔莉婭</Speaker><通讯框>||:<color=#00CCFF>可以聽到。</color>+<color=#00CCFF>我現在有點忙，請長話短說。</color>
NPC-Ange(1)<Speaker>指揮官</Speaker>||:所有炸彈和引爆器都設置完成了，隨時可以起爆。+你們的情況如何？
NPC-Ange(1)<Speaker>安潔莉婭</Speaker>||:<color=#00CCFF>葉戈爾突圍進入第二層了，我們小隊正在追擊。</color>+<color=#00CCFF>AR小隊還在上層和其他裝甲單位交火，我不清楚她們的情況。</color>+<color=#00CCFF>我們現在情況並不占優，指揮官請隨時做好引爆的準備。</color>
NPC-Ange(1)<Speaker>指揮官</Speaker>||:收到，你們什麼時候可以撤出來？
NPC-Ange(1)<Speaker>安潔莉婭</Speaker>||:<color=#00CCFF>不管我們撤不撤出來，都準備引爆炸彈，將引爆時間設置在五分鐘後。</color>+<color=#00CCFF>趁這個時間讓所有可以避難的人都往高處走。</color>
NPC-Ange(1)<Speaker>指揮官</Speaker>||:不是說如果能夠擊敗軍方的話，就不使用這個後備方案了嗎？
NPC-Ange(1)<Speaker>安潔莉婭</Speaker>||:<color=#00CCFF>情況變了，現在海星有被啟動的跡象，就算我們不馬上阻止航空炸彈也會扔到我們頭上。</color>+<color=#00CCFF>大意了，就算葉戈爾沒進控制室，之前M16也接觸過梭魚節點核心，她也同樣可能有著啟動海星的權限。</color>+<color=#00CCFF>該死，這座基地和裡面的設施都不應該存在，事到如今只能隨機應變了。</color>
NPC-Ange(1)<Speaker>指揮官</Speaker>||<SE1>AVG_tele_disconnect</SE1>:明白了，我讓其他人想辦法撤離，完畢。
()<Speaker>指揮官</Speaker>||<SE1>AVG_tele_connect</SE1>:M4？這裡是指揮官，聽得到嗎？你們情況怎麼樣了？
NytoIsomer(3)<Speaker>丹德萊</Speaker><通讯框>||:<color=#00CCFF>指揮官請說，AR小隊正在激烈交戰中，而且原本AR小隊的成員也出現了。</color>
NytoIsomer(3)<Speaker>指揮官</Speaker>||:想辦法讓她們都回來。+安潔在下層發現了海星有被啟動的跡象，五分鐘後就要引爆通海閥了，基地的下層都會被海水淹沒掉。
NytoIsomer(3)<Speaker>丹德萊</Speaker>||:<color=#00CCFF>這做不到，我們和敵人已經非常接近了，無法立即離開。</color>+<color=#00CCFF>另外M4正準備去追逐M16，這裡沒人可以攔住她。</color>
NytoIsomer(3)<Speaker>指揮官</Speaker>||:嘖……想辦法讓她們都回來，五分鐘後就要引爆通海閥了，再往下一切都會被海水淹沒掉。
NytoIsomer(3)<Speaker>丹德萊</Speaker>||:<color=#00CCFF>我會儘量讓她們離開的。</color>
NytoIsomer(3)<Speaker>指揮官</Speaker>||<SE1>AVG_tele_disconnect</SE1>:拜託了，完畢。
()<Speaker>指揮官</Speaker>||<SE1>AVG_tele_connect</SE1>:格琳娜，能聽到嗎？我這邊炸彈設置好了，你帶著我們的梯隊往高處移動，五分鐘後炸彈就會引爆。
NPC-Kalin(8)<Speaker>格琳娜</Speaker><通讯框>||:<color=#00CCFF>那您怎麼辦？！</color>+<color=#00CCFF>那些士兵開始後退了，要不我們再發動一次攻擊！</color>
NPC-Kalin(8)<Speaker>指揮官</Speaker>||:別再冒險了，我會想辦法自己回來的，完畢。
NPC-Yegor(3)<Speaker>軍方士兵</Speaker>;NPC-Kalin(8)||:普萊切科夫，帶著你的小隊跟上我！+蘇卡，9-3聽得到嗎？少尉被幹掉了，有敵人滲透進來了！+搜索周圍，把該死的老鼠找出來！
NPC-Yegor(3)<Speaker>指揮官</Speaker>||<SE1>AVG_tele_disconnect</SE1>:來得真快。
()<Speaker></Speaker>||:掩體附近有士兵開始靠近過來。我看了看手裡的裝備和引爆器，用這些和過來的一個班直接對抗顯然不是最好的選擇。+更何況我還有更重要的任務。+但是士兵已經快要形成包抄之勢，想故技重施潛行回去恐怕也不可行了。
NPC-Soldier(0)<Speaker>軍方士兵</Speaker>||<BGM>BGM_Empty</BGM>:在這裡！
NPC-Soldier(0)<Speaker>指揮官</Speaker>||<BGM>BGM_Danger</BGM>:！！
NPC-Soldier(0)<Speaker></Speaker>||:此時待在原地就是等死。我用繳獲來的步槍朝著士兵掃射，在他們尋找掩護時用最快的速度衝了出去。
NPC-Soldier(0)<Speaker>軍方士兵</Speaker>||<SE2>Gunfight</SE2>:找到老鼠了，射擊！
()<Speaker></Speaker>||<SE2>Gunfight</SE2><SE1>RunStep</SE1><快跑>:落雨般的子彈緊追著腳步而來。+我無暇顧及掉落的步槍，只能用盡全速衝過面前的路口。+翻滾著躲避掉最後幾顆子彈，我撲進小巷裡，再次躲藏起來。
NPC-Soldier(0)<Speaker>軍方士兵</Speaker>||<SE1>AVG_rifle_finalshot_h</SE1>:包抄過去！不要讓老鼠跑了！
()<Speaker></Speaker>||<SE2>MachineGunBurst</SE2><白屏1>:士兵以兩人一組以蹲姿和站姿貼在一起向我所在的小巷裡射擊。+我聽得出還有另一個小組一邊進行點射一邊靠近小巷邊緣，但向這裡傾瀉的火力太過密集，我根本無法探頭。+喀噠、咕嚕嚕。什麼東西滾進了這條巷子。+……是手榴彈。
()<Speaker>指揮官</Speaker>||<白屏2><SE1>Explode</SE1>:唔！
()<Speaker></Speaker>||<SE1>AVG_bigglassbreak</SE1>:轟！+在爆炸前的一瞬間，我趴倒在地，過近的震響帶來無法停止的耳鳴聲。我立刻——也可能是過了幾秒才爬起來，靠著牆大口喘息。+汗水一直在冒，分不清到底是冷汗還是過度運動所致。左臂痛得厲害，手指麻木的感覺預示著最糟的情況。+我將右手伸進衣衫裡確認，觸碰處一片溫熱潮濕。
指揮官()<Speaker>指揮官</Speaker>||:運氣真不好啊……
()<Speaker></Speaker>||:敵人越來越近，時間已經不多了。+我用力搖了搖頭甩掉汗水，將懷裡的引爆器握在左手上。還好這隻手沒有糟到無法握拳。+我拔出手槍，做好最後一搏的準備。+真是似曾相識的場景……不過比起現在，那時還真是酒會一樣悠閒啊。
()<Speaker>指揮官</Speaker>||<SE1>AVG_weapon_reload</SE1>:當初應聘的時候……可沒說有這麼大職業風險啊，老闆。+哈……哈，可惜沒法找你要加班費了。
()<Speaker></Speaker>||<SE2>Gunfight</SE2>:士兵們的槍聲在變大，簡直到了振聾發聵的地步。+照這個樣子，很快就會跨越掩體了吧。+坐以待斃就太遜了。我從掩體中抬身，舉槍瞄準——
()<Speaker></Speaker>||<BGM>BGM_Empty</BGM><SE1>AVG_rifle_finalshot_3h</SE1>:槍聲忽然響起了。不是士兵的位置，而是更遠的地方。
NPC-Soldier(0)<Speaker>軍方士兵</Speaker>||:嗯！？
NPC-Soldier(0)<Speaker>指揮官</Speaker>||:<color=#A9A9A9>這槍聲，不是手槍。</color>+<color=#A9A9A9>奇怪，這又是哪裡的援兵？</color>
()<Speaker></Speaker>||<SE2>MachineGunBurst</SE2>:嘭！嘭！+士兵應聲頭部中彈倒下，剩下的士兵試圖回過頭尋找射擊者的位置，但是很快也被命中要害。+轉眼間，這處戰場重歸寂靜。
？？？()<Speaker>？？？</Speaker>||<SE1>AVG_footsteps_woodfloor</SE1>:<color=#00CCFF>救下指揮官您的命可是額外的付費服務啊，回去後記得在報酬後面多加一個零哦。</color>
指揮官()<Speaker>指揮官</Speaker>||:404？
UMP45Mod(0)<Speaker>UMP45</Speaker><通讯框>||:<color=#00CCFF>怎麼樣，指揮官，看到天降援兵是不是開心得要笑出聲了？</color>+<color=#00CCFF>不過不要笑得太早，滲透進來的只有我和416，我們會想辦法帶你離開的。</color>
UMP45Mod(0);HK416Mod(0)<Speaker>HK416</Speaker><通讯框>||:<color=#00CCFF>堅持住，我們馬上就過來。</color>
UMP45Mod(0);HK416Mod(0)<Speaker>指揮官</Speaker>||:我們想辦法找到高處的地方，通海閥馬上就要引爆了。
UMP45Mod(0)<Speaker>UMP45</Speaker>;HK416Mod(0)||<黑屏1>:<color=#00CCFF>那我們得加快速度了，我們的位置暴露的現在，想離開可沒有那麼容易。</color>+<color=#00CCFF>唉……雖然不情願，但是只能請求她們的支援了。</color>
