模組()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:
M4 SOPMOD IIMod(0)<Speaker>M4 SOPMOD II</Speaker>;M4A1Mod(3)||:那我要去幫忙！
M4 SOPMOD IIMod(0);M4A1Mod(3)<Speaker>M4A1</Speaker><通讯框>||:<color=#00CCFF>原地待機就好，SOP2。</color>
M4 SOPMOD IIMod(0)<Speaker>M4 SOPMOD II</Speaker>;M4A1Mod(3)||:誒？這麼好玩的機會……
M4A1Mod(3)<Speaker>M4A1</Speaker><通讯框>||:<color=#00CCFF>原地待機就好。</color>
RO635(0)<Speaker>RO635</Speaker>||:那就這樣吧，AR15也快到了。+……怎麼了，SOP2？表情怪怪的。
RO635(0);M4 SOPMOD IIMod(0)<Speaker>M4 SOPMOD II</Speaker>||:M4說她那邊有感染生物要解決，但我沒聽見她開槍……+好奇怪。
RO635(0)<Speaker>RO635</Speaker>;M4 SOPMOD IIMod(0)||:也許離她還有一段距離吧，防禦系統也只是剛解決掉而已。+不過，這個不是有指揮官指派的其他人形負責嗎？
RO635(0);M4 SOPMOD IIMod(0)<Speaker>M4 SOPMOD II</Speaker>||:也許M4想去幫忙吧。+算了算了，AR15，我們去那邊——
RO635(0)<Speaker>RO635</Speaker>||<黑点1>:……+（不，這也太奇怪了。）+（M4她就像是，像是……比起指揮官給予的任務，她更像是出於自己的目的在追求什麼。）+（……希望是我多心了。）
M4A1Mod(0)<Speaker>M4A1</Speaker><通讯框>||<BIN>202</BIN><黑点2><SE1>AVG_tele_connect</SE1>:<color=#00CCFF>報告指揮官，AR小隊到達塔林車站內。</color>+<color=#00CCFF>目標地暫未發現危險因素，輻射等級較低，我們正在擴大偵測範圍。</color>
M4A1Mod(0)<Speaker>SOP2的聲音</Speaker>||:<color=#00CCFF>指揮官！沒問題的，快過來吧！</color>
M4A1Mod(0)<Speaker>M4A1</Speaker>||:<color=#00CCFF>……總之，請給予下一步指示。</color>+<color=#00CCFF>……</color>
M4A1Mod(0)<Speaker>M4A1</Speaker>||<BGM>BGM_Empty</BGM><黑屏1>:<color=#00CCFF>明白了，我們會調整軌道，引導列車入站。請您等待訊號發出。</color>
()<Speaker></Speaker>||<BIN>55</BIN><黑屏2><SE1>AVG_tele_disconnect</SE1>:與此同時，巡邏中的格里芬小隊。
Kord(0)<Speaker>Kord</Speaker>||:剛剛又不小心弄得一片狼藉，真是沒辦法……+最近的壓力是不是太大了？+除了戰鬥，也得找別的方法排解一下呢。
Kord(0)<Speaker></Speaker>||<SE1>AVG_tele_connect</SE1>:……通訊接入。
Kord(0)<Speaker>Kord</Speaker>||:嗯？新命令嗎……+您好，指揮官。我是Kord，請說。+我明白了，我將和SSG3000的梯隊匯合，一起進行探索控制中心的任務。+嗯？連續進行任務也沒關係的。等到了休息的時候，您再……
Kord(0)<Speaker>Kord</Speaker>||<SE1>AVG_tele_disconnect</SE1><BGM>BGM_Empty</BGM>:……+喂？+您還聽得到嗎，指揮官？+奇怪，訊號不好嗎。
Kord(0)<Speaker></Speaker>||<BIN>55</BIN><Night>:在Kord嘗試重連時，她發現周圍不知何時起霧了。
Kord(0)<Speaker>Kord</Speaker>||<BGM>m_avg_labyrinth</BGM>:這邊霧氣真重。
Kord(0)<Speaker>Kord</Speaker>||<SE1>AVG_tele_connect</SE1>:呼叫SSG3000，聽得到我的聲音嗎？+……+也接不通嗎。
Kord(0)<Speaker></Speaker>||:咔吧。+類似樹枝折斷的聲音，在一片寂靜裡敲打上她的聽覺系統。
Kord(0)<Speaker>Kord</Speaker>||:“鐵血工造”，還是“帕拉蒂斯”？
()<Speaker></Speaker>||<SE1>AVG_footsteps_cave</SE1>:霧越來越濃。模糊的人影從霧中走近。
AbandonedIsomer(0)<Speaker>？？？</Speaker>||:……+你是……誰？+不是我的同類……你會是我的敵人嗎？
Kord(0)<Speaker>Kord</Speaker>||:（聽著像是女性的聲音。奇怪，為什麼完全看不清……也探測不到她的訊號。）+請不要再靠近了。無論你是誰，如果再不停下的話，我就會對你開槍。
AbandonedIsomer(0)<Speaker>？？？</Speaker>||:那就是……敵人嗎？+殺掉我，做得到嗎？+或者，你更想被我殺死？
()<Speaker></Speaker>||:模糊的人影越來越近，Kord瞄準了對方的腿部，正要扣動扳機，卻發現自己的手動彈不得。
Kord(0)<Speaker>Kord</Speaker>||:……怎麼回事？+這個聲音，不是聽覺模組收到的……+糟糕，我的心智雲圖被入侵了嗎？！
()<Speaker></Speaker>||<黑屏1><SE1>ClothingUp</SE1>:Kord維持著握槍的姿勢，木然地倒下了。
AbandonedIsomer(0)<Speaker>？？？</Speaker>||<BIN>9</BIN><黑屏2><黑屏1>:你不是能救我們的人……+在這裡……好好睡吧。
()<Speaker></Speaker>||<黑屏2><BIN>197</BIN><BGM>BGM_Empty</BGM>:……
AR15Mod(0)<Speaker>AR15</Speaker>||<BGM>BGM_Room</BGM>:M4！M4，聽得到嗎？
AR15Mod(0);M4A1Mod(0)<Speaker>M4A1</Speaker>||:……+啊，我剛才走神了嗎？抱歉。
AR15Mod(0)<Speaker>AR15</Speaker>;M4A1Mod(0)||:不要走神，“隊長”。+指揮官要我們駐守在這裡防禦車站，其他人形梯隊去尋找隔離牆的控制中心。
AR15Mod(0);M4A1Mod(0)<Speaker>M4A1</Speaker>||:我知道。……剛才，好像感覺到了一些未知訊號。
AR15Mod(0)<Speaker>AR15</Speaker>;M4A1Mod(0)||:未知訊號？像是帕拉蒂斯那樣的嗎？
AR15Mod(0);M4A1Mod(0)<Speaker>M4A1</Speaker>||:我不知道，但我現在也能感覺到，數量正在增加。+……它們應該是朝著這邊來了。
M4 SOPMOD IIMod(0)<Speaker>M4 SOPMOD II</Speaker>;M4A1Mod(0)||:什麼什麼！真正的敵人終於要出現了嗎！
M4 SOPMOD IIMod(0);M4A1Mod(0)<Speaker>M4A1</Speaker>||:我不確定。RO，能掃描到附近有別的生物，或者機械嗎？
RO635(0)<Speaker>RO635</Speaker><通讯框>;M4A1Mod(0)||:<color=#00CCFF>……只有格里芬的訊號啊。</color>+<color=#00CCFF>不過，剛才有點起霧了，訊號也變得不太好。我也不太能確定，要不要出去偵查一下？</color>
M4A1Mod(0)<Speaker>M4A1</Speaker>||:暫時不用，按原定命令執行就好。+……+等等，你剛才說什麼，起霧了？
M4 SOPMOD IIMod(0)<Speaker>M4 SOPMOD II</Speaker><通讯框>||:<color=#00CCFF>對呀，現在比剛才還重。感覺變得更濃了。</color>
()<Speaker></Speaker>||:M4A1三步並作兩步走到車站門前。+外面的世界清晰明朗，沒有一點霧氣存在。
RO635(0)<Speaker>RO635</Speaker>||:<color=#00CCFF>果然有點起霧了。</color>
RO635(0);M4A1Mod(0)<Speaker>M4A1</Speaker>||<BGM>BGM_Empty</BGM>:……+RO，聽得清我說話嗎？
RO635(0)<Speaker>RO635</Speaker><通讯框>;M4A1Mod(0)||:<color=#00CCFF>還可以，音質有點受損。怎麼回事，明明這麼近的距離……</color>
RO635(0);M4A1Mod(0)<Speaker>M4A1</Speaker>||:SOP2！聽得清我在說什麼嗎？
M4 SOPMOD IIMod(0)<Speaker>M4 SOPMOD II</Speaker>;M4A1Mod(0)||:<color=#00CCFF><size=50>M4！你在通訊頻道發了什麼給我啊，我聽不太清！</size></color>
M4A1Mod(0)<Speaker>M4A1</Speaker>||<BGM>m_avg_tension</BGM>:……AR15。
AR15Mod(0)<Speaker>AR15</Speaker>;M4A1Mod(0)||:我也沒看到霧。
AR15Mod(0);M4A1Mod(0)<Speaker>M4A1</Speaker>||:有非常高頻度的鏈接在訪問我們的心智接口，她們看到的霧氣大概是強行連接帶來的模擬干擾……
AR15Mod(0)<Speaker>AR15</Speaker>;M4A1Mod(0)||:我已經完全關閉心智端口，所以沒有受影響。
AR15Mod(0);M4A1Mod(0)<Speaker>M4A1</Speaker>||:Stand……alone……嗎。+很奇怪，如果是攻擊性入侵，現在我們所有人都已經癱瘓了才對。而對方僅僅讓她們看到霧，這是想做什麼……
AR15Mod(0)<Speaker>AR15</Speaker>;M4A1Mod(0)||:會不會這並不是入侵，只是一種無序的……鏈接。
AR15Mod(0);M4A1Mod(0)<Speaker>M4A1</Speaker>||:鏈接？
AR15Mod(0)<Speaker>AR15</Speaker>;M4A1Mod(0)||:高頻度的鏈接，讓齊納協議無法正常運作，進一步干擾了我們人形的心智運算。+人形會通過齊納協議來通訊和共享訊息，如果在協議中的大部分人形都看到了霧，那協議會對你的心智進行糾錯，即使沒有霧你也會看到。
AR15Mod(0);M4A1Mod(0)<Speaker>M4A1</Speaker>||:那得多大的訊息修改量才能做到這一點……
AR15Mod(0)<Speaker>AR15</Speaker>;M4A1Mod(0)||<黑屏1>:我不想被別人改變，不管是傘病毒還是人形，所以我選擇封閉了心智接口。+而你和她們不一樣，你甚至可以容納另一個“自己”……所以感知不到。+我們得盡早找到鏈接的源頭，不然我們的隊友就有大麻煩了。
