()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Truth</BGM>:
NPC-AngeDamage(3)<Speaker>安潔莉婭</Speaker>;NPC-Persica(3)||:我說的事實，你知道我一向是按照結果導向來做計畫。
NPC-AngeDamage(3);NPC-Havel(1)<Speaker>哈威爾</Speaker><通讯框>||:<color=#00CCFF>你確定？你真的覺得這名指揮官值得用你的性命來交換？</color>
NPC-AngeDamage(3)<Speaker>安潔莉婭</Speaker>;NPC-Havel(1)||:這不是交換，是取捨……而且我可還沒準備放棄自己……+只是我現在的狀態很難進行指揮，交給那位指揮官也許還有一線生機。+而且那位指揮官在對抗軍方時已經證明了自己的能力，如果忤逆還需要支援，指揮官是不會袖手旁觀的……+而且就算任務失敗了……至少格里芬還能繼續存在下去。
NPC-AngeDamage(3);NPC-Havel(1)<Speaker>哈威爾</Speaker>||:<color=#00CCFF>為了格里芬，我應該很感動嗎？</color>
NPC-AngeDamage(2)<Speaker>安潔莉婭</Speaker>;NPC-Havel(1)||:畢竟我也在那裡待過，我喜歡那裡……+快點吧，再拖延下去，連格里芬都無法挽回了。
NPC-AngeDamage(2);NPC-Havel(1)<Speaker></Speaker>||:……通訊器對面的哈威爾長長的歎了口氣。
NPC-AngeDamage(2);NPC-Havel(1)<Speaker>哈威爾</Speaker>||:<color=#00CCFF>你知道我不會放棄你的，不過我也理解你的決定。</color>+<color=#00CCFF>我知道你說的是哪位指揮官，但是我不知道座標。</color>
NPC-AngeDamage(0)<Speaker>安潔莉婭</Speaker>;NPC-Havel(1)||:如果格里芬沒有移位的話，指揮官的位置應該還在臨時指揮部。+那個位置離爆炸中心點還有一些距離，格里芬部隊應該還有一些存活的人形和雇員，除了火力的支援外，我希望你還能想辦法幫他們撤離……
NPC-AngeDamage(0);NPC-Havel(1)<Speaker>哈威爾</Speaker>||:<color=#00CCFF>雖然你這麼說，但現在除了有衛星通訊的你以外，我們並不能聯繫上指揮官。</color>
NPC-AngeDamage(0)<Speaker>安潔莉婭</Speaker>;NPC-Havel(1)||:我會想辦法找個基站建立通訊通道……不過我不知道我能不能做到……
NPC-AngeDamage(0);NPC-Havel(1)<Speaker>哈威爾</Speaker>||:<color=#00CCFF>希望你能儘快，那樣的話沒准你受到的感染還可以被治療。</color>+<color=#00CCFF>我會離開一會兒去協調運輸機通行的許可權，祝你能活到那個時候吧。</color>
NPC-AngeDamage(0)<Speaker>安潔莉婭</Speaker>||:哈威爾離開了通訊。
NPC-AngeDamage(0);NPC-Persica(3)<Speaker>帕斯卡</Speaker><通讯框>||:<color=#00CCFF>既然你知道格里芬的座標，如果你能撤離到他們控制的區域………</color>
NPC-AngeDamage(0)<Speaker>安潔莉婭</Speaker>;NPC-Persica(3)||:我明白，最後的機會。先按我說的做吧……我會努力往那邊靠攏的……+有感染者向我的位置靠攏了，我必須移動了，一會兒再聊。
NPC-Persica(3)<Speaker>帕斯卡</Speaker>||:<color=#00CCFF>安潔，等等，我們會努力——</color>
()<Speaker></Speaker>||:……安潔關閉了通訊。
NPC-AngeDamage(2)<Speaker>安潔莉婭</Speaker>||:如果你看到我的這張臉，你就知道沒什麼好努力的了。+當然，也許很快我連這張臉都不會剩下了……
NPC-AngeDamage(2)<Speaker></Speaker>||:……安潔靠著牆，歎了口氣。
NPC-AngeDamage(2)<Speaker>安潔莉婭</Speaker>||:麻煩透了……真是一步都不想再動了……
()<Speaker></Speaker>||:……腳步聲和嚎叫聲愈發靠近。
NPC-AngeDamage(3)<Speaker>安潔莉婭</Speaker>||<黑屏1>:嘖，它們察覺到我了……+雖然也許活不了多久了……不過死在這裡也未免太難看了……+再走出一點點試試看吧，安潔……
()<Speaker></Speaker>||<BIN>157</BIN><黑点2><BGM>BGM_Empty</BGM>:……安潔逃到下一個掩體中，怪物的嚎叫聲卻一直緊隨著自己。
NPC-AngeDamage(3)<Speaker>安潔莉婭</Speaker>||<BGM>BGM_Sad</BGM>:體力快到極限了……+身體終於快支撐不住了嗎……
()<Speaker>？？</Speaker>||<震屏>:呃啊啊啊啊——
NPC-AngeDamage(3)<Speaker>安潔莉婭</Speaker>||:在哪裡……+聲音越來越近了……+到底在哪裡！
NPC-AngeDamage(3)<Speaker>安潔莉婭</Speaker><Shake>||:……！！+在後面！
()<Speaker></Speaker>||<SE2>MachineGunBurst</SE2>:……安潔一轉身，用手槍擊中了那個怪物！+……但是！
()<Speaker>？？</Speaker>||<震屏>:呃啊啊啊啊——！！
NPC-AngeDamage(3)<Speaker>安潔莉婭</Speaker>||:死不掉嗎？+不愧是——！
NPC-AngeDamage(3)<Speaker>安潔莉婭</Speaker>||<震屏><SE2>MachineGunBurst</SE2>:E！
NPC-AngeDamage(3)<Speaker>安潔莉婭</Speaker>||<震屏><SE2>MachineGunBurst</SE2>:I！
NPC-AngeDamage(3)<Speaker>安潔莉婭</Speaker>||<震屏><SE2>MachineGunBurst</SE2>:L！
NPC-AngeDamage(3)<Speaker>安潔莉婭</Speaker>||<震屏><SE2>MachineGunBurst</SE2>:D！
NPC-AngeDamage(3)<Speaker>安潔莉婭</Speaker>||<震屏><SE2>MachineGunBurst</SE2>:感！染！者！
()<Speaker></Speaker>||:……
()<Speaker></Speaker>||<震屏>:……那個怪物倒地了。
NPC-AngeDamage(0)<Speaker>安潔莉婭</Speaker>||:哈……！+哈……！+咳咳……+結果……還是能殺死的啊。
()<Speaker>感染者</Speaker>||<震屏>:呃啊啊啊啊啊——！！
()<Speaker></Speaker>||:……更多的感染者從掩體外匍匐湧來！
NPC-AngeDamage(3)<Speaker>安潔莉婭</Speaker>||:被槍聲吸引來的嗎？
()<Speaker></Speaker>||:……安潔扣了扣扳機，已經沒有子彈了。
NPC-AngeDamage(0)<Speaker>安潔莉婭</Speaker>||:我就知道……
()<Speaker></Speaker>||:……安潔把武器丟在地上，攤開雙手。
NPC-AngeDamage(0)<Speaker>安潔莉婭</Speaker>||:就在這裡吧，最好沒人發現我。
()<Speaker>感染者</Speaker>||<震屏>:呃啊啊啊啊啊——！！
()<Speaker>？？</Speaker>||<BGM>BGM_Empty</BGM>:哎呀……已經連遺言都想好了嗎？
()<Speaker>？？</Speaker>||:抱歉，我們來早了。
NPC-AngeDamage(0)<Speaker>安潔莉婭</Speaker>||<黑屏1><CGDelay>0.4</CGDelay>:你們啊……
()<Speaker>安潔莉婭</Speaker>||<BIN>9</BIN><黑屏2>:趁我還有力氣反悔，快點搞定。
()<Speaker></Speaker>||<SE2>Gunfight</SE2><黑屏1>:……
()<Speaker></Speaker>||<BIN>157</BIN><BGM>BGM_Sneak</BGM><黑屏2>:……
NPC-AngeDamage(0)<Speaker>安潔莉婭</Speaker>||:你們是怎麼找到我的……
NPC-AngeDamage(0);AK12(0)<Speaker>AK12</Speaker>||:不是你一直在呼叫我們嗎，雖然沒法進行通訊，但還是可以鎖定你的位置。+本來以為你已經快不行了，沒想到跑得還挺快，我們不得不一邊消滅這些玩意一邊追趕你。
NPC-AngeDamage(0)<Speaker>安潔莉婭</Speaker>;AK12(0)||:嘖，果然剛才不想動的直覺是正確的。
AK12(0)<Speaker>AK12</Speaker>||:沒想到這些東西是真的呢，我還以為有些訓練永遠都派不上用場。
AK12(0)<Speaker></Speaker>||:……AK12用腳戳翻一具感染者的屍體。
AK12(0)<Speaker>AK12</Speaker>||:不過，只是些噁心又無能的怪物而已。
AN94(0)<Speaker>AN94</Speaker>||:這就是廣域性低輻射感染者……
NPC-AngeDamage(0)<Speaker>安潔莉婭</Speaker>||:一般我們稱他們為EILD，第一次真正見到吧？三戰後確實很少見了。+耐受度差的普通人被輻射後會直接致死，身體好一些的感染加劇後就會變異成這幅樣子，肉體矽化，失去理智，在真正死亡前充滿攻擊性。+你們得感謝爆炸沒經過多久，在輻射區內待得越久，那些人類就會變得越可怕。
AK12(0)<Speaker>AK12</Speaker>||:那些感染者，是被M4A1引爆的那些坍塌液髒彈波及的軍方士兵嗎？
NPC-AngeDamage(0)<Speaker>安潔莉婭</Speaker>||:是的，現在時間還比較短，只有處在引爆核心區域的人會受到影響而變異。+但是污染正在擴散，來不及撤出的人類也會加入它們……+……比如我。
AN94(0)<Speaker>AN94</Speaker>||:暫時不會，我正在給你做一些簡單的治療，你要撐住。
AK12(0)<Speaker></Speaker>||:……AK12撿起地上的武器。
NPC-AngeDamage(0)<Speaker>安潔莉婭</Speaker>;AK12(0)||:那個已經沒彈藥了。
NPC-AngeDamage(0);AK12(0)<Speaker>AK12</Speaker>||:至少讓我認出這具屍體是你啊。
NPC-AngeDamage(0)<Speaker></Speaker>||:……安潔忍著疼痛笑了笑，接過武器。
NPC-AngeDamage(0)<Speaker>安潔莉婭</Speaker>||:咳……用槍來識別屍體效率也未免太低了。
NPC-AngeDamage(0);AN94(0)<Speaker>AN94</Speaker>||:別動，安潔，消毒還沒結束。
NPC-AngeDamage(0)<Speaker>安潔莉婭</Speaker>;AN94(0)||:沒什麼用的，咳咳……這可是坍塌輻射……皮膚表面會潰爛然後矽化，消毒派不上什麼用處……+身體的肌肉和血管也會逐漸硬化……你們人形想像不出這有多痛苦……+能撐到你們出現就很走運了，我以為你們會跟著M4A1……
NPC-AngeDamage(0);AN94(0)<Speaker>AN94</Speaker>||:M4A1去追主腦了，她被帶上了軍方的洲際列車。
NPC-AngeDamage(0);AK12(0)<Speaker>AK12</Speaker>||:AR15跟過去了，我們攔不住她。
NPC-AngeDamage(3)<Speaker>安潔莉婭</Speaker>;AK12(0)||:那你們應該也跟上，我說過那是任務。
NPC-AngeDamage(3);AN94(0)<Speaker>AN94</Speaker>||:我們當時負責掩護她們上車，車已經開走了，接下來的事我們無能為力。+我們的任務已經完成了，現在重要的是你。
NPC-AngeDamage(3)<Speaker>安潔莉婭</Speaker>;AN94(0)||:我？拋下我也許你們還有希望，帶上通訊器和帕斯卡建立通訊，然後聽她的指揮撤離。
NPC-AngeDamage(3);AK12(4)<Speaker>AK12</Speaker>||:你要放棄了？安潔，你什麼時候變得那麼悲觀了？
NPC-AngeDamage(3)<Speaker>安潔莉婭</Speaker>;AK12(4)||:你有信心一隻手扶著我一隻手向敵人射擊？+除了要對付這些喪屍片演員，還有軍方，他們不會因為一個炸彈而完全癱瘓。+如果葉戈爾還活著，那他只剩下一個目的，就是報復，或者說得更直白一些，那就是幹掉我們……
NPC-AngeDamage(3);AN94(0)<Speaker>AN94</Speaker>||:那我們就撤離，離開這裡。+也許沿路有些格里芬傀儡為我們重啟使用，我們能撐過去。
NPC-AngeDamage(2)<Speaker>安潔莉婭</Speaker>||:污染區的所有訊號都收到嚴重干擾，通訊和定位設備都壞了，我也不知道該去哪兒。+就這樣吧……我累了……想睡一會……
AK12(3)<Speaker>AK12</Speaker>||:安潔！
()<Speaker></Speaker>||<震屏>:啪！+AK12上去狠狠地打了安潔一個耳光。
AK12(3)<Speaker>AK12</Speaker>||:剛才你讓我們帶上衛星通訊和帕斯卡建立聯繫，這說明我們的後方已經有計劃了，只要想辦法離開污染區就可以執行撤離，我說的沒錯吧。
NPC-AngeDamage(0)<Speaker>安潔莉婭</Speaker>||:…………
AK12(3)<Speaker>AK12</Speaker>||:我知道你現在很痛苦，不過就這麼隨便放棄一點都不像你的作風。+我還記得你承諾的回去要請我們喝一杯。如果你這麼想解脫，那不如我來幫你一把，這樣你也可以死得輕鬆一點。
()<Speaker></Speaker>||<SE1>Select</SE1>:AK12將槍指向安潔的頭部。
AN94(2)<Speaker>AN94</Speaker>||:12……這樣不行……！
()<Speaker></Speaker>||:空氣像凝固了一樣，就這麼對峙了好幾秒鐘。
NPC-AngeDamage(0)<Speaker>安潔莉婭</Speaker><Shake>||:哼……哼……+哈哈哈哈哈……+
NPC-AngeDamage(3)<Speaker>安潔莉婭</Speaker><Shake>||:啊痛痛痛……+該死，不應該這麼笑的……
AK12(3)<Speaker></Speaker>||:AK12舉槍的手有一些顫抖。
NPC-AngeDamage(0)<Speaker>安潔莉婭</Speaker>||:光是拒絕我的指令，就已經快超載你的心智模組了吧，要是在這裡就融毀了，可沒人能帶我出去了。
NPC-AngeDamage(0);AK12(4)<Speaker>AK12</Speaker>||:看來對付你，光用虛張聲勢是行不通的。
NPC-AngeDamage(0)<Speaker>安潔莉婭</Speaker>;AK12(4)||:敵我判斷的指令可是我親自輸入的，不如說，你還真有膽量敢這麼做。
NPC-AngeDamage(0);AK12(4)<Speaker>AK12</Speaker>||:“忤逆”這個名字，不就是這個意思嗎？你知道我們和你之前的人形部下不一樣。
NPC-AngeDamage(0)<Speaker>安潔莉婭</Speaker>;AK12(4)||:哼……多謝提醒，我差點忘了這種一點都不重要的事了。+AN94，停止治療，我們立刻出發。
NPC-AngeDamage(0);AN94(4)<Speaker>AN94</Speaker>||:可是感染的地方還沒有完全包紮好……
NPC-AngeDamage(0)<Speaker>安潔莉婭</Speaker>;AN94(4)||:不必了，反正包紮了也沒有什麼用，不如先行動起來。
NPC-AngeDamage(0);AK12(0)<Speaker>AK12</Speaker>||:不和往常一樣，先信心滿滿地告訴我們接下來的計畫嗎？
NPC-AngeDamage(0)<Speaker>安潔莉婭</Speaker>;AK12(0)||:計畫？計畫就是我們朝北直線移動，能走多遠就走多遠。
NPC-AngeDamage(0);AK12(0)<Speaker>AK12</Speaker>||:為什麼是朝北？而且你確定要直線移動嗎？外面還有很多感染者，走規避路線會比較安全吧。
NPC-AngeDamage(0)<Speaker>安潔莉婭</Speaker>;AK12(0)||:現在唯一可能還存在的安全區域就在北面，我們人類在小時候會學到直線的速度比較快，所以現在是賭一把的時候了。
AK12(2)<Speaker>AK12</Speaker>||:你說了算。94，附近有大約20個感染者，做好戰鬥準備。+我會負責突擊清理道路，你帶著安潔進行移動，一步都不要離開她。
AN94(0)<Speaker>AN94</Speaker>||:明白，我會做好護衛的。
AK12(2)<Speaker>AK12</Speaker>||<黑屏1>:那就開始行動！
()||<BIN>10</BIN><黑点2>:
