()||<BGM>BGM_Boss</BGM><BIN>15</BIN>:……格里芬一處廢棄指揮室，鐵血破壞者最後的藏身地。
BOSS-11(0)<Speaker>夢想家</Speaker>;AR15(0)||:哎呀……你也不像資料上顯示地那麼冷酷死板呢。+但是為什麼呢？作為人形，不惜違抗雇主的代價究竟是什麼呢？
BOSS-11(0);AR15(2)<Speaker>AR15</Speaker>||:你們利用我，洩露了危害同伴的情報……+夢想家，你認為我會原諒你們的行為嗎！
BOSS-11(0)<Speaker>夢想家</Speaker>;AR15(2)||:別激動嘛，你明明早就發現了吧，你是情報的洩露源。+如果早一點通知大家，破壞者的爆破計畫可能就泡湯了哦。
破壞者()<Speaker>破壞者</Speaker>||:等等，夢想家，你說什麼！+也就是說，我的作戰只是個陪襯嘛！
BOSS-11(0);AR15(2)<Speaker>AR15</Speaker>||:……+隨你怎麼想，我現在要做的事情，和格里芬的命令沒關係。
BOSS-11(0)<Speaker>夢想家</Speaker>;AR15(2)||:哦？看來你還不明白呢。+你認為我們是隨手抽到了你，就像劣質的人類決定筆下角色生死一樣隨意嗎？+不……AR-15，你是被選中的。+你還記得嗎？我們饋贈給你的那份能力？
BOSS-11(0);AR15(2)<Speaker>AR15</Speaker>||:……？！+難道說，這一切……
BOSS-11(0)<Speaker>夢想家</Speaker>;AR15(2)||:嘻嘻，是的呀。+要不要再掙扎一下試試呢，格里芬的AR-15？+看看你的垂死一擊，會讓事情變得更好，還是更糟？
BOSS-11(0);AR15(0)<Speaker>AR15</Speaker>||<黑屏1>:……+那就如你所願，夢想家。
AR15()<Speaker>AR15</Speaker>||<黑屏2><BIN>27</BIN>:……我會掙扎下去，直到弄清楚這一切。
夢想家()<Speaker>夢想家</Speaker>||:為了同伴，竟然甘願背叛整個格里芬，我該讚揚這份深刻的愛意嗎？
AR15()<Speaker>AR15</Speaker>||<黑屏1>:這只是我作為人形，接受的命令罷了。+作為AR小組成員……最為優先的命令。+就算失去所有歸宿，我也不會背叛當初接納了自己的人。+這是我唯一的價值，唯一的命運。+鐵血，讓我們走著瞧吧。+鐵血所有的陰謀，我會踩著你們的臉頰，讓你們一個一個的擠出來！
