14213<-ID->()||<BIN>34</BIN><SE2>Gunfight</SE2><BGM>BGM_Danger</BGM>:……404小隊作戰中。
14239<-ID->BOSS-7(0);M4A1Mod(0)<Speaker>M4A1</Speaker>||<BIN>7</BIN><Night>:………是的。+已經沒有必要了。+很高興你願意陪我走完最後一程，計量官。
14240<-ID->BOSS-7(0)<Speaker>計量官</Speaker>;M4A1Mod(0)||<BIN>7</BIN><Night>:………+你在隱瞞什麼？M4A1！
14241<-ID->BOSS-7(0)<Speaker></Speaker>||<BIN>7</BIN><Night><BGM>BGM_Empty</BGM>:……滴。
14242<-ID->BOSS-7(0);UMP45(0)<Speaker><通讯框>||<BIN>7</BIN><Night>:計量官，和M4聊得開心嗎？+不過在開心之餘……別忘記老朋友哦~
14243<-ID->BOSS-7(0)<Speaker>計量官</Speaker>;UMP45(0)||<BIN>7</BIN><Night>:404？！+你們還活著？
14244<-ID->BOSS-7(0);UMP45(0)<Speaker>||<BIN>7</BIN><Night>:別這麼驚訝嘛。+對了，為了慶祝我們的重逢，我們給你送了些禮物。+請不要客氣地收下吧。
14245<-ID->BOSS-7(0)<Speaker>計量官</Speaker>;UMP45(0)||<BIN>7</BIN><Night>:……什麼？！+後方部隊的訊號消失了……怎麼會！
14246<-ID->BOSS-7(0);UMP45(0)<Speaker>||<BIN>7</BIN><Night><黑点1>:喜歡嗎？+好啦，不打擾你。+帶著這份喜悅，繼續享受和M4那愉快的交談吧。
14247<-ID->()||<BIN>7</BIN><Night><黑点2>:——通信中斷。
14248<-ID->UMP45(0)<Speaker>||<BGM>BGM_Sneak</BGM><BIN>7</BIN><Night>:好了，禮物已經送到。+我們去和AR小隊會合吧。
14249<-ID->HK416(0)<Speaker>;UMP45(0)||<BIN>7</BIN><Night><黑屏1>0.6</黑屏1>:……
14250<-ID->()||<BIN>7</BIN><Night><黑屏2>0.6</黑屏2>:作戰結束，計量官被消滅。
14251<-ID->NPC-Ange(0)<Speaker>安潔</Speaker>||<BIN>7</BIN><Night>:辛苦了，404小隊。+這次作戰相當成功，多虧有你們配合。
14252<-ID->UMP45(0)<Speaker>;NPC-Ange(0)||<BIN>7</BIN><Night>:忤逆小隊和AR小隊的人打成一片了嗎？+這還真是令人驚訝。
14253<-ID->UMP45(0);NPC-Ange(0)<Speaker>安潔</Speaker>||<BIN>7</BIN><Night>:在戰場上，擁有相同目的的人很容易達成共識。
14254<-ID->UMP45(0)<Speaker>;NPC-Ange(0)||<BIN>7</BIN><Night>:好吧。+不過你們居然直接把計量官解決了嗎……+失去了一個套取情報的機會，很可惜啊。
14255<-ID->UMP45(0);NPC-Ange(0)<Speaker>安潔</Speaker>||<BIN>7</BIN><Night>:戰場上總會出現一些意外的。
14256<-ID->UMP45(0)<Speaker>||<BIN>7</BIN><Night>:哎呀哎呀……戰場還真是個充滿驚喜的地方吶。+比如之前那位固執的大小姐，總算改變心意參加戰鬥了呢。
14257<-ID->AR15Mod(4)<Speaker>AR15</Speaker>;UMP45(0)||<BIN>7</BIN><Night>:謝謝你的關心。+也許被用你的酬金維修的這隻手打爆，會是個更大的驚喜吧？
14258<-ID->AR15Mod(4);UMP45(0)<Speaker>||<BIN>7</BIN><Night>:真是可怕啊。+現在我們姑且算隊友，這樣做真的好嗎？
14259<-ID->AR15Mod(4)<Speaker>AR15</Speaker>;UMP45(0)||<BIN>7</BIN><Night>:敵人和朋友都不是永遠的，UMP45。
14260<-ID->AR15Mod(4);HK416(0)<Speaker>||<BIN>7</BIN><Night>:容我打斷一下你們的敘舊。+AR小隊……你們只有兩個人在這裡？+M16呢？
14261<-ID->M4A1Mod(3)<Speaker>M4A1</Speaker>;HK416(0)||<BIN>7</BIN><Night>:她失蹤了。
14262<-ID->M4A1Mod(3);HK416(0)<Speaker>||<BIN>7</BIN><Night>:什麼？+M16A1……？+你確定——
14263<-ID->M4A1Mod(3)<Speaker>M4A1</Speaker>;HK416(0)||<BIN>7</BIN><Night>:事實如此。
14264<-ID->HK416(0)<Speaker></Speaker>||<BIN>7</BIN><Night>:……M4A1走開了。
14265<-ID->HK416(0)<Speaker>||<BIN>7</BIN><Night>:那個傢伙……我不相信……
14266<-ID->UMP45(2)<Speaker>||<BIN>7</BIN><Night>:……
14267<-ID->NPC-Ange(0)<Speaker>安潔</Speaker>||<BIN>7</BIN><Night>:這麼快就和她們聊完了嗎？
14268<-ID->UMP45(2)<Speaker>;NPC-Ange(0)||<BIN>7</BIN><Night>:啊……
14269<-ID->UMP45(0)<Speaker>;NPC-Ange(0)||<BIN>7</BIN><Night>:和她們說說場面話就夠了。+現在說正事……任務已經完成了。
14270<-ID->UMP45(0);NPC-Ange(0)<Speaker>安潔</Speaker>||<BIN>7</BIN><Night>:嗯，你們這次做得很好。
14271<-ID->UMP45(0)<Speaker>;NPC-Ange(0)||<BIN>7</BIN><Night>:那麼，報酬呢？
14272<-ID->UMP45(0);NPC-Ange(0)<Speaker>安潔</Speaker>||<BIN>7</BIN><Night>:報酬自然是相當豐厚的。+不過我想，你要的應該不止是常規的那些東西吧。
14273<-ID->UMP45(0)<Speaker>;NPC-Ange(0)||<BIN>7</BIN><Night>:明知故問。+告訴我，我在數據庫裡發現的那些東西——+歐伽斯系統，伊萊莎，以及到底是什麼人利用了我……和40。
14274<-ID->UMP45(0);NPC-Ange(0)<Speaker>安潔</Speaker>||<黑屏1><BIN>7</BIN><Night>:你拿到的那些情報，最終都會導向你真正想要的東西——+那就是蝴蝶事件的真相。
14275<-ID->安潔()||<BIN>9</BIN><黑屏2><黑屏1>:放心吧。+今天之後……+無論是你，我，還是格里芬的那些指揮官……+我們所有人，都會找到復仇的對象。
