()||<BGM>BGM_Empty</BGM><BIN>9</BIN><黑屏1>0,10</黑屏1>:
NPC-Persica(0)<Speaker>指揮官</Speaker><通讯框>||:是的，我想這幾個月……對我們彼此來說，都是一段難熬的時期。
NPC-Persica(0)<Speaker>帕斯卡</Speaker><通讯框>||:<color=#00CCFF>指揮官，實際上我找你，是為了……</color>
NPC-Persica(0)<Speaker>指揮官</Speaker><通讯框>||:是為了M4，對嗎？
NPC-Persica(1)<Speaker>帕斯卡</Speaker><通讯框>||:<color=#00CCFF>啊……</color>
NPC-Persica(1)<Speaker>指揮官</Speaker><通讯框>||:我印象中，你也不曾為了其他事情特地聯絡我，這還蠻好猜的。
NPC-Persica(0)<Speaker>帕斯卡</Speaker><通讯框>||:<color=#00CCFF>……那我就直接進入正題了。</color>
NPC-Persica(0)<Speaker>帕斯卡</Speaker><通讯框>||:<color=#00CCFF>一直以來，我都在追查蝴蝶事件的真相。而你這次要去的地方，無論是同萊柯還是事件本身，都有著千絲萬縷的聯繫。</color>
NPC-Persica(0)<Speaker>帕斯卡</Speaker><通讯框>||:<color=#00CCFF>但是在那次被嚴密封鎖的軍事行動後不久，我就一直處於被監視的狀態，前段時間也和AR小隊的孩子們失去了聯繫……</color>
NPC-Persica(0)<Speaker>指揮官</Speaker><通讯框>||:那次行動後，可是又發生了很多事呢。
NPC-Persica(0)<Speaker>帕斯卡</Speaker><通讯框>||:<color=#00CCFF>（苦笑）貝萊格萊德的報導我也看到了。看樣子，我的腳步落後的可不是一點半點程度。</color>
NPC-Persica(0)<Speaker>帕斯卡</Speaker><通讯框>||:<color=#00CCFF>那麼AR小隊她們呢？</color>
NPC-Persica(0)<Speaker>指揮官</Speaker><通讯框>||:已經出發執行任務了。+我正準備聯繫M4所在的先遣梯隊，看看她們偵查塔林的任務進展如何，要為你轉接給她嗎？
NPC-Persica(1)<Speaker>帕斯卡</Speaker><通讯框>||:<color=#00CCFF>等一下！先別……</color>
NPC-Persica(1)<Speaker>指揮官</Speaker><通讯框>||:說實話那個孩子我也不太好應付，總覺得她一直在迴避我。+我以為趁開始戰鬥前有點空檔，跟熟悉的人敘敘舊也能讓M4穩定一些。
NPC-Persica(3)<Speaker>帕斯卡</Speaker><通讯框>||:<color=#00CCFF>還是不要了……</color>
NPC-Persica(3)<Speaker>指揮官</Speaker><通讯框>||:所以，帕斯卡小姐，你既想幫助M4，又不想直接面對她，是為什麼呢？
NPC-Persica(3)<Speaker>帕斯卡</Speaker><通讯框>||:<color=#00CCFF>……我很難回答。</color>
NPC-Persica(3)<Speaker>指揮官</Speaker><通讯框>||:如果要下委託，或著想要我給予協助的話，那我也希望能夠知道“為什麼”。
NPC-Persica(3)<Speaker>帕斯卡</Speaker><通讯框>||:<color=#00CCFF>民間軍事公司不就應該跟雇傭兵一樣……拿錢辦事就好了嗎？酬勞我會給足的。</color>
NPC-Persica(3)<Speaker>指揮官</Speaker><通讯框>||:如果是以前的我應該會同意這種看法。+但是現在，我也得為格里芬全體人類和人形員工的安全做考慮。你想保護你心愛的作品，我也想保護我重視的部下。+你覺得錢能買到我們之間的信賴嗎，帕斯卡？
()||<BGM>BGM_Empty</BGM>:這個質問令通訊頻道上的帕斯卡陷入了一段很長的沉默。+過了好半晌，帕斯卡緩緩地垂下頭去。
NPC-Persica(0)<Speaker>帕斯卡</Speaker><通讯框>||<BGM>BGM_Wake2</BGM>:<color=#00CCFF>……我對那孩子……M4……虧欠太多了。</color>
NPC-Persica(0)<Speaker>帕斯卡</Speaker><通讯框>||:<color=#00CCFF>M4對我而言有特別的意義，我想盡己所能地保護她。所以才有了AR小隊……</color>
NPC-Persica(0)<Speaker>帕斯卡</Speaker><通讯框>||:<color=#00CCFF>我為了完成我心目中完美的作品而在她身上增加了不該增加的負擔，在她離開後我才醒悟過來，我到底做了什麼？</color>
NPC-Persica(0)<Speaker>帕斯卡</Speaker><通讯框>||:<color=#00CCFF>我為了滿足自己的私慾，不僅傷害了她，還不斷地讓她重要的朋友被奪走。</color>
NPC-Persica(0)<Speaker>帕斯卡</Speaker><通讯框>||:<color=#00CCFF>我還放任她回到那個殘酷而充滿敵意的世界，甚至是連我的摯友也因此負了重傷……</color>
NPC-Persica(0)<Speaker>指揮官</Speaker><通讯框>||:……帕斯卡小姐，鳥兒終有一天會展翅離巢。+M4在不斷地成長，她的表現我們有目共睹，你應該信任你的孩子。
NPC-Persica(0)<Speaker>帕斯卡</Speaker><通讯框>||:<color=#00CCFF>我……並不是這個意思。不過，嗯，你也說得沒錯。</color>
NPC-Persica(0)<Speaker>指揮官</Speaker><通讯框>||:我還有個問題，你是怎麼知道我來塔林了？如果有洩漏情報的源頭，我就得設法找出來加以封閉。
NPC-Persica(0)<Speaker>帕斯卡</Speaker><通讯框>||:<color=#00CCFF>過去的一段時間裡，我不斷嘗試搜索你和AR小隊成員的下落，卻一直沒有成果。</color>
NPC-Persica(0)<Speaker>帕斯卡</Speaker><通讯框>||:<color=#00CCFF>不過鑒於在貝萊格萊德的事件中，媒體也捕捉到了很多人形活動的蹤跡，我分析過後確信你跟格里芬人形們都平安無事。</color>
NPC-Persica(0)<Speaker>帕斯卡</Speaker><通讯框>||:<color=#00CCFF>而哈維爾一直對這一系列事特別關注，所以……我稍微調查了一下他的私人帳戶付款紀錄。</color>
NPC-Persica(0)<Speaker>指揮官</Speaker><通讯框>||:啊，看樣子除了把哈維爾先生滅口以外，沒有其他堵住洩漏管道的手段啦，真沒辦法。+那麼，我的疑問解決了，回到正題吧。你希望我提供怎樣的服務呢？
NPC-Persica(0)<Speaker>帕斯卡</Speaker><通讯框>||:<color=#00CCFF>我原本希望你召回AR小隊，讓她們回來16Lab，或著遠離前線的安全位置。</color>
NPC-Persica(0)<Speaker>帕斯卡</Speaker><通讯框>||:<color=#00CCFF>但是聽了剛才那番話，我覺得自己可能又差一點做出了錯誤的決定……</color>
NPC-Persica(0)<Speaker>指揮官</Speaker><通讯框>||:作戰已經開始了，這種情況下隨意更改命令與梯隊序列，只會造成無謂的混亂。+就算帕斯卡小姐提出這樣的要求，我也不會接受的。+而且……M4她，我總覺得她在追尋些什麼。我想即使下達命令，她也不會願意就這麼離開的。
NPC-Persica(0)<Speaker>帕斯卡</Speaker><通讯框>||<BGM>BGM_Empty</BGM>:<color=#00CCFF>我想也是呢……抱歉，是我太過任性了。</color>
NPC-Persica(0)<Speaker>指揮官</Speaker><通讯框>||<BGM>10065</BGM>:不過在合理的範圍內……格琳娜，能把指揮系統以觀察者模式授權給帕斯卡小姐嗎？
NPC-Kalin(2)<Speaker>格琳娜</Speaker><通讯框>||:<color=#00CCFF>欸？可以是可以啦，但是把戰況直播給外部人員……沒問題嗎？</color>
NPC-Kalin(2)<Speaker>指揮官</Speaker><通讯框>||:我們用來轉發訊號的無人機也都是帕斯卡的設計，她跟16Lab支持格里芬至今，不算外人。+這一次作戰要面對很多未知威脅，我希望能藉助帕斯卡小姐的智慧來避開危險。
NPC-Kalin(3)<Speaker>格琳娜</Speaker><通讯框>||:<color=#00CCFF>好吧，我相信指揮官的判斷。</color>
NPC-Kalin(3)<Speaker>格琳娜</Speaker><通讯框>||<SE1>AVG_tele_connect</SE1>:<color=#00CCFF>帕斯卡小姐－－您的觀察者權限已授權，從現在起您可以同步到我們的戰場監測頻道了。</color>
NPC-Kalin(3)<Speaker>指揮官</Speaker><通讯框>||:如果你看到任何的可疑跡象，或著潛在威脅，就跟我說一聲。+但是最後怎麼判斷，還是由我這邊來下決定。可以嗎，帕斯卡小姐？
NPC-Persica(0)<Speaker>帕斯卡</Speaker><通讯框>||:<color=#00CCFF>……謝謝你，指揮官。在這之後我會設法報答你的。</color>
NPC-Persica(0)<Speaker>指揮官</Speaker><通讯框>||:那酬勞就算成一杯咖啡如何？
NPC-Persica(1)<Speaker>帕斯卡</Speaker><通讯框>||:<color=#00CCFF>咦？</color>
NPC-Persica(1)<Speaker>指揮官</Speaker><通讯框>||:你說過要請我喝咖啡的，剛見面的時候。
NPC-Persica(3)<Speaker>帕斯卡</Speaker><通讯框>||:<color=#00CCFF>啊……真是的，我在搞什麼，搬家後我完全忘記了這檔事。</color>
NPC-Persica(2)<Speaker>帕斯卡</Speaker><通讯框>||:<color=#00CCFF>對了，我會給咖啡加很多的方糖喔。</color><c>那還真是令人期待呢。<c>我是黑咖啡派的，真可惜。
NPC-Persica(2)<Speaker>指揮官</Speaker><通讯框>||<分支>1</分支>:那還真是令人期待呢。
NPC-Persica(1)<Speaker>帕斯卡</Speaker><通讯框>||<分支>1</分支>:<color=#00CCFF>原來指揮官也是甜派？這可真是偉大的新發現，我們應該會很合得來。</color>
NPC-Persica(2)<Speaker>指揮官</Speaker><通讯框>||<分支>2</分支>:我是黑咖啡派的，真可惜。
NPC-Persica(2)<Speaker>帕斯卡</Speaker><通讯框>||<分支>2</分支>:<color=#00CCFF>如果是客人，就得學會入境隨俗。不過，因為是指揮官的關係，要我破例也是無所謂。</color>
NPC-Persica(2)<Speaker>帕斯卡</Speaker><通讯框>||<黑屏1>:<color=#00CCFF>那麼，就這樣約定了。等這一切塵埃落定後，我會邀請你來我的研究室。</color>
()||<BGM>BGM_Empty</BGM><黑屏2><BIN>197</BIN>:
()||<SE1>MachineGunBurst</SE1>:……塔林市，洲際鐵路車站外圍。
()||<BGM>BGM_Boss2</BGM><SE2>Gunfight</SE2>:一聲槍響打破了寧靜的廢墟氣息，隨之而來的是越來越密集的交火音。
M4 SOPMOD IIMod(0)<Speaker>M4 SOPMOD II</Speaker>||:呼！剛才好險啊，RO你還好嗎？
RO635(4)<Speaker>RO635</Speaker>||<SE1>Gunfight</SE1>:我沒事……可惡，帕拉蒂斯的傢伙沒碰上，但是到處都是自動炮塔。
AR15Mod(0)<Speaker>AR15</Speaker>||:我們的任務是為洲際列車找出一條前往塔林基地的安全道路。+若放任這些防衛設施開火，那麼列車肯定無法安全通過市區……這些鐵路沿線的自動炮塔，必須排除。
RO635(0)<Speaker>RO635</Speaker>||:話是這麼說，但那些自動炮塔甚至有些還裝備了護盾裝置，非常難啃。
RO635(5)<Speaker>RO635</Speaker>||:現在這樣被壓著打，別說排除障礙，我們能不能安全撤離都成問題了！我們需要更大威力的重裝小隊的支援！
M4 SOPMOD IIMod(0)<Speaker>M4 SOPMOD II</Speaker>||:重裝小隊還在指揮官那裡，要過一段時間才能跟上來吧。+RO，你不是會電子戰嗎？能不能黑進那些炮塔的作業系統裡奪取權限？
RO635(5)<Speaker>RO635</Speaker>||:你說的倒簡單……但問題是這些老式炮塔，啟動自律模式後就會切換成封閉線路。+換句話說，我得貼到那些炮塔的操作面板前，或者連上它們的內網節點才可能接上線！
M4 SOPMOD IIMod(0)<Speaker>M4 SOPMOD II</Speaker>||:唉……這麼麻煩的嗎？
RO635(0)<Speaker>RO635</Speaker>||:要不然呢，都是上個世代的老舊系統了，我也很頭痛啊……
AR15Mod(0)<Speaker>AR15</Speaker>||:其實也不是不能一試。我們吸引炮塔的注意力，然後掩護RO推進到炮塔的死角與其連接侵入……+……你覺得呢，這個計劃感覺應該能行？M4？
M4A1Mod(0)<Speaker>M4A1</Speaker>||:（能夠入侵嗎？那麼，這裡就交給你了。）
M4A1Mod(0)<Speaker>M4A1</Speaker>||:……不需要。
AR15Mod(2)<Speaker>AR15</Speaker>||:但是這樣一來……
M4A1Mod(0)<Speaker>M4A1</Speaker>||:大家裝好子彈準備行動，我會設法連接並關閉防衛系統，但是無法持續太久。+在那之後，我們要一口氣趁機衝進塔林市車站裡。聽清楚了嗎？
RO635(3)<Speaker>RO635</Speaker>||:但是那種事，怎麼可能……
AR15Mod(0)<Speaker>AR15</Speaker>||<SE1>AVG_weapon_reload</SE1>:噓。RO，相信M4吧，大家準備好，等待訊號。
M4A1Mod(4)<Speaker>M4A1</Speaker>||<SE2>AVG_tele_disconnect</SE2>:準備——三、二、一……現在！
()||:原本震耳欲聾、覆蓋整條大街的炮火聲瞬間戛然而止。
()||:AR15朝外扔出了一顆石頭，看著石子滾過整條街道也沒有激起任何反擊後，率先站了出來。
AR15Mod(0)<Speaker>AR15</Speaker>||<黑点1><SE2>Runstep</SE2>:開始移動，目標車站！動作快！
()||<BIN>197</BIN><黑点2><SE1>Runstep</SE1><BGM>BGM_Empty</BGM>:沒有遭遇到任何攻擊與阻撓，格里芬人形們一鼓作氣衝進了塔林車站內部。
RO635(0)<Speaker>RO635</Speaker>||<BGM>BGM_Room</BGM>:真不敢相信……！車站周圍的這麼多自動炮台都……
M4 SOPMOD IIMod(0)<Speaker>M4 SOPMOD II</Speaker>||:就算朝它們開火也不會招來反擊，全部都癱瘓掉了！
RO635(0)<Speaker>RO635</Speaker>||:剛才外面那些炮台一口氣全部都被黑掉了，你到底是怎麼辦到的，M4？
M4A1Mod(0)<Speaker>M4A1</Speaker>||:……我之前的心智升級安裝了一些新的模組，尤其是在電子戰方面進行了大幅強化。+身為AR小隊的隊長，總不能再讓我的隊員們陷入險境之中。
AR15Mod(0)<Speaker>AR15</Speaker>||:幹得好，M4。心智負擔得住嗎？
M4A1Mod(0)<Speaker>M4A1</Speaker>||:嗯，謝謝關心……我想休息一下，喘口氣，讓腦袋稍微散熱。
AR15Mod(0)<Speaker>AR15</Speaker>||:不要太依賴它。
M4A1Mod(0)<Speaker>M4A1</Speaker>||:嗯……
M4 SOPMOD IIMod(0)<Speaker>M4 SOPMOD II</Speaker>||:你們在悄悄說什麼？
M4A1Mod(0)<Speaker>M4A1</Speaker>||:沒什麼。比起那個，RO，能幫我個忙嗎？我剛才在嘗試黑入炮台時，探測到車站地下應該有個數據傳輸非常頻繁的網路節點，我推測是自律防禦系統的指揮中心……+找到那個的話，就能連接到塔林市的城防主系統架構了。
RO635(0)<Speaker>RO635</Speaker>||:節點是嗎……我馬上就去。
M4 SOPMOD IIMod(0)<Speaker>M4 SOPMOD II</Speaker>||<黑屏1>:我也去幫忙！找東西的話人家最擅長了。
()||<黑屏2><BIN>46</BIN><Night>:
RO635(0)<Speaker>RO635</Speaker>||<SE1>AVG_footsteps_cave</SE1>:唔嗯……節點……有沒有長得像是電腦或終端的機器……
RO635(0);M4 SOPMOD IIMod(0)<Speaker>M4 SOPMOD II</Speaker>||:電腦的話，是服務台的那個嗎？
RO635(0)<Speaker>RO635</Speaker>;M4 SOPMOD IIMod(0)||:啊，洲際鐵路的車站控制台……這個可以。
RO635(0);M4 SOPMOD IIMod(0)<Speaker>M4 SOPMOD II</Speaker>||:剛才M4好厲害啊，沒想到電子戰可以做到那種程度！RO你該多向她學學的。
RO635(4)<Speaker>RO635</Speaker>;M4 SOPMOD IIMod(0)||<BGM>BGM_Empty</BGM>:那才不是什麼電子戰。（小聲）
RO635(4);M4 SOPMOD IIMod(0)<Speaker>M4 SOPMOD II</Speaker>||<BGM>BGM_Brain</BGM>:誒？這是什麼意思？
RO635(4)<Speaker>RO635</Speaker>;M4 SOPMOD IIMod(0)||:電子戰同時侵入兩三台機體進行實時操縱，這種程度的話倒還可以理解。
RO635(4)<Speaker>RO635</Speaker>;M4 SOPMOD IIMod(0)||:但是，像她那樣同時操縱幾十門自動炮台，簡直……+在沒有物理接觸的情況下，直接侵入沒有齊納協議的內網系統，這種操作更是匪夷所思。
RO635(4);M4 SOPMOD IIMod(0)<Speaker>M4 SOPMOD II</Speaker>||:……你認為M4對我們說了謊？但是，為什麼？
RO635(3)<Speaker>RO635</Speaker>||:也許有，也許沒有。我總覺得，她自己可能也不是很清楚那是怎麼辦到的……總之一切都等任務完成之後再說。+好啦，讓我看看這傢伙的開關在……這裡嗎。
()||<黑屏1><SE1>AVG_tele_connect</SE1><BGM>BGM_Empty</BGM>:喀嚓……嗡嗡嗡嗡嗡嗡……
()|||<黑屏2><BIN>46</BIN>:車站內的照明忽然全部點亮起來，原本停止多年的空調系統也全部再度轉動，揚起一片塵埃。
()||:原本寂靜的車站地下空間，很快被機械運轉的噪音填滿。
RO635(3)<Speaker>RO635</Speaker>||<BGM>BGM_Room</BGM>:咦？這樣看來，供電系統都還在嗎，幫大忙了。+開始連接，查詢……洲際鐵路防衛系統……好，有了。M4，聽得到嗎？
RO635(3);M4A1Mod(0)<Speaker>M4A1</Speaker><通讯框>||:<color=#00CCFF>收到，聽得很清楚。車站大廳這邊恢復照明了，是你幹的嗎？</color>
RO635(0)<Speaker>RO635</Speaker>;M4A1Mod(0)<通讯框>||:是的，塔林的供電網路十分充足。設備完好到……該怎麼說，很難相信是已經放棄幾十年的污染區，有這麼多發電機還可以正常運作。+總感覺像是有人在棄城後還繼續維護塔林的基礎建設似的。
RO635(0);M4A1Mod(0)<Speaker>M4A1</Speaker><通讯框>||:<color=#00CCFF>是這樣嗎……隔離牆控制中心也在裡面嗎？</color>
RO635(0)<Speaker>RO635</Speaker>;M4A1Mod(0)<通讯框>||:不……沒有找到隔離牆相關的權限，城內的防禦系統也不會和城外的隔離牆控制系統放在一起吧？
RO635(0);M4A1Mod(0)<Speaker>M4A1</Speaker><通讯框>||:<color=#00CCFF>說得也是……那麼，鐵路沿線的防衛系統呢？能關掉嗎？</color>
RO635(0)<Speaker>RO635</Speaker>;M4A1Mod(0)<通讯框>||:從車站控制台這裡只能操作周邊一小部分的自動炮塔，有相當多防衛裝置處於斷線狀態，但卻顯示有在消耗電力。+這表示它們可能已經被啟動，並切斷了跟中央主控室的網路進入自律模式。
RO635(0);M4A1Mod(0)<Speaker>M4A1</Speaker><通讯框>||:<color=#00CCFF>如果沒辦法直接關掉……RO，你幫我查一下發電機的位置。</color>
RO635(0)<Speaker>RO635</Speaker>;M4A1Mod(0)<通讯框>||:可以，大致集中在塔林城郊幾處發電廠內。你問這個是想做什麼？
RO635(0);M4A1Mod(0)<Speaker>M4A1</Speaker><通讯框>||:<color=#00CCFF>我要切斷那些自動炮台的外部供電。</color>
RO635(4)<Speaker>RO635</Speaker>;M4A1Mod(0)<通讯框>||:但是，即使那樣子炮台還是有備份的電池，不會立刻失去作用的。+雖然就這樣等到電池耗盡是最保險的，但不知道還要等上多久時間……
RO635(4);M4A1Mod(0)<Speaker>M4A1</Speaker><通讯框>||:<color=#00CCFF>斷電之後，耗能大的護盾就無法任意展開。</color>
RO635(4);M4A1Mod(0)<Speaker>M4A1</Speaker><通讯框>||:<color=#00CCFF>這樣一來，我們就可以將這些被削弱的自動炮台輕易摧毀掉。</color>
RO635(3)<Speaker>RO635</Speaker>;M4A1Mod(0)<通讯框>||:這也是種方法。+不過，我們要前往發電廠的距離有些遙遠，而且按照地圖來看，途中會遭遇大量的防衛設施……
M4A1Mod(0)<Speaker>M4A1</Speaker><通讯框>||<黑屏1>:<color=#00CCFF>不必擔心，指揮官為我們準備好了最可靠的後援。</color>
()||<BGM>BGM_Empty</BGM><黑屏2><BIN>55</BIN>:
()||<BGM>BGM_Reverse</BGM>:……塔林市郊。
UMP45Mod(0)<Speaker>UMP45</Speaker>||:喔？+剛才收到了追加需求，目標是摧毀塔林發電廠，坐標我已經通過雲圖上傳了。
G11(2)<Speaker>G11</Speaker>||:什麼？才剛坐下來休息沒多久，我以為可以繼續睡覺的說……
HK416Mod(0)<Speaker>HK416</Speaker>||:還以為你要袖手旁觀看她們全軍覆沒呢。
UMP45Mod(0)<Speaker>UMP45</Speaker>||:她們能自己處理的威脅，就不需要我們出手。我們是保險絲，沒有必要急著把自己繃斷。+9，炸藥都準備好了嗎？
UMP9Mod(0)<Speaker>UMP9</Speaker>||:沒問題，從列車起飛的無人機，5分鐘後會過來空投帶有炸藥的補給箱。
UMP45Mod(0)<Speaker>UMP45</Speaker>||:完美。到發電廠的路上預估會遭遇到些許防衛設施抵抗，你們都很清楚應該怎麼做。+這可是額外賺的份，大家都打起精神來吧。
()||<黑屏1>:
