20190<-ID->()||<BGM>BGM_Empty</BGM><BIN>9</BIN>:……
20227<-ID->M1918(0);SuperSASS(0)<Speaker>SuperSASS</Speaker>||<BIN>82</BIN>:嗯，是的。+主要還是上一次任務的事情……
20228<-ID->M1918(0)<Speaker>M1918</Speaker>;SuperSASS(0)||<BIN>82</BIN>:上一次的任務……+怎麼了嗎？
20229<-ID->M1918(0);SuperSASS(0)<Speaker>SuperSASS</Speaker>||<BIN>82</BIN>:雖然上次的任務最後沒有達成目的……+但是在過程裡我們被隊長你救了是不變的事實。+謝謝你！還有………對不起……
20230<-ID->M1918(0)<Speaker>M1918</Speaker>;SuperSASS(0)||<BIN>82</BIN>:那種事情沒關係……+為什麼要道歉啦，真是的。
20231<-ID->M1918(0);SuperSASS(0)<Speaker>SuperSASS</Speaker>||<BIN>82</BIN>:因為……我那時候……對著隊長你發脾氣了。
20232<-ID->M1918(0);xm3(0)<Speaker>XM3</Speaker>||<BIN>82</BIN>:哼………
20233<-ID->M1918(0);SuperSASS(0)<Speaker>SuperSASS</Speaker>||<BIN>82</BIN>:還有就是57小姐她…………
20234<-ID->M1918(0)<Speaker>M1918</Speaker>||<BIN>82</BIN>:之前發生過的那些事情……總是會發生的，過了就……+………+Super SASS……在你的眼裡我真的是一個好隊長嗎？
20235<-ID->SuperSASS(0)<Speaker>SuperSASS</Speaker>||<BIN>82</BIN>:……誒？
20236<-ID->xm3(0)<Speaker>XM3</Speaker>||<BIN>82</BIN>:你想要聽的是實話嗎？M1918小姐？+還是說只是想聽那些跟套路一樣的客套話而已？
20237<-ID->M1918(0)<Speaker>M1918</Speaker>||<BIN>82</BIN>:事到如今，客套話已經比實話還更傷人了。
20238<-ID->SuperSASS(0)<Speaker>SuperSASS</Speaker>||<BIN>82</BIN>:………+我…………+是的，非常討厭M1918小姐。
20239<-ID->M1918(0)<Speaker>M1918</Speaker>||<BIN>82</BIN>:…………
20240<-ID->SuperSASS(0)<Speaker>SuperSASS</Speaker>||<BIN>82</BIN>:總是不好好面對自己的責任，做事也漫不經心。+完全不知道為什麼會是一個隊長，絲毫沒有值得學習的地方。
20241<-ID->SuperSASS(0);xm3(0)<Speaker>XM3</Speaker>||<BIN>82</BIN>:明明就不是個廢物，但卻很被動。+好像能拿出來的事情就只剩經驗而已。
20242<-ID->SuperSASS(0)<Speaker>SuperSASS</Speaker>||<BIN>82</BIN>:對，完全不能理解。+以上這些就是加了一點客套話的實話。
20243<-ID->M1918(0)<Speaker>M1918</Speaker>||<BIN>82</BIN>:所以這話反而更傷人了吧……
20244<-ID->M1918(0);xm3(0)<Speaker>XM3</Speaker>||<BIN>82</BIN>:完全的實話就是，這些話我們也跟指揮官說過了。
20245<-ID->M1918(0)<Speaker>M1918</Speaker>;xm3(0)||<BIN>82</BIN>:……+所以上一次的任務……才會有那樣的調動……
20246<-ID->M1918(0);SuperSASS(0)<Speaker>SuperSASS</Speaker>||<BIN>82</BIN>:你被調去支援的時候……+我們兩個……嗯，都鬆了一口氣吧。
20247<-ID->M1918(0);xm3(0)<Speaker>XM3</Speaker>||<BIN>82</BIN>:無能的隊長從自己的頭上消失了。+沒有比這件事更讓人開心了，不是嗎？
20248<-ID->M1918(0)<Speaker>M1918</Speaker>;xm3(0)||<BIN>82</BIN>:………+不管怎麼說，還是感謝你們願意告訴我這些。
20249<-ID->xm3(0)<Speaker>XM3</Speaker>||<BIN>82</BIN>:知道這些的你又打算做什麼？+你可能在我們看不到的地方什麼都好，M1918小姐。+然而在我們的眼前，你太自私了。
20250<-ID->SuperSASS(0)<Speaker>SuperSASS</Speaker>||<BIN>82</BIN>:XM3！這些事情不是我們——
20251<-ID->M1918(0)<Speaker>M1918</Speaker>||<BIN>82</BIN>:不……這些都是真的……+我的確……只在乎自己在乎的事情。
20252<-ID->M1918(0);xm3(0)<Speaker>XM3</Speaker>||<BIN>82</BIN>:………
20253<-ID->M1918(0)<Speaker>M1918</Speaker>;xm3(0)||<BIN>82</BIN>:但是那些東西……+就已經是我所能夠做到的所有事情了啊……+我已經……
20254<-ID->M1918(0);SuperSASS(0)<Speaker>SuperSASS</Speaker>||<BIN>82</BIN>:M1918小姐你能夠做到的……明明就比看起來多很多啊？+那時候在面對那座炮台不是……
20255<-ID->M1918(0)<Speaker>M1918</Speaker>;SuperSASS(0)||<BIN>82</BIN>:從外面看起來很簡單？+但那之所以行得通……完全是因為我知道要怎麼對付它。+和實力沒有關係。
20256<-ID->M1918(0);xm3(0)<Speaker>XM3</Speaker>||<BIN>82</BIN>:哦？看來老兵的經驗還是有發揮作用的地方。
20257<-ID->M1918(0)<Speaker>M1918</Speaker>||<BIN>82</BIN>:我當然希望成為你們眼中能保護隊員的好隊長……+但無論再怎麼努力，零件再怎麼更新，我追不上你們就是追不上。+你們……生來就比我更優秀。
20258<-ID->M1918(0);SuperSASS(0)<Speaker>SuperSASS</Speaker>||<BIN>82</BIN>:即使是最新型的人形，我們出廠時雲圖能搭載的知識也很有限。+我想，這也是指揮官會安排你來帶領我們的原因吧。
20259<-ID->M1918(0)<Speaker>M1918</Speaker>||<BIN>82</BIN>:我能傳授給你們的事情並不如你們所想的多。+很多儲存在我這裡的經驗……我也希望你們一輩子都不要知道。
20260<-ID->xm3(0)<Speaker>XM3</Speaker>||<BIN>82</BIN>:如果不希望我們碰到，那你不就更應該更積極了嗎？+照這種做法，我們只會更危險而已。
20261<-ID->M1918(0)<Speaker>M1918</Speaker>||<BIN>82</BIN>:並不是我希望我就能夠達成的……+就像我剛剛說的，我已經……
20262<-ID->SuperSASS(0)<Speaker>SuperSASS</Speaker>||<BIN>82</BIN>:稍等一下好嗎？隊長？+咳…我是說……請不要一直說自己過時或被淘汰了。
20263<-ID->M1918(0)<Speaker>M1918</Speaker>;SuperSASS(0)||<BIN>82</BIN>:但這是真的啊？
20264<-ID->SuperSASS(0)<Speaker></Speaker>||<BIN>82</BIN>:……Super SASS和XM3對視了一眼。
20265<-ID->SuperSASS(0)<Speaker>SuperSASS</Speaker>||<BIN>82</BIN>:其實剛剛Five-seveN小姐來找我們的時候……+就是為了這件事。
20266<-ID->xm3(0)<Speaker>XM3</Speaker>||<BIN>82</BIN>:哦……的確是有這麼一件事情。
20267<-ID->M1918(0)<Speaker>M1918</Speaker>||<BIN>82</BIN>:57？她說了什麼？
20268<-ID->M1918(0);SuperSASS(0)<Speaker>SuperSASS</Speaker>||<BIN>82</BIN>:指揮官委託了FN小隊，希望她們能夠有針對舊型裝備的升級方案。+而她們已經完成了，現在只需要當事人同意。
20269<-ID->M1918(0)<Speaker>M1918</Speaker>||<BIN>82</BIN>:舊型裝備……也就是說……？
20270<-ID->xm3(0)<Speaker>XM3</Speaker>||<BIN>82</BIN>:你太遲鈍了，M1918小姐。+FN小隊調你過去支援最重要的原因是要觀察你的實際數據。+就是在為了這個升級方案作準備。
20271<-ID->SuperSASS(0)<Speaker>SuperSASS</Speaker>||<BIN>82</BIN>:雖然不知道你會不會同意這個方案……還是說想退休更多一點……+但身為你的隊員，我很希望隊長你能接受它。+以前無力做到的事，這樣一來就做得到了吧？
20272<-ID->M1918(0)<Speaker>M1918</Speaker>||<BIN>82</BIN>:我……我還能做到……？+那我是不是……還有機會……能成為一個好隊長呢？
20273<-ID->xm3(0)<Speaker>XM3</Speaker>||<BIN>82</BIN>:這個就看你的決心到什麼程度了，M1918小姐。
20274<-ID->M1918(0)<Speaker>M1918</Speaker>||<BIN>82</BIN><黑屏1>:是的……+我想請求你們……請再稍等我一下吧。+這一次，我會拿出最認真的態度。
