13631<-ID->()||<BIN>85</BIN>:……
13683<-ID->NPC-Persica(0);NPC-Ange(0)<Speaker>安潔</Speaker>||<BIN>85</BIN>:你是故意這樣問的吧？
13684<-ID->NPC-Persica(2)<Speaker>帕斯卡</Speaker>;NPC-Ange(0)||<BIN>85</BIN>:我可沒忘了之前向你索要過的東西。
13685<-ID->NPC-Persica(2);NPC-Ange(0)<Speaker>安潔</Speaker>||<BIN>85</BIN>:五分鐘後希爾會傳給你。+不過，搞到這個可比想象中的辛苦多了，你絕對要欠我的人情哦。
13686<-ID->NPC-Persica(2)<Speaker>帕斯卡</Speaker>;NPC-Ange(0)||<BIN>85</BIN>:那也要先看看裡面的內容，你看過了嗎？
13687<-ID->NPC-Persica(2);NPC-Ange(0)<Speaker>安潔</Speaker>||<BIN>85</BIN>:沒來得及，反正你會告訴我的。+還有一個好消息，我們找到了軍方中央伺服器的數據。
13688<-ID->NPC-Persica(1)<Speaker>帕斯卡</Speaker>;NPC-Ange(0)||<BIN>85</BIN>:什麼？這麼順利？
13689<-ID->NPC-Persica(1);NPC-Ange(0)<Speaker>安潔</Speaker>||<BIN>85</BIN>:我猜是軍方的人疏忽了。+想知道裡面的內容嗎？雖然我只瞄了一點點。
13690<-ID->NPC-Persica(3)<Speaker>帕斯卡</Speaker>;NPC-Ange(0)||<BIN>85</BIN>:有什麼肯告訴我的嗎？
13691<-ID->NPC-Persica(3);NPC-Ange(0)<Speaker>安潔</Speaker>||<BIN>85</BIN>:一些名單，關於歐伽斯的參與者，我會稍後傳給你。+反正現在這一團亂都和歐伽斯系統有關，軍方那幫不安分的傢伙……
13692<-ID->NPC-Persica(3)<Speaker>帕斯卡</Speaker>;NPC-Ange(0)||<BIN>85</BIN>:我能想到，歐伽斯計劃畢竟是上個世紀全國性質的系統建設計劃。+不過軍方對這種國家管理級別的系統這麼用心，實在太詭異了。
13693<-ID->NPC-Persica(3);NPC-Ange(0)<Speaker>安潔</Speaker>||<BIN>85</BIN>:誰知道呢？+還有一個人，帕斯卡，還有一個你認識的人也在其中，我已經為這個答案開好價了。
13694<-ID->NPC-Persica(3)<Speaker>帕斯卡</Speaker>;NPC-Ange(0)||<BIN>85</BIN>:誰？
13695<-ID->NPC-Persica(3);NPC-Ange(0)<Speaker>安潔</Speaker>||<BIN>85</BIN>:你的老闆，維特金·哈維爾，他參與過32年一個和歐伽斯和遺跡相關的軍事行動，和那個卡特一起。+他是作為技術人員參與的，說明他對這兩者都非常熟悉。
13696<-ID->NPC-Persica(3)<Speaker>帕斯卡</Speaker>;NPC-Ange(0)||<BIN>85</BIN>:…………+哈維爾先生……果然他不是一個局外人……
13697<-ID->NPC-Persica(3);NPC-Ange(0)<Speaker>安潔</Speaker>||<BIN>85</BIN>:我不知道該怎麼說，不過，這應該是個有用的消息吧？
13698<-ID->NPC-Persica(3)<Speaker>帕斯卡</Speaker>;NPC-Ange(0)||<BIN>85</BIN><黑屏1>:是的……+非常有用……+關鍵在於……我該怎麼做呢？
