()||<BIN>9</BIN><BGM>BGM_Sneak</BGM>:…………兩小時後。
M4 SOPMOD II()<Speaker>M4 SOPMOD II</Speaker>||:她什麼都沒做！+只有她是真的在哭，而且哭得很大聲，嘴裡還在不停說“我錯了我錯了！對不起！”+就像個被人欺負的小孩一樣，我只在電影裡見過，真不知道她怎麼能學得那麼像！+總之超丟臉的誒，我們的隊長居然是這麼廢的傢伙！出了這麼大的糗，哈哈哈！我真的想再看到一次啊！+哈哈哈……
M4 SOPMOD II()<Speaker>M4 SOPMOD II</Speaker>||<BIN>76</BIN>:哈……+哎呀……+雖然……已經不太可能了……
RO635()<Speaker>RO635</Speaker>||:SOP2……+會有機會的，M16一定在某個地方等著我們，而AR15……很多事情還沒有確認不是嗎？+我們只要活下來，未來總有辦法的。
M4 SOPMOD II()<Speaker>M4 SOPMOD II</Speaker>||:嗯……RO，你覺得我們為什麼要有感情模組呢？
RO635()<Speaker>RO635</Speaker>||:這個……
M4 SOPMOD II()<Speaker>M4 SOPMOD II</Speaker>||:我曾經問過M16，她說那可能是為了證明我們並不只是殺戮的機器。+我們擁有情感，所以和那些冷冰冰的軍用人形是不一樣的……+但是也有人說，感情是我們的弱點，是劣質品的證明……+所以你覺得呢？人形擁有感情……就意味著是劣質品嗎？
RO635()<Speaker>RO635</Speaker>||:我不知道……+但是感情模組是人類給予我們的，沒有人會特地為自己的產品打上劣等的標籤吧？+所以……這一切一定是有意義的。
M4 SOPMOD II()<Speaker>M4 SOPMOD II</Speaker>||:沒准只是覺得這樣好玩罷了，他們可能並不在乎我們。
RO635()<Speaker>RO635</Speaker>||:哼哼，如果真的不在乎我們，那我們可就自由了，不是嗎？+沒有目的，就沒有秩序，馬卡洛夫有次夜戰回來後告訴我的。
M4 SOPMOD II()<Speaker>M4 SOPMOD II</Speaker>||:哇哦……RO，這個想法……很有趣呢。+至少我不後悔被載入感情模組，因為這樣我才會記得AR15和M16，然後才能努力和她們重逢。
RO635()<Speaker>RO635</Speaker>||<黑屏1>:沒錯……+可惜啊……感情並不適用現在的環境，現在我們得活下來。
RO635()<Speaker>RO635</Speaker>||<BIN>9</BIN><黑屏1>:一定……要活下來。
