()||<BIN>99</BIN><BGM>BGM_Sneak</BGM><黑屏2>:…………
UMP45(0);NPC-Ange(0)<Speaker>安潔莉婭</Speaker>||:從我嘴裡說出來很奇怪，這麼做最可能死的是我，畢竟對人形來說，死亡是個很遙遠的概念。
UMP45(0)<Speaker>UMP45</Speaker>;NPC-Ange(0)||:很遙遠的概念……+這話我沒法這麼簡單的認可。
UMP45(0);NPC-Ange(0)<Speaker>安潔莉婭</Speaker>||:也是，畢竟你的經歷和普通的人形不太一樣呢。+閒聊就到此為止，我已經將要設置的坐標發送過來了，設置完後盡可能離設置地點遠一些。+雖然人形不容易受坍塌輻射的影響，但是爆炸會帶來極高溫，就算是軍用裝甲都會被直接融化。
AR15Mod(0)<Speaker>AR15</Speaker>;NPC-Ange(0)||:不管是對付軍方和鐵血，都是最理想的武器。
AR15Mod(0);NPC-Ange(0)<Speaker>安潔莉婭</Speaker>||:是的，但我希望使用的前提是在我們所有人撤出影響範圍之後。
UMP45(0)<Speaker>UMP45</Speaker>;NPC-Ange(0)||:撤離的前提應該包含捕獲主腦吧？
UMP45(0);NPC-Ange(0)<Speaker>安潔莉婭</Speaker>||:捕獲，或把所有敵人摧毀。
UMP45(0)<Speaker>UMP45</Speaker>||:所以，大家都聽見了。知道該怎麼做了吧？
M4A1Mod(0)<Speaker>M4A1</Speaker>||:兩人一組效率比較快，我負責兩枚。
UMP45(0)<Speaker>UMP45</Speaker>||<黑屏1>:沒問題，9和我一組，416和G11一組。好了開始幹活吧~
