()||<BIN>2</BIN><BGM>BGM_Sneak</BGM><Night>:S09區，鐵血爭端地帶……
FNFNC(0);FAL(0)<Speaker>FAL</Speaker><通讯框>||<BIN>2</BIN><Night>:……的確。可是鐵血……應該還沒有作用於天氣的武器才對。+應該在意嗎？還是我想多了……+FNC，下次，我建議你還是……
FNFNC(0)<Speaker></Speaker>||<BIN>2</BIN><Night>:唦……
FNFNC(0)<Speaker>FN-FNC</Speaker>||<BIN>2</BIN><Night>:哎？……FAL，你說什麼？
FNFNC(0)<Speaker></Speaker>||<BIN>2</BIN><Night>:唦唦……
FNFNC(0)<Speaker>FN-FNC</Speaker>||<BIN>2</BIN><Night>:呿，偏偏這個時候……+所以說，FAL就是愛囉嗦啊！先說重點不就好啦！+這下該怎麼辦呢……不如先聯繫下49比較好吧，就這麼辦！
FNFNC(0)<Speaker></Speaker>||<BIN>2</BIN><Night>:…………FNC呼叫了FN49。+……滴。+……滴……滴……滴。+唦……
FNFNC(0);FN49(0)<Speaker>FN-49</Speaker><通讯框>||<BIN>2</BIN><Night><BGM>BGM_Empty</BGM>:FNC……喂……
FNFNC(0)<Speaker>FN-FNC</Speaker>;FN49(0)<通讯框>||<BIN>2</BIN><Night>:唔……那邊通訊效果也不好啊……+還是說……是我這裡出了問題……+難道……是天氣……
FNFNC(0);FN49(0)<Speaker>FN-49</Speaker><通讯框>||<BIN>2</BIN><Night>:FNC……小心……
FNFNC(0)<Speaker>FN-FNC</Speaker>;FN49(0)<通讯框>||<BIN>2</BIN><Night>:誒……49！你說什麼？
FNFNC(0);FN49(0)<Speaker>FN-49</Speaker><通讯框>||<BIN>2</BIN><Night>:……干擾……+她回來……小心啊！
FNFNC(0)<Speaker>FN-FNC</Speaker>;FN49(0)<通讯框>||<BIN>2</BIN><Night>:干擾……干擾什麼啊……
FNFNC(0)<Speaker></Speaker>||<BIN>2</BIN><Night>:…………呲！……呲！
FNFNC(0)<Speaker>FN-FNC</Speaker>||<BIN>2</BIN><Night>:可惡！通訊徹底斷掉了！這倒楣天氣！
FNFNC(0)<Speaker></Speaker>||<BIN>2</BIN><Night><黑屏1>2</黑屏1>:……FNC抬頭望向了天空。
FN-FNC()<Speaker>FN-FNC</Speaker>||<BIN>58</BIN><BGM>BGM_Danger</BGM><黑屏2>:……！
FN-FNC()<Speaker>FN-FNC</Speaker>||<BIN>58</BIN>:這是……怎麼回事……
()||<BIN>58</BIN>:天上的黑雲纏旋在一處，漩渦中心發出陣陣火光……
FN-FNC()<Speaker>FN-FNC</Speaker>||<BIN>58</BIN>:…………+這是……舞臺效果，對吧……
()||<BIN>58</BIN>:仿佛……有“亡靈”要從裡面出來一般——
FN-FNC()<Speaker>FN-FNC</Speaker>||<BIN>58</BIN>:……！！
()||<BIN>58</BIN><SE1>Explode</SE1><震屏><黑屏1>:
()||<BIN>8</BIN><黑屏2>2,0</黑屏2>:與此同時，S09區格里芬指揮部。
FAL(0)<Speaker>FAL</Speaker>||<BIN>8</BIN>:喂！FNC？喂！+通信突然中斷，難道和敵人有關……+57，你去檢查一下線路情況。
FAL(0);FN57(0)<Speaker>FN-57</Speaker>||<BIN>8</BIN>:我們這邊的通訊沒問題。+順便，在你開口之前我就檢查過了哦。
FAL(0)<Speaker>FAL</Speaker>;FN57(0)||<BIN>8</BIN>:57，這種小聰明可不會讓你受提拔的。
FAL(0);FN57(0)<Speaker>FN-57</Speaker>||<BIN>8</BIN>:是是是，囉哩囉嗦的……+總之，你不覺得和FNC的報告有關係嗎？
FAL(0)<Speaker>FAL</Speaker>;FN57(0)||<BIN>8</BIN>:天氣？我保留意見。+我們的網路不會被這點狀況干擾，而且沒有跡象顯示鐵血會使用類似的武器。
FAL(0);FN57(0)<Speaker>FN-57</Speaker>||<BIN>8</BIN>:只是以防萬一，如果不是鐵血所為呢。+我是說，這個天氣是某些協力廠商造成的現象。+當然，只是異想天開的想法罷了……
FAL(0)<Speaker>FAL</Speaker>;FN57(0)||<BIN>8</BIN>:你是很能胡思亂想，不過……我覺得不是完全沒道理。
FAL(0);FN57(0)<Speaker>FN-57</Speaker>||<BIN>8</BIN>:哦？難得被你認同一回呢。
FAL(0)<Speaker>FAL</Speaker>;FN57(0)||<BIN>8</BIN>:戰場呆得越久，就越要依賴靈感和運氣。+所以我才讓你擔任副手。
FAL(0);FN57(0)<Speaker>FN-57</Speaker>||<BIN>8</BIN>:姑且認為這是你的誇獎吧。+不過，偶爾你也該更坦率點……
FAL(0);FN57(0)<Speaker></Speaker>||<BIN>8</BIN><SE1>Explode</SE1><震屏>:轟隆！——
FAL(0);FN57(0)<Speaker>FN-57</Speaker>||<BIN>8</BIN>:唔啊！
FAL(0)<Speaker>FAL</Speaker>;FN57(0)||<BIN>8</BIN>:呃！……這個劇烈的震感是！……
FAL(0);FN57(0)<Speaker>FN-57</Speaker>||<BIN>8</BIN>:來源西北方方向！……是任務目標位置！
FAL(0)<Speaker>FAL</Speaker>;FN57(0)||<BIN>8</BIN>:居然能波及到這裡……究竟發生了什麼？
FAL(0);FN57(0)<Speaker>FN-57</Speaker>||<BIN>8</BIN>:目前能量來源不明……等等，線路通了！
FAL(0);FNFNC(0)<Speaker>FN-FNC</Speaker><通讯框>||<BIN>8</BIN>:哈……哈……有…有人嗎！
FAL(0)<Speaker>FAL</Speaker>;FNFNC(0)<通讯框>||<BIN>8</BIN>:FNC！你們那邊發生了什麼！
FAL(0);FNFNC(0)<Speaker>FN-FNC</Speaker><通讯框>||<BIN>8</BIN>:太好了……終於接通了！+我…我們遇上了干擾者！
FAL(0)<Speaker>FAL</Speaker>;FNFNC(0)<通讯框>||<BIN>8</BIN>:……！+剛才的動靜，是它搞的鬼嗎？
FAL(0);FNFNC(0)<Speaker>FN-FNC</Speaker><通讯框>||<BIN>8</BIN>:不知道……後來……天空打雷了！
FAL(0)<Speaker>FAL</Speaker>;FNFNC(0)<通讯框>||<BIN>8</BIN>:……哈？
FAL(0);FNFNC(0)<Speaker>FN-FNC</Speaker><通讯框>||<BIN>8</BIN>:非常大的雷光！像炸彈一樣把這裡炸開了！
FAL(0)<Speaker>FAL</Speaker>;FNFNC(0)<通讯框>||<BIN>8</BIN>:雷光……能產生這麼大的威力嗎？
FAL(0);FNFNC(0)<Speaker>FN-FNC</Speaker><通讯框>||<BIN>8</BIN>:總之，幸好我沒被波及……+干擾者在那之後消失了，不清楚什麼時候回來。+我還在附近發現了一名昏迷的人類女性。
FAL(0)<Speaker>FAL</Speaker>;FNFNC(0)<通讯框>||<BIN>8</BIN>:……女人？
FAL(0);FNFNC(0)<Speaker>FN-FNC</Speaker><通讯框>||<BIN>8</BIN>:一頭金髮……穿著奇怪的衣服，不像本地人。+總之現在情況緊急，因為剛才的騷動鐵血單位也開始行動了。
FAL(0)<Speaker>FAL</Speaker>;FNFNC(0)<通讯框>||<BIN>8</BIN>:……我們馬上過去支援，你現在立刻去找49。+順便，那個女人也保護起來。+你們先隱蔽行動，等著與我們匯合後撤退。
FAL(0);FNFNC(0)<Speaker>FN-FNC</Speaker><通讯框>||<BIN>8</BIN>:知、知道了！
FAL(0)<Speaker>FAL</Speaker>||<BIN>8</BIN>:……指揮官，看來我們需要出發了。
FAL(0);FN57(0)<Speaker>FN-57</Speaker>||<BIN>8</BIN>:哎呀~終於不用待在這裡發呆了。+剛才的雷光如果是鐵血的武器……會很不妙吧？
FAL(0)<Speaker>FAL</Speaker>;FN57(0)||<BIN>8</BIN><黑屏1>:這事報給赫麗安吧，也許能從建築師那撬出什麼。+這次事態……大概不是我們能夠想像的。+那麼，出發吧，FN小隊該重新匯合了。
()||<BIN>10</BIN><黑点2>:
