13161<-ID->()||<BIN>9</BIN><BGM>BGM_Empty</BGM>:…………
13198<-ID->AK12(0)<Speaker>AK12</Speaker>;AR15Mod(0)||<BIN>99</BIN>:話說得太死往往是要付出代價哦，你不想聽聽安潔下達的新任務嗎？
13199<-ID->AK12(0);AR15Mod(0)<Speaker>AR15</Speaker>||<BIN>99</BIN>:…………+姑且，先聽你說吧。
13200<-ID->AK12(0)<Speaker>AK12</Speaker>;AR15Mod(0)||<BIN>99</BIN>:安潔要我們去營救M4A1。
13201<-ID->AK12(0);AR15Mod(0)<Speaker>AR15</Speaker>||<BIN>99</BIN>:……+你……是故意的嗎？
13202<-ID->AK12(0)<Speaker>AK12</Speaker>;AR15Mod(0)||<BIN>99</BIN>:故意？我不明白你在說什麼哦？
13203<-ID->AK12(0);AR15Mod(0)<Speaker>AR15</Speaker>||<BIN>99</BIN>:嘖……+我不相信，這不符合一開始的計劃。
13204<-ID->AK12(0)<Speaker>AK12</Speaker>;AR15Mod(0)||<BIN>99</BIN>:計劃是會變的。就和你的命運一樣。
13205<-ID->AK12(0);AR15Mod(0)<Speaker>AR15</Speaker>||<BIN>99</BIN>:……+那我們就出發吧。
13206<-ID->AK12(0)<Speaker>AK12</Speaker>;AR15Mod(0)||<BIN>99</BIN>:你不打算一個人行動了？
13207<-ID->AK12(0);AR15Mod(0)<Speaker>AR15</Speaker>||<BIN>99</BIN>:你就這麼喜歡嘲弄別人嗎？
13208<-ID->AK12(0)<Speaker>AK12</Speaker>;AR15Mod(0)||<BIN>99</BIN><黑点1>:哈哈，平時倒也沒有，只不過你的反應太有趣而已。
13209<-ID->AR15Mod(0)<Speaker>AR15</Speaker>||<BIN>10</BIN><黑点2>:從這裡到M4A1那邊還有段距離，你要怎麼辦？
13210<-ID->AK12(0)<Speaker>AK12</Speaker>;AR15Mod(0)||:我會叫輛自動出租車，然後我們舒舒服服地坐到站，可以嗎？+別鬧了，當然是徒步過去囉。
13211<-ID->AK12(0);AR15Mod(0)<Speaker>AR15</Speaker>||:靠我們兩個殺過去嗎？
13212<-ID->AK12(0)<Speaker>;AR15Mod(0)||:沿路有很多倖存的格里芬人形，回收她們臨時改寫下指令就足夠用了。+怎麼樣？多少也想幫一下你舊日的戰友吧？
13213<-ID->AK12(0);AR15Mod(0)<Speaker>AR15</Speaker>||:我不在乎。+不過這確實是最好的手段了，出發吧。
