()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:……格里芬基地走廊上。
ZasM76(2)<Speaker>ZasM76</Speaker>;Saiga12(2)||:我在這裡練習。+……Saiga你慌慌張張地拉著KSVK幹嘛？
ZasM76(2);Saiga12(2)<Speaker>saiga12</Speaker>||:你看錯了哦，這是杜莎妮，KSVK的妹妹。
ZasM76(2)<Speaker>ZasM76</Speaker>;Saiga12(2)||:妹妹？你看錯了還是我看錯了？
ZasM76(2);Saiga12(2)<Speaker>saiga12</Speaker>||:我沒解釋清楚嗎？這是KSVK的妹妹。
ZasM76(2)<Speaker>ZasM76</Speaker>;Saiga12(2)||:只是換了個年輕的素體，我這邊的備註還是KSVK。+所以這是第幾個上當的傢伙了？
KSVK(9)<Speaker>KSVK</Speaker>;Saiga12(2)||:哎呀被發現了。+倒是不多，Saiga是第十三個。
KSVK(9);Saiga12(2)<Speaker>saiga12</Speaker>||:哈？
ZasM76(2)<Speaker>ZasM76</Speaker>;Saiga12(2)||:SVD發現你的真實身份了嗎？她用了幾秒？
KSVK(9)<Speaker>KSVK</Speaker>;Saiga12(2)||:也發現了，跟你差不多的時間吧。
ZasM76(2)<Speaker>ZasM76</Speaker>;Saiga12(2)||:那真遺憾，看來還是要用舞蹈一決勝負。
ZasM76(2);Saiga12(2)<Speaker>saiga12</Speaker>||:KSVK……你……這是惡作劇嗎？
KSVK(9)<Speaker>KSVK</Speaker>;Saiga12(2)||:是呢，從來不惡作劇的人偶爾惡作劇就會很成功，對吧？
KSVK(9);Saiga12(2)<Speaker>saiga12</Speaker>||:那……雙人舞……
KSVK(9)<Speaker>KSVK</Speaker>;Saiga12(2)||:哈哈，已經猜中了謎題，就沒有繼續的意義了。
KSVK(9);Saiga12(2)<Speaker>saiga12</Speaker>||:是……是呢。
KSVK(9)<Speaker>KSVK</Speaker>;Saiga12(2)||:那今天的小玩笑到此結束，可以嗎？
KSVK(9);Saiga12(2)<Speaker>saiga12</Speaker>||:好……好的。
Saiga12(2)<Speaker></Speaker>||:KSVK微笑告辭，那是一種的確屬於她的表情。
ZasM76(2)<Speaker>ZasM76</Speaker>;Saiga12(2)||:我也繼續了。
Saiga12(2)<Speaker>saiga12</Speaker>||<黑屏1><BGM>BGM_Empty</BGM>:……嗯，我，我一個人想想。
()<Speaker>saiga12</Speaker>||<BIN>9</BIN><黑屏2><黑屏1><BGM>BGM_Wake</BGM>:第十三個上當的人嗎？+不知道為什麼，有點難過。+如果我是唯一一個上當的人，可能沒這麼難過。+啊——我，就算是惡作劇，也希望成為特別的那一個人嗎？
()<Speaker></Speaker>||<BIN>83</BIN><Night><黑屏2>:舞會散場之後，Saiga看見了人群裡那個想要尋找的人。
Saiga12(2)<Speaker>saiga12</Speaker>||:能再跟你說幾句話嗎？
KSVK(9)<Speaker>KSVK</Speaker>;Saiga12(2)||:當然。+如果你想惡作劇回來，我也不介意的哦，不過前提是你能成功。
KSVK(9);Saiga12(2)<Speaker>saiga12</Speaker>||:……沒有這個意思。+只是想向你說聲對不起。
KSVK(9)<Speaker>KSVK</Speaker>;Saiga12(2)||:我沒聽錯吧。+被捉弄的人是你，為什麼要向我道歉？
KSVK(9);Saiga12(2)<Speaker>saiga12</Speaker>||:我不是因為今天晚上的事，而是因為第一次見面的事。+冒昧的送你一本寫真集，很失禮吧。
KSVK(9)<Speaker>KSVK</Speaker>;Saiga12(2)||:唔，確實有些受到驚嚇。+第一次有人塞給我這樣的東西，倒是很新奇的體驗。
KSVK(9);Saiga12(2)<Speaker>saiga12</Speaker>||:如果這給你造成了不好的印象，真是抱歉。+我，我只是想要示好，也想得到美少女的示好。+但是，我可能搞砸了。+對不起。
KSVK(9)<Speaker>KSVK</Speaker>;Saiga12(2)||:……想得到別人的示好就做先示好的那個人嗎？+你這樣積極的性格其實很好。
KSVK(9);Saiga12(2)<Speaker>saiga12</Speaker>||:但是對於被接受的人來說有些過於衝動和不管不顧了。+其實那也許不是人家想要的，畢竟我還沒有了解對方。
KSVK(9)<Speaker>KSVK</Speaker>;Saiga12(2)||<BGM>BGM_Empty</BGM>:那就重新開始吧。
KSVK(9);Saiga12(2)<Speaker>saiga12</Speaker>||<BGM>BGM_Sunshine</BGM>:啊？
KSVK(9)<Speaker>KSVK</Speaker>;Saiga12(2)||:明天下午兩點鐘，我在咖啡廳等你。
KSVK(9);Saiga12(2)<Speaker>saiga12</Speaker><Shake>||:啊？
KSVK(9)<Speaker>KSVK</Speaker>;Saiga12(2)||:道歉的話現在可不行，連狐狸見小王子都要約在固定的時間。+或者說就把明天當做第一次相遇也不錯。+充滿儀式感的期待真讓人心潮澎湃。
KSVK(9);Saiga12(2)<Speaker>saiga12</Speaker>||<黑屏1>:……我，我會準時赴約的！
