关闭蒙版()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:
MP5(6)<Speaker>指揮官</Speaker>||:來得正好，MP5，我現在有一項非常重要的機密任務要交付給你。
MP5(6)<Speaker>MP5</Speaker>||:非常重要的……機密？
MP5(6)<Speaker>MP5</Speaker>||<震屏>:難難難道是那個！指揮官，我也終於可以深入敵穴探查情報了嗎！是不是要變裝隱藏身份去什麼很危險的地方！我可以——
指揮官()<Speaker>指揮官</Speaker>||:不不，我說的不是那種機密啦……+喏，其實是想要你幫忙【保管】這個。
()<Speaker></Speaker>||:話音剛落，那個白白胖胖的小傢伙就塞到了MP5的懷裡。+MP5連忙伸手抱住這個小傢伙，卻發覺從指尖傳來的細微溫度。
MP5(6)<Speaker>MP5</Speaker><Shake>||:這……指揮官，這這這是一隻活的豬！+【保管】是指先不把這隻豬交給炊事班嗎？
MP5(6)<Speaker>指揮官</Speaker>||:啊哈——果然連你也被騙到了吧。
MP5(6)<Speaker>MP5</Speaker>||:欸欸？
MP5(6)<Speaker>指揮官</Speaker>||:這是仿生豬哦，怎麼樣，做得很像真的吧？+當然也確實不要把這隻豬交給炊事班……因為它的來歷都是機密！
MP5(6)<Speaker>MP5</Speaker>||:原來是這種機密來的嗎……
指揮官()<Speaker>指揮官</Speaker>||<黑屏1>:都是帕——咳咳，某些機構，拜託我飼養這傢伙，要觀察它的什麼數據來著。+但你也知道我不擅長這種事情嘛……所以就交給你啦！被別人看到的話就說是外面撿的吧！一定要好好養啊！
()<Speaker></Speaker>||<BIN>83</BIN><黑屏2><关闭蒙版>:……+MP5想到這裡時，猛地搖了搖自己的腦袋。
MP5(6)<Speaker>MP5</Speaker><Shake>||:不行，不可以懷疑指揮官！+指揮官肯定是察覺到了我有所成長，所以才會把任務交給我吧！一定是這樣！
()<Speaker></Speaker>||:MP5正這樣給自己鼓勁的時候，面前的草地上出現了一片黑影。+MP5抬頭，發現97式霰正彎著腰，用狗尾巴草逗她的仿生豬。
MP5(6)<Speaker>MP5</Speaker>||:欸——下午好哦，霍克。
MP5(6);97typeS(0)<Speaker>97式霰</Speaker>||:拜個早年哦！哎，你這隻豬養得真是不錯啊。+你看，白白胖胖、活蹦亂跳的，真不錯！
MP5(6)<Speaker>MP5</Speaker><Shake>;97typeS(0)||:啊，這個……那個，謝謝……
97typeS(0)<Speaker>97式霰</Speaker>||:還挺應景的呢，豬年的基地裡多了一隻豬，哈哈，這吉祥物可真是接地氣！+啊對了，我還得去給廚房送物資，先走啦。
()<Speaker></Speaker>||:MP5衝著97式霰離開的背影招了招手，皺著眉有些擔憂地看著草地上那隻懶洋洋曬著太陽的仿生豬。
MP5(6)<Speaker>MP5</Speaker>||<黑屏1>:不知道為什麼，每次霍克她們讚美我的豬時，我都覺得很害怕……+這些傢伙不會已經動了豬的主意吧？聽說她們可是什麼都吃呢……+不行不行，我要保護好豬，這可是指揮官交給我的機密任務，我一定要好好地完成！
()<Speaker></Speaker>||<BIN>9</BIN><黑屏2>:……MP5當時下定決心的時候，確實是認真地這樣想的。+奈何，世事難料。+不然，MP5也不會發出這種聲音——
MP5(6)<Speaker>MP5</Speaker><Shake>||<黑屏1>:<size=65>哇啊啊啊啊啊啊——！</size>+<size=65>到底去了哪裡了啊！豬呢！我的豬跑到哪裡去了啦！</size>
()<Speaker></Speaker>||<BIN>83</BIN><黑屏2><Night>:……大年三十，晚上。+格里芬基地。
()<Speaker></Speaker>||:MP5焦急地直跺腳，可還是一點頭緒都沒有。
MP5(6)<Speaker>MP5</Speaker><Shake>||:我竟然忘記關宿舍門了！+真是的，就一會兒沒注意，豬怎麼自己就跑掉了……
()<Speaker></Speaker>||:MP5在基地裡四處亂轉，每一個角落都不願意放過，可是仍然沒有發現仿生豬留下的痕跡。+MP5甚至回宿舍取了背包，裝滿了仿生豬平時愛吃的東西，企圖用香味將仿生豬引出來。
MP5(6)<Speaker>MP5</Speaker>||:可惡，年三十的晚上基地裡到處都是人啊，這下可難找了。+沒辦法，找大家問問吧……
MP5(6)<Speaker></Speaker>||:MP5四下看了看，在互道新年祝福的人群中尋找期望的幫手。
MP5(6)<Speaker>MP5</Speaker>||:奇怪，搜救妖精不在的嗎……+那個大騙子，前兩天還跟我說大年夜她要來分發美白面霜的！+搜救妖精不在的話，就沒辦法快速找到豬了嘛！
()<Speaker></Speaker>||:這時，一隻妖精晃晃悠悠地從她身邊飄過，MP5一下來了精神。
MP5(6)<Speaker>MP5</Speaker>||:那個，那邊的黃金妖精！+請等一下，我有事想問你！
()||:黃金妖精停下來，回頭看了眼MP5。
FairyGold(0)<Speaker>黃金妖精</Speaker>||:哦？要錢的話我可沒有哦，我自己的都還不夠取暖呢。+聽說今年冬天又要降溫了，嘖，這破基地的供暖不知道跟不跟得上，到時候不知道又得燒多少鈔票呢——
MP5(6)<Speaker>MP5</Speaker><Shake>||:——誰要找你要錢了啦！+咳，我是想問，你有沒有看到搜救妖精……或者我的豬？
FairyGold(0)<Speaker>黃金妖精</Speaker>||:嘖，區區找人，還要勞煩我這個妖精之王。+搜救妖精這時候估計是在哪兒睡美容覺吧。+話說，豬？找豬的話不是應該去廚房找嗎？
MP5(6)<Speaker>MP5</Speaker>||:是那種很小的小豬了啦……
FairyGold(0)<Speaker>黃金妖精</Speaker>||:不知道，我可沒見過什麼小豬。+不過這基地裡居然還有豬嗎？真是稀奇，不知道明年會不會養長頸鹿呢……
()<Speaker></Speaker>||:黃金妖精這樣自說自話了幾句後，就沒管MP5自己先行飄走了。
MP5(6)<Speaker>MP5</Speaker>||:什麼嘛，還妖精之王呢，結果什麼都沒問出來嘛。+唔，房頂上那個是……嘲諷妖精嗎？她站得很高大概有看到吧？
MP5(6)<Speaker></Speaker>||:MP5注意到前方的一棟建築物，連忙跑到樓底，抬頭對著樓頂大喊。
MP5(6)<Speaker>MP5</Speaker>||:嘲諷妖精——你聽得到——嗎？
FairyTaunt(1)<Speaker>嘲諷妖精</Speaker>||:啊？叫我嗎？
MP5(6)<Speaker>MP5</Speaker>||:你有沒有——看到我的——豬啊？
FairyTaunt(1)<Speaker>嘲諷妖精</Speaker>||:啊？你說誰是豬？+我才不是豬啊你這臭小鬼——
MP5(6)<Speaker>MP5</Speaker><Shake>||:欸欸？不是，我不是說你是豬啊……+嗚啊不要朝我扔瓦片——
()<Speaker></Speaker>||:MP5迅速逃離了肇事現場。
MP5(6)<Speaker>MP5</Speaker>||:好可怕好可怕……+果然指揮官說得沒錯，這些妖精的腦子都不太好使……+唉，怎麼都沒人看到我的豬呢？
MP5(6)<Speaker></Speaker>||:不知為何，MP5雲圖中的不安這時悄悄地聚集起來，她有些擔憂地望向廚房的方向。
MP5(6)<Speaker>MP5</Speaker>||<黑点1>:雖然不想承認有這個可能性……但是萬一豬真的被誰抓去當成年夜飯的材料可就大事不好了啊！+哎，姑且過去看一眼吧，說不定……還、還活著……
()<Speaker></Speaker>||<黑点2>:MP5這樣想著，邁著沉重的步伐向廚房那邊走去。+在經過宿舍區的時候，MP5看到了幾個熟悉的身影，剛想上去打個招呼，順便問問有沒有看到走失的仿生豬時，一句問話瞬間刺穿了她的雲圖。
64type(0)<Speaker>64式</Speaker>||:哎！你們倆來就來了，怎麼還帶這麼多豬肉腸呀！
()<Speaker></Speaker>||:MP5條件反射般地快速閃到旁邊的牆後縮起身子，避免自己被看到，同時又豎起耳朵仔細地聽那邊的對話。
56-1type(4)<Speaker>56-1式</Speaker>||:嘻嘻，作為姐姐，平時也沒什麼東西可以送給你，這不，快過年了，怎麼說都要好好準備些禮物啊……
97typeS(0)<Speaker>97式霰</Speaker>||:就是，五六一這兩天可用心了！+你也知道她，做著做著就自己吃上兩口了，哎呀，好不容易在基地裡找到點多餘的豬肉，我當時都怕她自己一個人就全給吃了！
()<Speaker></Speaker>||:MP5躲在暗處，心智雲圖……差點出現紊亂。
MP5(6)<Speaker>MP5</Speaker>||:<color=#A9A9A9>（多、多餘的豬肉……不會是……）</color>
64type(0)<Speaker>64式</Speaker>||:哎呀……真是辛苦你們倆了，我們今晚一起吃吧！我記得我這兒還有些臘肉呢——
64type(0);56-1type(4)<Speaker>56-1式</Speaker>||<震屏>:啊？臘腸？過年就不要吃臘腸了吧！而且你做的臘腸根本就不是人吃的啊！
64type(0)<Speaker>64式</Speaker>||:噓……你太大聲了啦，而且臘腸又怎麼了？+過豬年吃鹹味的豬肉又有什麼關係嘛！
()<Speaker></Speaker>||<BGM>BGM_Empty</BGM>:MP5躲在牆後，幾乎快要崩潰了。
MP5(6)<Speaker>MP5</Speaker><Shake>||<BGM>GF_Memorial</BGM>:怎麼辦……我的豬一定是被她們吃掉了……+嗚嗚……都已經被做成不同味道的臘腸臘肉了……嗚……
()<Speaker></Speaker>||:過於悲傷的MP5一下子不知道該採取什麼行動，愣愣地蹲在牆角，直到宿舍區那邊64式她們的拌嘴聲逐漸消失。+天色漸漸暗了下來，已經是傍晚時分了，路燈亮起了冷白色的光，打在MP5身上。+MP5慢慢站起身來，思考著自己下一步該怎麼做。
MP5(6)<Speaker>MP5</Speaker>||:要去找她們對峙嗎……可是，她們三個都人高馬大的，感覺好可怕啊嗚……+而且指揮官也交代過這是機密，我這樣直接搬指揮官的名頭來理論的話，豈不是把指揮官也出賣了！
MP5(6)<Speaker></Speaker>||:MP5又很沮喪地垂下頭。
MP5(6)<Speaker>MP5</Speaker>||<白屏1>:難得交給我一次任務，結果我還是搞砸了……+我根本就……沒有任何成長嘛……
()<Speaker></Speaker>||<BIN>142</BIN><白屏2><黑屏1>:嘩啦——！+天空中突然炸開了幾朵煙花，光斑照亮了藍黑色的天空，還有MP5臉上的淚痕，然後又迅速消失在虛空中。+MP5嘆了口氣。
MP5(6)<Speaker>MP5</Speaker>||<BIN>83</BIN><黑屏2><Night>:開始放煙花了啊……原來已經這麼晚了。+算了，先回宿舍吧，現在也沒什麼別的辦法……+實在不行，明天早上求師傅陪我一起去找她們三個，然後再去跟指揮官道歉……嗚……
MP5(6)<Speaker></Speaker>||<黑点1>:MP5用手胡亂蹭了蹭臉，向自己的宿舍走去。
()<Speaker></Speaker>||<BIN>83</BIN><黑点2><Night><BGM>BGM_Empty</BGM>:……除夕夜即將結束。+人形宿舍外。
()<Speaker></Speaker>||<BGM>BGM_Moon</BGM>:MP5拖著和下午時同樣沉重的步伐，回到了自己的宿舍大樓前。+又一片煙花在空中綻放，在彩光的映照下，MP5突然發現門前似乎有什麼人等在那裡。
MP5(6)<Speaker>MP5</Speaker>||:不會是指揮官已經知道了，專門來興師問罪的吧——+啊，是K5？你怎麼在這裡？
MP5(6)<Speaker>MP5</Speaker>||<震屏>:——欸欸？這，這不是……！
()<Speaker></Speaker>||:MP5揉了揉眼睛，等在她門前的，除了帶著微笑蹲在前院草地上的K5，還有——
MP5(6)<Speaker>MP5</Speaker>||<震屏>:是豬！我的豬！
MP5(6);K5(0)<Speaker>K5</Speaker>||:噓——+小聲一點呀，它剛剛才睡著的。
MP5(6)<Grey>;K5(0)<Grey>||:
()||:MP5連忙捂住嘴，過了一小會兒，小聲地問K5。
MP5(6)<Speaker>MP5</Speaker>;K5(0)||:K5，你怎麼在這裡？為什麼豬也在這裡？+我害怕死了，我還以為它被……它被……
MP5(6);K5(0)<Speaker>K5</Speaker>||:我今日的占卜結果說，要多出門轉轉比較好，我就想著過來找你們串串門。+結果你們這裡都沒人在家，只有這隻小豬在家，所以呢，我就在這裡陪它玩了一會兒。
MP5(6)<Speaker>MP5</Speaker>;K5(0)||:嗚嗚嗚你真好……！+這份恩情我會一直記在心裡的！+<color=#A9A9A9>（小豬在家？難道從一開始豬就沒有走丟嗎……？）</color>
MP5(6);K5(0)<Speaker>K5</Speaker>||:呵……不過我倒是沒想到，這隻小豬原來是MP5小姐飼養的哦？+你把它照顧得很好呢。
MP5(6)<Speaker>MP5</Speaker>;K5(0)||:誒嘿，大家都這麼說……+啊等等，不過大家每次這麼說的時候，眼睛都牢牢盯著它看，還放出詭異的光來呢！+K5小姐，你、你不會也想……？
MP5(6)<Grey>;K5(0)<Grey>||:
()||:MP5突然慌亂了起來，悄悄往熟睡中的小豬那邊挪了幾步。+K5看到她這個樣子，忍不住輕聲笑了出來。
MP5(6);K5(0)<Speaker>K5</Speaker>||:MP5小姐真的很在乎這個【寵物】哦？我才不會吃它呢，根據我的占卜結果，我這個月最好還是不吃豬肉比較好運。+雖說在豬年規定自己不可以吃豬肉這件事不管怎麼說都有些奇怪……不過算了，我相信這一切都是命運的安排哦。
MP5(6)<Grey>;K5(0)<Grey>||:
()||:MP5捂著嘴巴連連點頭。
MP5(6)<Speaker>MP5</Speaker>||<白屏1>:嗯！多虧了命運的安排！還好K5你在這裡……+嗚嗚……感謝占卜！果然K5的占卜是最棒的了！
()<Speaker></Speaker>||<BIN>142</BIN><白屏2>:……新年的鐘聲敲響，嶄新的、充滿未知的一年終於也拉開了序幕。+伴著鐘聲，一處又一處的煙花被發射到基地的上空，像是盡了全力不讓夜空暗下來一樣。+在這樣的光景下，MP5和K5齊坐在宿舍前院的草坪上，MP5一邊欣賞煙花，一邊輕輕撫摸著身旁睡得正香的仿生豬。
MP5(6)<Speaker>MP5</Speaker>||:<color=#A9A9A9>（新的一年啊，希望我也能變得更厲害，然後接到更厲害的任務吧！）</color>+<color=#A9A9A9>（豬年不吃豬肉的占卜嗎？不過說起來，戰術人形究竟會不會吃掉仿生豬呢？）</color>
97typeS(0)<Speaker>97式霰</Speaker>||:喂！MP5！要來嘗嘗我們剛做的臘腸嗎！+保證是你們那邊沒吃過的味道哦！
MP5(6)<Speaker>MP5</Speaker>||:來啦來啦——！
MP5(6)<Speaker>MP5</Speaker>||<黑屏1>:<color=#A9A9A9>（算了，還是明天早上去問問指揮官吧♪）</color>
