()<Speaker>MP7</Speaker>||<黑屏2><BIN>9</BIN><BGM>BGM_Empty</BGM>:臭·老·鼠——！+給我站住！
()<Speaker>指揮官</Speaker>||:知道就好，我可不想在聖誕節的時候主持決鬥，所以用這種符合節日氛圍的方式來分勝負，難道不是剛好嗎？+給你們二位一天的時間做準備，誰的禮物能夠讓對方心服口服，誰就是勝利者，失敗的一方要好好地道歉。
MP7(0)<Speaker>MP7</Speaker>||:我才不要！給這只老鼠準備禮物什麼的完全是浪費時間和金錢！
()<Speaker>指揮官</Speaker>||:還是說……+MP7你擔心用這種方式比試的話會輸掉嗎？
MP7(0)<Speaker>MP7</Speaker>||:……+啊？
()<Speaker>指揮官</Speaker>||:<color=#A9A9A9>果然，MP7把聲音提高了幾分。</color>+<color=#A9A9A9>MP7並不是笨蛋，但是卻很容易中激將法。</color>
MP7(0)<Speaker>MP7</Speaker>||:真敢說啊……飼養員，你膽子變大了嘛。+比就比！誰怕誰啊！+你這傢伙，給我洗乾淨脖子等著！這只臭老鼠！
()||:MP7憤憤而去。
PDW(2)<Speaker>蜜獾</Speaker>||:……
()<Speaker>指揮官</Speaker>||:<color=#A9A9A9>……好刺痛啊，蜜獾的眼神。</color>
PDW(2)<Speaker>蜜獾</Speaker>||:要分勝負是沒有關係，反正不論用什麼方式，我和貝特都是不會輸的。+既然是指揮官的要求，我就稍微奉陪一下……唯獨不想輸給那種傢伙啊。+不管是什麼方式也好。
()<Speaker>指揮官</Speaker>||:……+我早就想問了，蜜獾你跟MP7之間是有什麼深仇大恨嗎？
PDW(2)<Speaker>蜜獾</Speaker>||:也說不上是那種程度吧。+只是稍微有些合不來罷了？
()<Speaker>指揮官</Speaker>||:這不是「稍微」的程度了吧？+的確，MP7的性格一直都是那樣，但我也知道，她並不是什麼壞孩子。+還有蜜獾你也是，一直以來都非常可靠……貝特也一樣。
PDW(2)<Speaker>蜜獾</Speaker>||:所以才想到了用「交換禮物」這種奇怪的方式給我們鼓勁嗎？
()<Speaker>指揮官</Speaker>||:比試什麼的當然是幌子，如果可以的話，我希望這能稱為一個你們和好的契機。+畢竟如果你們一直相處都不融洽的話，我可是會很頭疼的。
PDW(2)<Speaker>蜜獾</Speaker>||:我也不是完全不能理解指揮官的想法。+但我覺得只是白費力氣而已。
()<Speaker>指揮官</Speaker>||:為什麼？
PDW(2)<Speaker>蜜獾</Speaker>||:我並不覺得那傢伙會認真準備禮物。+多半只是會帶過來一些小家子氣的東西，甚至是惡作劇一樣的玩具來讓我難堪吧。
()<Speaker>指揮官</Speaker>||:……會那樣嗎？
PDW(2)<Speaker>蜜獾</Speaker>||:雖然這樣說可能會很奇怪。+但我和那傢伙之間的孽緣並不是這樣輕而易舉就能夠了結的東西。
()<Speaker>指揮官</Speaker>||:都說到這樣的地步了，反而讓人放心不下。+我倒是覺得MP7不會做出那樣的事情。+我已經說過了，雖然MP7的個性稍微有些彆扭，但她並不是壞孩子。
PDW(2)<Speaker>蜜獾</Speaker>||:嗯哼……指揮官很信賴她嘛。
()<Speaker>指揮官</Speaker>||:我信賴的是你們所有人。+包括你在內，我相信你們當中不會有壞人。
PDW(2)<Speaker>蜜獾</Speaker>||:既然如此，要不要跟我打個賭呢？指揮官？
()<Speaker>指揮官</Speaker>||:打賭？
PDW(2)<Speaker>蜜獾</Speaker>||:就賭那傢伙到底會不會認真地去給我準備禮物。
()<Speaker>指揮官</Speaker>||:……我覺得這種事情沒有賭博的意義啊。
PDW(2)<Speaker>蜜獾</Speaker>||:指揮官不是非常信任我們嗎？+那就來比比看吧，是指揮官的信任是正確的，還是我與她的糾葛能占上風。+如果指揮官贏了的話……
()<Speaker>指揮官</Speaker>||:贏了的話？
PDW(2)<Speaker>蜜獾</Speaker>||:保密。
()<Speaker>指揮官</Speaker>||:……這不是等於什麼都沒說嗎？+不過，如果這樣能讓你心服口服的話，我可以接受。+但是，蜜獾你也要答應我一件事。
PDW(2)<Speaker>蜜獾</Speaker>||:什麼事呢？
()<Speaker>指揮官</Speaker>||:你也要認真去考慮和準備給MP7的禮物才行。+說到底這件事是貝特的不對吧？+之後如果能好好的道歉就好了。
PDW(2)<Speaker>蜜獾</Speaker>||:我稍微考慮一下吧，不會讓指揮官難做的。+但如果那傢伙要讓我難堪的話，我可是也不會善罷甘休的。
()||:蜜獾也背身而去。
()<Speaker>指揮官</Speaker>||:……希望能有好的結果吧。
()<Speaker>指揮官</Speaker>||:<color=#A9A9A9>雖然已經能理解這兩人的關係究竟是有多糟了，但如果能有好的契機，大概總會有辦法的。</color>+<color=#A9A9A9>只要MP7和蜜獾都能接受這個提議，就是一個好的開始。</color>+<color=#A9A9A9>剩下的事，就只有等到晚上才知道結果了。</color>
()<Speaker>指揮官</Speaker>||:……+咦？AA12？你還在啊？
AA12(0)<Speaker>AA12</Speaker>||<黑点1>:……+……所以說，我早就可以回去了吧？
()||<黑点2><Night><BGM>BGM_Empty</BGM>:晚上。
()<Speaker>蜜獾</Speaker>||<BGM>BGM_Moon</BGM>:指揮官。
()<Speaker>指揮官</Speaker>||:進來吧。
PDW(2)<Speaker>蜜獾</Speaker>||:……+……看來是我先到了呢，能不能算我勝出了呢？
()<Speaker>指揮官</Speaker>||:……比試的內容不是這個吧。+而且重點也不在分勝負上，多少理解一下我的苦心吧。
PDW(2)<Speaker>蜜獾</Speaker>||:對那傢伙來說，勝負就是全部的重點吧。
()<Speaker>指揮官</Speaker>||:我看你的勝負心也絲毫不弱嘛……所以你準備了什麼？
PDW(2)<Speaker>蜜獾</Speaker>||:請允許我暫時保密。+而且也不一定會有拿出來的機會。+如果對方沒有遵守規則的意思的話，我也不介意用簡單的方式解決問題。
()<Speaker>指揮官</Speaker>||:別公然發表鬥毆宣言啊……不過我倒是放心了，聽你這樣說，你是有好好準備禮物的吧？
PDW(2)<Speaker>蜜獾</Speaker>||:那當然了。+我又不像某些人那樣，不僅小孩子氣還幼稚得不行。
PDW(2);MP7(0)<Speaker>MP7</Speaker>||:——你說誰不僅小孩子氣還幼稚得不行啊臭老鼠？
PDW(2)<Speaker>蜜獾</Speaker>;MP7(0)||:啊，出現了。
()<Speaker>指揮官</Speaker>||:<color=#A9A9A9>那兩個形容不是一個意思嗎？</color>
MP7(0)<Speaker>MP7</Speaker>||:可惡……只知道在別人背後說人壞話。+所以才說我討厭你啊。
()||:MP7看起來餘怒未消，但並沒有繼續糾纏下去。+她拿著一個並不算大的禮物盒子，包裝得有些粗糙，但相當漂亮。+蜜獾看起來也注意到了，臉上露出吃驚的表情。
()<Speaker>指揮官</Speaker>||:咳……+MP7……你有好好準備能讓蜜獾心服口服的禮物嗎？
MP7(0)<Speaker>MP7</Speaker>||:哼，你以為你在跟誰說話啊。+不管是什麼任務，我當然都會完成得很漂亮吧，笨蛋飼養員。
()||:蜜獾有些動搖。
PDW(2)<Speaker>蜜獾</Speaker>||:……什麼嘛，該不會是先說的好聽，然後再用惡作劇禮物讓我嚇一跳吧？
()<Speaker>指揮官</Speaker>||:<color=#A9A9A9>還在逞強啊……</color>
MP7(0)<Speaker>MP7</Speaker>||:惡作劇禮物倒是很適合小偷老鼠，但是我更不喜歡輸掉比賽。+而且……飼養員也說過了吧，今天是聖誕節。+我可不想做什麼太壞氣氛的事情。
()||:MP7將手裡的禮物盒遞給了蜜獾。
PDW(2)<Speaker>蜜獾</Speaker>||:……+……裡面是打開就會爆炸的東西嗎？
MP7(0)<Speaker>MP7</Speaker>||:當然不是！你把我當成什麼了啊！
()<Speaker>指揮官</Speaker>||:這是什麼？
MP7(0)<Speaker>MP7</Speaker>||:是髮飾，還有絲帶。+臭老鼠從早上開始就穿著奇怪的衣服吧。+就想著反正是聖誕節，不如送點貼切的東西。+這個可是我親手做的，好好感激涕零吧！
()<Speaker>指揮官</Speaker>||:……啊，的確很合適呢。+那麼……蜜獾的禮物呢？
PDW(2)<Speaker>蜜獾</Speaker>||:……+……給。
()||:短暫的沉默之後，蜜獾也從貝特的身上取下了一個精緻的盒子。
MP7(0)<Speaker>MP7</Speaker>||:哼，反正不管是什麼也……這是什麼啊？
PDW(2)<Speaker>蜜獾</Speaker>;MP7(0)||:是棒棒糖。
PDW(2);MP7(0)<Speaker>MP7</Speaker>||:欸？
PDW(2)<Speaker>蜜獾</Speaker>;MP7(0)||:是特製的聖誕棒棒糖。+早上貝特偷吃了你的糖吧？+算是跟你道歉，不要再責怪貝特了。
MP7(0)<Speaker>MP7</Speaker>||:跟我道歉……你？
()||:MP7呆愣在了原地。+蜜獾也很不自在，場面變得有些尷尬。
()<Speaker>指揮官</Speaker>||:現在想法有改變了嗎？
PDW(2)<Speaker>蜜獾</Speaker>||:……是我錯估了。+指揮官說的的確沒有錯。
()<Speaker>指揮官</Speaker>||:只要願意溝通，即便是你們也一定可以心意相通的。+我也很高興，你有好好聽我的話去準備給MP7的禮物。+下了些功夫呢。
PDW(2)<Speaker>蜜獾</Speaker>||:畢竟是指揮官先對我們的事情這樣上心，即使是我也感到非常感激。+我也的確是動了些腦筋……雖然我不覺得可以就這樣變成好朋友。+但也許就像指揮官說的那樣，什麼事都要有第一步吧。
()||:蜜獾又拿出了一個盒子。
PDW(2)<Speaker>蜜獾</Speaker>||:跟指揮官的打賭是我輸了，這是給指揮官的禮物。
()<Speaker>指揮官</Speaker>||:給我的？
PDW(2)<Speaker>蜜獾</Speaker>||:嗯。+要趁現在氣氛還好的時候送出去才行。+聖誕快樂，指揮官。
()<Speaker>指揮官</Speaker>||:謝謝，你有心了。+……+……等等？+……趁現在氣氛還好？這是什麼意思？
MP7(0)<Speaker>MP7</Speaker>||<BGM>BGM_Empty</BGM>:——嘎。
()<Speaker>指揮官</Speaker>||:……MP7？你怎麼……那個棒棒糖？
MP7(0)<Speaker>MP7</Speaker><Shake>||<BGM>m_avg_casual</BGM><震屏3>:咿咿咿咿咿咿咿——在跳！在跳！什麼東西在我的嘴巴裡跳！+飼養員！有蟲子！有蟲子在我的嘴巴裡跳來跳去！
()<Speaker>指揮官</Speaker>||:冷靜一下！那個應該不是蟲子，是跳跳糖吧……蜜獾！
PDW(2)<Speaker>蜜獾</Speaker>||:那麼我先告辭了，指揮官。+貝特！我們走！
()<Speaker>指揮官</Speaker>||:別跑啊！
MP7(0)<Speaker>MP7</Speaker><Shake>||<震屏3>:咿呀——！跳得好激烈——不要咬我的嘴巴！
()<Speaker>指揮官</Speaker>||:冷靜啊！
()||<黑屏1>:現場一下子陷入了混亂。+……看來想讓這兩人的關係變好，還需要很長一段時間。
