关闭蒙版()||<BIN>9</BIN><黑屏1>0,10</黑屏1>:
98k(0)<Speaker>Kar98k</Speaker>||:只是為了再確認一下，非基地人員進入這裡的可能性。
APS(0)<Speaker>斯捷奇金</Speaker>||:我並不是問這種層面的事。+這麼說好了，對現在的你而言，優先級最高的事應該是為接下來的任務做準備。+這件事即便不依靠我們，指揮中心的格琳娜也會徹查到底。+那麼你有什麼非要單獨調查這件事不可的理由？責任心嗎？還是說……榮譽？
()<Speaker></Speaker>||<BGM>BGM_Truth</BGM>:被斯捷奇金的語言刺激，卡爾的眉頭僅僅在一瞬間流露出些許不悅的神情，但這細微的表現也被斯捷奇金所捕捉到。
APS(0)<Speaker>斯捷奇金</Speaker>||:看樣子我說對了，孤傲的卡爾最為重視的也只能是自己的榮譽呢。
98k(0)<Speaker>Kar98k</Speaker>||:還是說你喜歡被人視作亂闖禁地的野貓，加以提防？
APS(0)<Speaker>斯捷奇金</Speaker>||:哈哈，那些在匿名版放出監控影像內容，還煞有介事地懷疑你的傢伙們真是可惡。+不過話說回來，萬一這個神秘人的身份就這樣一直成謎，你打算如何撇清嫌疑，挽回自己的榮譽？
98k(0)<Speaker>Kar98k</Speaker>||:聽上去你好像有什麼發現。
APS(0)<Speaker>斯捷奇金</Speaker>||:無非就是從大家口中問出的一些細節，一些看似有疏漏的“細節”。+我現在只需要一個強而有力的士兵，將我已經準備好的“語言”化作子彈，上膛……+最後，瞄準真相扣下“扳機”。
98k(0)<Speaker>Kar98k</Speaker>||<黑屏1>:看樣子你心目中已經有合適的人選了。
()<Speaker></Speaker>||<黑屏2><BIN>136</BIN>:又過了一日，卡諾、馬卡洛夫和斯捷奇金舉辦了一場盛大的婚紗試穿活動，我也受邀出席。+在處理完了一些事後，我正準備從正廳離去，就在這時……
98k(0)<Speaker>Kar98k</Speaker>||:指揮官，請留步。
()<Speaker>指揮官</Speaker>||:卡爾？抱歉，你那邊的作戰方針我今晚一定會給到……
98k(0)<Speaker>Kar98k</Speaker>||:在此之前還有些必須確認的事，沒錯吧，各位？
()<Speaker></Speaker>||:緊隨卡爾之後，M950A、斯捷奇金、馬卡洛夫和Zas走了出來。
98k(0)<Speaker>Kar98k</Speaker>||:雖然還有些和前日事件有關的同僚沒有在此處出現，不過之前也和她們確認過情況了。
()<Speaker>指揮官</Speaker>||:卡爾，你這是做什麼？
98k(0)<Speaker>Kar98k</Speaker>||:只是向指揮官確認最後的細節，關於前天夜裡的……一些細節。
()<Speaker></Speaker>||:在試穿婚紗的活動上，身穿黑色軍服的卡爾從高處的台階走下，軍靴的鞋跟落在地上發出充滿威壓感的蹬步聲，這無疑對我施加了極大的壓力。
98k(0)<Speaker>Kar98k</Speaker>||:我在情人節晚宴結束的夜間，也就是那天夜間監控系統維護的時段內造訪了指揮官的房間。+請問指揮官有察覺到嗎？
()<Speaker>指揮官</Speaker>||:<color=#A9A9A9>這裡不能讓卡爾繼續借題發揮，我只能裝作什麼都不知道……</color>+抱歉，卡爾，我那天實在喝得太多，完全沒有察覺到你的到來……
98k(0)<Speaker>Kar98k</Speaker>||<BGM>BGM_Empty</BGM>:那可奇怪了，我進入你房間時，房門的密碼鎖可沒有正常生效。+而Zas卻說，她和灰熊在送你回到臥室後，離開時有將密碼鎖重新啟動。
()<Speaker>指揮官</Speaker>||:<color=#A9A9A9>不好，這麼說卡爾已經……</color>
98k(0)<Speaker>Kar98k</Speaker>||<BGM>BGM_stage8</BGM>:能出現這種情況的可能性只有兩種。+有什麼人依靠外力破壞了密碼鎖，入侵過你的房間，或者……+除指揮官之外，擁有開啟密碼鎖權限的人，在Zas她們離開後我到場前這段時間進入過你的房間，並在離開後忘記重啟密碼鎖。+請指揮官再好好回憶一下，那天晚上的事您是不是真的一點都不記得了。
APS(0)<Speaker>斯捷奇金</Speaker>||:卡爾分析得很到位。那麼，該到揭示真相的時刻了。
()<Speaker></Speaker>||:我一頭扎進了卡爾用言語編製的陷阱，想逃避也為時已晚。+其他在場人形也向我投來了忐忑的目光……我的回答，將決定這場事件的走向。
()<Speaker>指揮官</Speaker>||:<color=#A9A9A9>從立場上而言，就這樣繼續堅持我因為喝醉一無所知的論調，只會讓大家更加發散地去排查那個身影的身份。</color>+<color=#A9A9A9>這顯然不是最優先的，那麼，我的答案是……</color>
()<Speaker></Speaker>||:看到指揮官似乎有表露真相的意願，卡爾也稍微緊張了起來。 
()<Speaker>指揮官</Speaker>||:你們拍到那個逆光中的長髮人影，其實是格琳娜……+那天有緊急文件，格琳娜需要向我報告並等我批覆，所以參加完晚宴的她也是頭髮都沒綁就衝到了我的房裡。
98k(0)<Speaker>Kar98k</Speaker>||:同屬指揮中心的格琳娜可能會持有開啟房門的權限，可是……
()<Speaker></Speaker>||:指揮官發言後，正廳突然變得喧鬧了起來，斯捷奇金則在喧鬧中悄悄潛到了卡爾的身旁。
APS(0)<Speaker>斯捷奇金</Speaker>||:<Size=35>卡爾，我剛才又看了下那晚拍到的照片，我也曾經記錄過格琳娜散髮後的樣子，對比兩者的照片發現很難完全吻合。</Size>+<Size=35>也許，指揮官是打算死守那個身影的秘密到底了。</Size>
98k(0)<Speaker>Kar98k</Speaker>||:<Size=35>值得指揮官如此死守的秘密，究竟是什麼？</Size>
APS(0)<Speaker>斯捷奇金</Speaker>||:<Size=35>那接下來我們要做的，就是用相片對比的結果刺破指揮官最後一道防線。</Size>
()<Speaker>指揮官</Speaker>||:斯捷奇金、卡爾，如果沒有其他問題我就先離開了，我還有很多事務需要處理。
()<Speaker></Speaker>||:卡爾和斯捷奇金顯然正在醞釀下一波攻勢，如果讓她們順利發難，我的局勢會更為不利。因此，我立刻試圖脫身。
98k(0)<Speaker>Kar98k</Speaker>||<BGM>BGM_Empty</BGM>:請留步，指揮官，我還有一個問題……
APS(0)<Speaker>斯捷奇金</Speaker>||:<color=#A9A9A9>對，卡爾，就這樣一步步地將真相暴露出來!</color>
98k(0)<Speaker>Kar98k</Speaker>||:請問，一醉不醒的指揮官又是怎麼知道格琳娜來到自己房間的？
APS(0)<Speaker>斯捷奇金</Speaker>||:<color=#A9A9A9>！？！？！？！？</color>+<color=#A9A9A9>……卡爾，為什麼沒有按照我的意圖，問指揮官關於那兩張照片對比的事？</color>
()<Speaker></Speaker>||:斯捷奇金瘋狂用眼神暗示卡爾，而卡爾卻視若不見。
()<Speaker>指揮官</Speaker>||:這……
Grizzly(4)<Speaker>灰熊MKV</Speaker>||<BGM>GF_Memorial</BGM>:等等，我把長官送回宿舍時，長官因為醉酒漲紅的臉好像就差不多恢復正常了。
ZastavaM21(6)<Speaker>ZasM21</Speaker>||:說起來你那時是提過，指揮官睡下時，臉上已經看不出酒精帶來的不適，非常安心地入眠了。
()<Speaker></Speaker>||:灰熊突然從後方試衣間走了出來，在場的Zas也開始發言，她們的幫腔成為了幫我阻擋卡爾攻勢的關鍵。
()<Speaker>指揮官</Speaker>||:沒錯，格琳娜來向我做緊急報告的時候，我就被立即叫醒了！+雖然她離開後，我又立刻進入了不省人事的狀態。+抱歉，我如果能多堅持一會到卡爾過來，或者卡爾打算主動叫醒我的話……
()<Speaker></Speaker>||:指揮官的這番發言也沒讓議論聲平息，卡爾也沒有停止思索。
98k(0)<Speaker>Kar98k</Speaker>||:總覺得可疑的地方還是很多。
()<Speaker></Speaker>||:此時有人輕輕地拍了拍卡爾的肩膀，並在她的耳邊低語。
Grizzly(4)<Speaker>灰熊MKV</Speaker>||:注意一下長官的眼神，卡爾。
()<Speaker></Speaker>||:卡爾像是對灰熊等人的舉動做出了反應，她以自己視線的餘光審視了一下現在的指揮官。+她似乎得到了自己想要的結果。
98k(0)<Speaker>Kar98k</Speaker>||:看樣子，我的質疑沒有任何意義。
()<Speaker></Speaker>||:說完這話，卡爾便離開了這騷亂的中心。
APS(0)<Speaker>斯捷奇金</Speaker>||:喂喂喂，你就這樣拋下我不管了嗎！+卡爾，等我一下！
()<Speaker></Speaker>||<黑屏1>:沒有強勢的卡爾發出質問，孤掌難鳴的斯捷奇金很快也退了下來。
()<Speaker></Speaker>||<黑屏2><Night><BIN>18</BIN>:當晚，一切鬧劇已經落幕，我走到卡爾房前，叩響了房門。
()<Speaker>指揮官</Speaker>||:卡爾，現在方便嗎？我有些事還是想跟你當面說清楚。
()<Speaker></Speaker>||:屋內的沉默持續了一小段時間。沒過多久，卡爾便發出了聲音。
()<Speaker>Kar98k</Speaker>||<黑点1>:門並沒有上鎖，指揮官可以直接進來。
()<Speaker>指揮官</Speaker>||<黑点2><BIN>82</BIN><Night>:卡爾，你這身打扮是？
98k(2)<Speaker>Kar98k</Speaker>||:是卡諾剛剛送過來的，說是無論如何要讓我試穿一下。+剛才的活動本意是為了給大家試穿婚紗，卻因為我變成了那樣，所以怎麼也不好拒絕她。
()<Speaker>指揮官</Speaker>||:原來是這樣，對了，關於白天的事……
98k(2)<Speaker>Kar98k</Speaker>||:那天夜裡在指揮官屋中出現的身姿其實不是格琳娜，沒錯吧？
()<Speaker>指揮官</Speaker>||:果然瞞不過卡爾。
98k(2)<Speaker>Kar98k</Speaker>||:這也瞞不過斯捷奇金，她在那時已經掌握了那個影子不是格琳娜的證據。+只是我在那時放棄了幫她挑明這一點。
()<Speaker>指揮官</Speaker>||:以我的立場也許不該這麼問，但如果明確了那個影子的身份，有關卡爾的流言蜚語應該很快就能完全散去。
98k(2)<Speaker>Kar98k</Speaker>||:指揮官，白天的那些質問並非是為了我自己。+雖然我希望自己在戰場上贏得的聲譽，不被這些流言蜚語所影響。+但更為重要的是，我必須確認指揮官究竟對那個神秘的影子持什麼態度。
()<Speaker>指揮官</Speaker>||:這就是我要道歉的地方了，你就當這個影子沒有存在過……
()<Speaker></Speaker>||:此時的卡爾用自己的一指抵住了自己的嘴脣，做出了一個示意緘默的姿勢。+因為這個動作，卡爾將自己堅定的意志傳遞給了我。
()<Speaker>指揮官</Speaker>||:卡爾，我明白了。+最重要的是堅守我認為正確的事物。
98k(2)<Speaker>Kar98k</Speaker>||:如果守護這個影子的真相對指揮官而言是正確的事，為了堅守這份正確所必須的力量，正是我們。
()<Speaker></Speaker>||<黑屏1>:卡爾心中的正確，格里芬的正確，我所堅信的正確，維繫這三者的平衡，讓我們的前路保持一致，看樣子我能做的還有很多。
