()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:戦場にて。
NPC-Jason(1);NPC-Kalin(4)<Speaker>指揮官</Speaker>||:敵の駐屯地点に侵入しようと思ってる。残った小隊で火力制圧を行うんだ。//n進攻はしないで、奴らの注意を引くだけで良い。+今すぐ発砲を。兵士たちが気を取られてる隙に、どうにか忍び込む。
NPC-Jason(1);NPC-Kalin(4)<Speaker>カリーナ</Speaker>||:<color=#00CCFF>ですが、指揮官さま……</color>
NPC-Jason(1);NPC-Kalin(4)<Speaker>指揮官</Speaker>||:カリン、執行を。
NPC-Kalin(4)<Speaker>カリーナ</Speaker>||:<color=#00CCFF>はい、すぐ取りかかります。</color>
()<Speaker></Speaker>||<SE1>AVG_tele_disconnect</SE1><SE2>Gunfight</SE2>:突如、銃声が激しさを増した。//n兵士と自律ユニットが、警戒して交戦地点へと走り去る。+流れ弾が防衛線を越え、傍の壁に絶えず弾痕を作ってゆく。//nその音は奇妙でありながらも、やや滑稽に感じられた。
NPC-Jason(1)<Speaker>K</Speaker><通讯框>||<SE1>AVG_tele_connect</SE1>:<color=#00CCFF>賭けに出るつもりか？</color>
NPC-Jason(1)<Speaker>指揮官</Speaker>||:賭けじゃなかった試しがあったか？
NPC-Jason(1)<Speaker>K</Speaker>||:<color=#00CCFF>ならば幸運を祈ろう。お前がハチの巣になったら、黙祷でもしてやるさ。</color>
NPC-Jason(1)<Speaker>指揮官</Speaker>||<BGM>BGM_Empty</BGM>:黙祷なんぞは取っとけ。今は任務に集中するんだ。アウト。
()<Speaker></Speaker>||<SE1>AVG_tele_disconnect</SE1>:前方に遮蔽物は見当たらない。+だが……迷っている暇はない。+私は爆薬を腰の両側に動かすと、出来るだけ身体を伏せた状態で、//nゆっくりと匍匐前進し始めた。
NPC-Yegor(3)<Speaker>正規軍兵士A</Speaker>||:マルコフがやられた！運べる奴はいないか！？
NPC-Yegor(3);NPC-Soldier(0)<Speaker>正規軍兵士B</Speaker>||<SE2>Gunfight</SE2>:相手を抑えきれない！手榴弾はあるか！？
NPC-Yegor(3)<Speaker>正規軍兵士A</Speaker>;NPC-Soldier(0)||<SE1>Battlefield</SE1>:もうない、使い切った！+弾倉が底を尽きそうだ、誰か代われ！
NPC-Yegor(3);NPC-Soldier(0)<Speaker>正規軍兵士B</Speaker>||<SE1>RunStep</SE1>:俺がやる！+軍曹に連絡して装甲弾を送ってもらえ！+それと人手もだ！もう持ちこたえられない！
NPC-Yegor(3)<Speaker>正規軍兵士A</Speaker>||<SE2>Gunfight</SE2>:あっちも装甲弾を切らしてる！//n動けそうな怪我人は弾を込めろ！無駄撃ちするな！
()<Speaker></Speaker>||<SE1>Battlefield</SE1><BGM>BGM_Battle</BGM>:そう遠くない場所で、戦いが繰り広げられていた。+被弾した兵士たちが、他の兵士に引きずられてゆく。//nどれも致命傷ではないようだ。//n経験豊富な老兵たちは、攻撃時に身体をさらけ出すことはしない。+だが近距離での戦いにおいては、人形の射撃管制コアの反応速度が勝る。//n兵士たちの腕や武器は弾丸に穿たれ、戦場に阿鼻叫喚が響き渡る。+衛生兵が懸命に止血を施し、残った兵士たちは//n負傷者から弾薬をはぎ取って、戦線へと舞い戻る。+通路内にこだまする銃声と、兵士の叫び声が耳を聾する。//n私は残りの兵士が戦いに気を取られている隙に、//nその背後を素早く這って行った。+またも一個小隊が、臨時司令所より交戦地点へと向かった。//n彼らのウェポンライトが不規則に揺れている。//n光が何度も私の顔面上を行き来しているように感じた……+幸い、彼らは目標地点へと急いでいたため、//n地面に伏せていた私に気づいていないようだった。+彼らが走り去った後、私はすぐさま立ち上がり、//n小走りで向かいの掩体へと急いだ。やっとのことで呼吸を整え、//n喉元まで来ていた心臓を元の位置へと押し戻した。+最後の難題が残っている――軍の小隊の臨時司令掩体は、//n私から十数m離れた位置にある。//nだが海水バルブは指令掩体の後ろだ、避けては通れない。
NPC-Yegor(3)<Speaker>正規軍将校</Speaker>||:カラスコの小隊はどうした、奴らをここへ向かわせろ！
NPC-Yegor(3);NPC-Soldier(0)<Speaker>正規軍軍曹</Speaker>||:カラスコは既に亡くなりました。//n9-1と9-3小隊が、側面からグリフィンの火力地点を包囲しようとしています。
NPC-Yegor(3)<Speaker>正規軍将校</Speaker>;NPC-Soldier(0)||:Сука！包囲してどうする！+なんとしてでも人形どもを振り切るのだ！//n大尉が我々を待っておられるんだぞ！
NPC-Yegor(3);NPC-Soldier(0)<Speaker>正規軍軍曹</Speaker>||:ですが、敵があまりにもしつこい上に、弾薬が消耗が激しすぎます！
NPC-Yegor(3)<Speaker>正規軍将校</Speaker>;NPC-Soldier(0)||:奴らを呼び戻して援護させるのだ。//n一点集中で挑むぞ、我々が最後の勢力だ！
NPC-Yegor(3);NPC-Soldier(0)<Speaker>正規軍軍曹</Speaker>||:もう支援はないんでしょうか？
NPC-Yegor(3)<Speaker>正規軍将校</Speaker>;NPC-Soldier(0)||:外の爆撃音が聞こえなかったのか？+あれが民間軍事企業に成せる技だと思うかね？
NPC-Yegor(3);NPC-Soldier(0)<Speaker>正規軍軍曹</Speaker>||:あの忌々しい犬どもめ……
NPC-Yegor(3)<Speaker>正規軍将校</Speaker>||<BGM>BGM_Empty</BGM><SE1>AVG_pistol_finalshot_sup</SE1>:大尉が制御室にたどり着けさえすれば、我らが同志の死も無駄ではない。//n早く他の小――
()<Speaker></Speaker>||<BGM>BGM_Sneak</BGM><SE1>AVG_pistol_finalshot_sup</SE1><黑点1>:幾ばくかの銃声が鳴った。//n掩体内にいる二人の頭部から、滔々と血が溢れ出す。+私は素早く掩体内に隠れると、それぞれの死体の頭部に、//nもう一発ずつお見舞いした。+死体へと近づき、その内の一人の武器と無線機をはぎ取って、//n海水バルブの方へと急いだ。+先ほどの銃声が交戦音に紛れたおかげで、//n彼らの指揮官がすでに殺されていることなど、//n兵士たちはまだ知らないようだった。+それにより爆薬を設置する時間が十分とれた。
()<Speaker></Speaker>||<黑点2>:……+爆薬と起爆設備は万全だ。あとは安全距離を取って起爆させるだけでいい。+私は起爆装置が問題ない事を確認すると、それをポケットにしまい、//n先ほどからひっきりなしに点滅している通信機をつけた。
NPC-Jason(1)<Speaker>K</Speaker><通讯框>||<SE1>AVG_tele_connect</SE1>:<color=#00CCFF>指揮官、聞こえるか？</color>+<color=#00CCFF>こっちは任務完了だ。</color>
NPC-Jason(1)<Speaker>指揮官</Speaker>||:了解、こっちもだ。+先に行ってくれ、ちょっとしたトラブルが起こってる。
NPC-Jason(1)<Speaker>K</Speaker>||:<color=#00CCFF>奴らの指揮官を殺したのか？</color>
NPC-Jason(1)<Speaker>指揮官</Speaker>||:そうせざるを得なかった。
NPC-Jason(1)<Speaker>K</Speaker>||:<color=#00CCFF>気を付けろ、他の小隊がお前を探し始めてる。</color>
NPC-Jason(1)<Speaker>指揮官</Speaker>||:分かった。一旦アンジェと連絡を取る。その後どうするかを判断するよ。
NPC-Jason(1)<Speaker>K</Speaker>||:<color=#00CCFF>そこから連絡がつくのか？</color>
NPC-Jason(1)<Speaker>指揮官</Speaker>||<SE1>AVG_tele_disconnect</SE1>:通信ジャミングが消えた今なら問題ないはずだ。アウト。
()<Speaker>指揮官</Speaker>||<SE1>AVG_tele_connect</SE1>:アンジェ、聞こえるか？
NPC-Ange(1)<Speaker>アンジェリア</Speaker><通讯框>||:<color=#00CCFF>聞こえるわ。</color>+<color=#00CCFF>立て込んでるの、手短にお願い。</color>
NPC-Ange(1)<Speaker>指揮官</Speaker>||:全ての爆弾と起爆装置の設置を終えた、いつでも起爆可能だ。+そっちの状況は？
NPC-Ange(1)<Speaker>アンジェリア</Speaker>||:<color=#00CCFF>エゴールが包囲を突破して、第二層に入ったわ。小隊が追撃してる。</color>+<color=#00CCFF>AR小隊は上層で他の機甲ユニットと交戦中、彼女たちの状況は不明よ。</color>+<color=#00CCFF>今のところ、優勢とは言い難いわね。指揮官、起爆準備をしておいて。</color>
NPC-Ange(1)<Speaker>指揮官</Speaker>||:了解。いつ頃撤退できる？
NPC-Ange(1)<Speaker>アンジェリア</Speaker>||:<color=#00CCFF>私たちが撤退してもしなくても、起爆準備をしておくのよ。起爆時間は5分後にセッティングして。</color>+<color=#00CCFF>その間に、避難できる者は上へと向かわせるわ。</color>
NPC-Ange(1)<Speaker>指揮官</Speaker>||:敵を倒すことができたら、この予備プランは使わないはずじゃ？
NPC-Ange(1)<Speaker>アンジェリア</Speaker>||:<color=#00CCFF>状況が変わったの。何者かがモルスカヤズヴィズダーを起動した痕跡がある。今すぐ航空爆弾を阻止しなかったとしても、いずれはこちらに命中する。</color>+<color=#00CCFF>油断したわ。エゴールが制御室にたどり着けなくても、バラクーダノードに接触したことのあるM16なら、モルスカヤズヴィズダーをアクティベートする権限を持っている可能性が高い。</color>+<color=#00CCFF>クソッ。この基地も中の施設も、そもそも存在するべきじゃなかった。こうなったからには、臨機応変に行くわよ。</color>
NPC-Ange(1)<Speaker>指揮官</Speaker>||<SE1>AVG_tele_disconnect</SE1>:分かった。他のメンバーを何とかして撤退させる。アウト。
()<Speaker>指揮官</Speaker>||<SE1>AVG_tele_connect</SE1>:M4？こちら指揮官、聞こえるか？そっちの状況は？
NytoIsomer(3)<Speaker>ダンデライオン</Speaker><通讯框>||:<color=#00CCFF>指揮官、ご用件を。AR小隊は現在、激しい戦いの真っ只中よ。それと、元AR小隊だった人形も現れたわ。</color>
NytoIsomer(3)<Speaker>指揮官</Speaker>||:何とかして彼女たちを撤退させるんだ。+アンジェが下層でモルスカヤズヴィズダーが起動された痕跡を見つけた。//n5分後に海水バルブを爆破させる。//n基地の下層は海水によって水没する。
NytoIsomer(3)<Speaker>ダンデライオン</Speaker>||:<color=#00CCFF>できかねるわ。敵に近づきすぎている、今すぐ離れるのは無理ね。</color>+<color=#00CCFF>それと、M4はM16を追いかけるつもりよ。誰も彼女を引き留められない。</color>
NytoIsomer(3)<Speaker>指揮官</Speaker>||:チッ……何とかして彼女たちを連れ帰るんだ。//n5分後には海水バルブが爆破される。//nこのままじゃ、何もかも海水に埋もれてしまう。
NytoIsomer(3)<Speaker>ダンデライオン</Speaker>||:<color=#00CCFF>努力するわ。</color>
NytoIsomer(3)<Speaker>指揮官</Speaker>||<SE1>AVG_tele_disconnect</SE1>:頼んだよ、アウト。
()<Speaker>指揮官</Speaker>||<SE1>AVG_tele_connect</SE1>:カリン、聞こえるか？爆薬は設置し終えた、//n小隊を連れて高い所へ移動するんだ。5分後に爆弾が起爆する。
NPC-Kalin(8)<Speaker>カリーナ</Speaker><通讯框>||:<color=#00CCFF>あなたはどうするんですか！？</color>+<color=#00CCFF>兵士たちは撤退し始めました。こうなったら、もう一度攻撃を仕掛けましょう！</color>
NPC-Kalin(8)<Speaker>指揮官</Speaker>||:危ない真似はよしてくれ。自分で何とかして戻るよ。アウト。
NPC-Yegor(3)<Speaker>軍の兵士</Speaker>;NPC-Kalin(8)||:ポレチェンコフ、お前の小隊を連れて俺に続け！+Сука、9-3聞こえるか？少尉がやられた、敵が進入してる！+周囲を捜索しろ、クソッタレのネズミを探し出せ！
NPC-Yegor(3)<Speaker>指揮官</Speaker>||<SE1>AVG_tele_disconnect</SE1>:ずいぶんと早いな。
()<Speaker></Speaker>||:掩体付近の兵士が近づいてきた。私は手中の装備と起爆装置を見た。//nこのスペックで一個小班とやり合うのは得策ではない。+それに、私には重要な任務がある。+だが兵士たちはすでに辺りを取り囲み始めている。//n来た道を戻るのは無理そうだった。
NPC-Soldier(0)<Speaker>軍の兵士</Speaker>||<BGM>BGM_Empty</BGM>:いたぞ！
NPC-Soldier(0)<Speaker>指揮官</Speaker>||<BGM>BGM_Danger</BGM>:！！
NPC-Soldier(0)<Speaker></Speaker>||:ここにいても死ぬのを待つだけだ。//n私は奪い取ったライフルで、兵士たちに向かって掃射し始めた。//n相手が掩体を探している隙に、全速力でその場に飛び出した。
NPC-Soldier(0)<Speaker>軍の兵士</Speaker>||<SE2>Gunfight</SE2>:ネズミがいたぞ、撃て！
()<Speaker></Speaker>||<SE2>Gunfight</SE2><SE1>RunStep</SE1><快跑>:雨のような弾幕が、足元に迫って来た。+私は落としたライフルすらかまわずに、//n全速力で前方の角へ駆けるほかなかった。+転げまわる事で最後の弾丸を避けた私は、//nそのまま路地へと飛び込み、再び身を隠した。
NPC-Soldier(0)<Speaker>軍の兵士</Speaker>||<SE1>AVG_rifle_finalshot_h</SE1>:取り囲め！ネズミを逃がすな！
()<Speaker></Speaker>||<SE2>MachineGunBurst</SE2><白屏1>:2人1組の兵士が、それぞれ屈んだ姿勢と立った姿勢のままで、//n私のいる路地へ撃って来た。+もう一組の兵士が、点射しながら路地の傍へと近づいている。//n集中砲火を受けているせいで、周囲の様子すら確認できない。+「カタッ、ゴロゴロ」……何かが路地に転がり込んだ。+……手榴弾だった。
()<Speaker>指揮官</Speaker>||<白屏2><SE1>Explode</SE1>:ぐっ！
()<Speaker></Speaker>||<SE1>AVG_bigglassbreak</SE1>:（爆発音）+爆発する直前に、私は地面へと突っ伏した。//n近すぎる爆音のせいで、耳鳴りが止まない。+私はすぐに――いや、もしかすると、数秒してから立ち上がり、//n壁にもたれかかって大きく息を吸った。+汗がとめどなく溢れている。//n冷や汗なのか、運動によるものなのか、判断はつかなかった。+左腕がひどく痛む。手足の麻痺する感覚が、最悪の状況を伝えていた。+私は右手を衣服の中へと入れて確認してみた。//n手に触れた箇所が、生ぬるい液体で湿っている。
指挥官()<Speaker>指揮官</Speaker>||:とことんツイてないな……
()<Speaker></Speaker>||:敵が迫って来る、時間はもうない。+私は頭を振って汗を吹き飛ばすと、//n胸にあった起爆装置を左手で握りしめた。//n幸い、この手は動く。+私はハンドガンを取り出し、最後の抵抗を試みようとした。+昔とよく似ている……だが今と比べたら、//nあの時などもはやパーティに近い。
()<Speaker>指揮官</Speaker>||<SE1>AVG_weapon_reload</SE1>:採用された当時は……こうもリスキーな職場だとは聞いてなかった、ボス。+ハァ……ハァ、残念だな、残業代も請求できそうにないよ。
()<Speaker></Speaker>||<SE2>Gunfight</SE2>:兵士たちの銃声がますます大きくなっていく。鼓膜が破れそうだ。+この様子だと、すぐに掩体を飛び越えて来る。+殺されるのを待つなんて、あまりにも無様だ。//n私は掩体から身を乗り出し、照準を定めた――
()<Speaker></Speaker>||<BGM>BGM_Empty</BGM><SE1>AVG_rifle_finalshot_3h</SE1>:ふいに銃声が鳴った。兵士のいる位置からじゃない、もっと遠い場所だ。
NPC-Soldier(0)<Speaker>軍の兵士</Speaker>||:ん！？
NPC-Soldier(0)<Speaker>指揮官</Speaker>||:<color=#A9A9A9>この銃声、ハンドガンじゃない。</color>+<color=#A9A9A9>おかしい、どこの援兵だ？</color>
()<Speaker></Speaker>||<SE2>MachineGunBurst</SE2>:（銃声）+銃声と共に、頭部に被弾した兵士が倒れた。+残った兵士たちが狙撃手の位置を探ろうとするも、すぐに急所に被弾した。+あっという間に、辺りに静けさが戻った。
？？？()<Speaker>？？？</Speaker>||<SE1>AVG_footsteps_woodfloor</SE1>:<color=#00CCFF>言っておくけど、指揮官の命を救うのは、別料金だからね。戻ったら、金額の後ろにゼロを足すのを忘れないでよ。</color>
指挥官()<Speaker>指揮官</Speaker>||:404？
UMP45Mod(0)<Speaker>UMP45</Speaker><通讯框>||:<color=#00CCFF>どう、指揮官？突如援兵が現れて、嬉しさのあまり笑いたくなっちゃった？</color>+<color=#00CCFF>喜ぶのは早いわよ。侵入できたのは私と416だけ。何とかして、あなたをここから助け出すわ。</color>
UMP45Mod(0);HK416Mod(0)<Speaker>416</Speaker><通讯框>||:<color=#00CCFF>我慢してて、すぐに向かうから。</color>
UMP45Mod(0);HK416Mod(0)<Speaker>指揮官</Speaker>||:何とかして高所へ逃げるんだ。海水バルブがもうじき爆発する。
UMP45Mod(0)<Speaker>UMP45</Speaker>;HK416Mod(0)||<黑屏1>:<color=#00CCFF>だったら早くしないとね。こっちの位置は敵にバレてる。ここを離れるのは容易じゃないわ。</color>+<color=#00CCFF>ハァ……気が乗らないけど、彼女たちに支援を頼むしかないわね。</color>
