()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:...
NPC-Shadowless(8)<Speaker>Shadowless</Speaker>;NPC-Keven(0)||:...I've thought a lot on what he said, and perhaps he's right. +I understand and respect his decision... We're family. +I will always support him.
NPC-Shadowless(8);NPC-Keven(0)<Speaker>J</Speaker>||:...
NPC-Shadowless(8)<Speaker>Shadowless</Speaker>;NPC-Keven(0)||:That's it.
NPC-Shadowless(8)<Speaker></Speaker>;NPC-Keven(0)||:She lets go of J, then her gaze shifts away in feigned nonchalance as she fidgets with her hair. +J can't tell if she's making sure they aren't overheard or trying to cover up her sheepishness.
NPC-Shadowless(8);NPC-Keven(0)<Speaker>J</Speaker>||:...I'll let him know.
NPC-Shadowless(8)<Speaker>Shadowless</Speaker>;NPC-Keven(0)||:Thanks... Come and have dinner at our place one of these days. +It's been a while.
NPC-Keven(0)<Speaker></Speaker>||<BGM>BGM_Empty</BGM>:Satisfied with J's promise, Shadowless smiles and nods apologetically before darting out from the corner. +True to her words, she has not taken up much of J's time.
NPC-Keven(0)<Speaker>J</Speaker>||<BGM>BGM_Wake</BGM>:Light...you little punk...
NPC-Keven(0)<Speaker></Speaker>||:He watches as Shadowless throws herself back into her work as she starts interviewing eyewitnesses of the fire. He looks up at the apartment block, where the fire is now under control. +...He must get inside.
NPC-Keven(0)<Speaker>J</Speaker>||:Excuse me! Make way! +Police!
()<Speaker></Speaker>||<SE1>RunStep</SE1><黑屏1>:Displaying his forged police ID, J makes his way through the crowd.
