()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:...
NPC-Havel(0)<Speaker>Havier</Speaker>;NPC-Persica(2)||:It is just as you said. We did a very thorough investigation on the director. +There was nothing suspicious at all about him – he wouldn't have been promoted to his current position as Minister of Science and Technology otherwise.
NPC-Havel(0);NPC-Persica(0)<Speaker>Persica</Speaker>||:I know why he is so averse to this kind of research. It is an infringement of human ethics. +When I expressed my interest in continuing the research, Lyco was staunchly opposed to the idea.
NPC-Havel(0)<Speaker>Havier</Speaker>;NPC-Persica(0)||:Really...? I would've thought the creator of Sangvis Ferri would be the most enthusiastic about it.
NPC-Havel(0);NPC-Persica(0)<Speaker>Persica</Speaker>||:Lyco was actually very conservative. Once he rejected an idea, it's impossible to change his mind. +I knew him all too well. Even though I wanted to try, he wouldn't agree to help. And back then, I didn't have the means to develop an adequate neural module on my own. +So I had no choice but to turn down William's request. He was furious and very disappointed in us. He even threatened that he'd make us pay for our rejection. +I don't really know why, but I wasn't upset by that. +I thought, this person must really love Lunasia. Maybe he had placed all his hopes on us, that's why he was so angry when we wouldn't help him.
NPC-Havel(0)<Speaker>Havier</Speaker>;NPC-Persica(0)||:Did he get in touch again after that?
NPC-Havel(0);NPC-Persica(0)<Speaker>Persica</Speaker>||<BGM>BGM_Empty</BGM><黑屏1>:No... At least not directly. +Until Griffin got attacked in 57.
()<Speaker>Havier</Speaker>||<BIN>102</BIN><回忆><黑屏2><BGM>BGM_Room</BGM>:You mean the incident where children assaulted Griffin employees? +All relevant records should've been purged to control the damage.
()<Speaker>Persica</Speaker>||<黑屏1>:But you must've seen those original records.
()<Speaker>Havier</Speaker>||<BIN>103</BIN><黑屏2><黑屏1>:I found the files that Ange sent you.
()<Speaker>Persica</Speaker>||<BIN>104</BIN><黑屏2><黑屏1>:I knew it... +Then you should also know that those children's brain scans were practically identical to the data block that William had given us, right?
()<Speaker>Havier</Speaker>||<BIN>105</BIN><黑屏2><黑屏1>:This is new information to me.
()<Speaker>Persica</Speaker>||<BIN>247</BIN><黑屏2>:Lyco had already left by then. I wanted to prove myself better than him, so I used those data and developed the distinct Dolls of the AR Team. +I did consider the possibility that it was William coercing me to revive Lunasia again, but I didn't care... +I didn't expect they would actually target Lyco...
()<Speaker>Havier</Speaker>||:You believe Lyco was murdered?
()<Speaker>Persica</Speaker>||<黑屏1>:I've also been trying to uncover the truth, but William has always resented us, it's only natural that he'd want revenge on Lyco. +I think Lyco's Elisa must have something to do with William, and probably with Lunasia as well.
NPC-Havel(0)<Speaker>Havier</Speaker>||<关闭蒙版><BIN>166</BIN><黑屏2>:In other words, even though you and Lyco had rejected William, you still ended up doing his bidding without realizing it years later. +He has you like a puppet on a string, surely you must have some guesses as to who this man really is?
NPC-Havel(0);NPC-Persica(0)<Speaker>Persica</Speaker>||:I did some digging discreetly and found that one of the researchers at the institute had his name struck off the records. It was a man called "William". +But other than that, I haven't been able to find any more information about him.
NPC-Havel(0)<Speaker>Havier</Speaker>;NPC-Persica(0)||:So you think that's your puppeteer?
NPC-Havel(0);NPC-Persica(0)<Speaker>Persica</Speaker>||:It's very likely. You must have ways of verifying that and capturing him, right?
NPC-Havel(0)<Speaker>Havier</Speaker>;NPC-Persica(0)||<BGM>BGM_Empty</BGM>:We've also investigated this man. +Unfortunately, he died years ago – even before Lunasia passed away.
NPC-Havel(0);NPC-Persica(1)<Speaker>Persica</Speaker>||<震屏>:What...?
NPC-Havel(1)<Speaker>Havier</Speaker>;NPC-Persica(1)||:Your puppeteer has stolen William's identity and is acting under his name. +All information on the original William was purged, as if he had never existed. +An ordinary researcher wouldn't have this kind of ability to manipulate intelligence.
NPC-Havel(1);NPC-Persica(3)<Speaker>Persica</Speaker>||<BGM>BGM_Brain</BGM>:Then...then who on earth is this "William"?
NPC-Havel(0)<Speaker>Havier</Speaker>||<黑屏1>:We will find out one day, and I believe this day will soon be upon us.
()<Speaker></Speaker>||<BIN>97</BIN><黑屏2>:The limousine drives into a building. Havier disembarks from the vehicle and gestures to the black-clad men all around. +A few burly bodyguards get in and drive the limo further into the building with Persica still onboard. +Havier lets out a sigh as he takes in the view outside the massive glass walls.
NPC-Havel(1)<Speaker>Havier</Speaker>||:About time.
NPC-Havel(1)<Speaker></Speaker>||:Right on cue, his cellphone starts ringing.
NPC-Havel(0)<Speaker>Havier</Speaker>||:... +Yes, speaking. +The target is secured. She is under the highest level of protection. +She told me pretty much all there was to be told, and her account largely verified our speculations. +Yes, I'm aware. Statesec has already given the order to strike. +Things are going to get ugly in Moscow, but I'm sure that's what the old man would've wanted. +Your partner really does have an eye for such things. I certainly didn't expect the Dolls to actually hold their own against the vets. +Makes it a worthy investment after all, though you'll have to cough up half of the total sum. +Oh right, I suppose it's time we let our old friend breathe some fresh air. +Yes, everything is still going according to plan, but I have an additional request. +Don't submit all the research findings to Statesec. +Yes, that's right, the folks at the Relics Department won't be pleased about that. We must plan ahead for future developments. +Capital has been flowing from the declining nation to Europe, I believe they will soon begin to act. +We don't have time to deal with those cults right now, but I'll keep an eye on the money flow, so no need to worry. +Yes, it all comes down to how they're going to form the alliance.
NPC-Havel(0)<Speaker></Speaker>||<黑屏1>:Listening to the other end of the conversation, Havier lets out a low chuckle.
哈维尔()<Speaker>Havier</Speaker>||<BIN>9</BIN><黑屏2><黑屏1>:I can hardly wait.
